['BO', 5, 'CO', 289, 'libgeany.so.0.0.0', 'cat', 'O1', 'O2', 0.9830368487928843, 39.35649347305298]
['CO', 55, 'BO', 5, 'cp', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9360200964505575, 57.446123123168945]
['BO', 5, 'CO', 121, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O1', 0.9766322588816414, 40.4284131526947]
['CO', 397, 'BO', 6, '[', 'codeblocks', 'O0', 'O0', 0.9664787951584588, 45.938844203948975]
['BO', 12, 'UO', 80, 'libgeany.so.0.0.0', 'objdump', 'O0', 'O0', 0.6908698143984482, 348.4804983139038]
['UO', 23, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O2', 'O0', 0.988826981210361, 269.60825753211975]
['CO', 315, 'BO', 5, 'unlink', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9803632326116266, 46.10875988006592]
['UO', 54, 'BO', 6, 'addr2line', 'codeblocks', 'O3', 'O0', 0.6784063845559358, 124.53310084342957]
['BO', 5, 'CO', 206, 'libgeany.so.0.0.0', 'mknod', 'O1', 'O1', 0.9803004108046378, 39.67266368865967]
['UO', 47, 'BO', 12, 'as', 'libgeany.so.0.0.0', 'O3', 'O0', 0.7827400516589975, 772.7930760383606]
['BO', 12, 'CO', 325, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O0', 0.990995468065064, 235.55579280853271]
['BO', 6, 'CO', 169, 'codeblocks', 'false', 'O0', 'O1', 0.980569514237856, 37.54138398170471]
['CO', 110, 'BO', 6, 'mkdir', 'codeblocks', 'O1', 'O0', 0.9687343903206113, 45.939252614974976]
['BO', 6, 'CO', 309, 'codeblocks', 'rmdir', 'O0', 'O2', 0.9789121338912133, 37.130324602127075]
['BO', 6, 'CO', 148, 'codeblocks', 'seq', 'O0', 'O1', 0.972968463207075, 37.11409568786621]
['BO', 5, 'CO', 384, 'libgeany.so.0.0.0', 'head', 'O1', 'O0', 0.9697404748757592, 40.54229187965393]
['CO', 261, 'BO', 6, 'chmod', 'codeblocks', 'O2', 'O0', 0.9632499446535311, 46.109856843948364]
['UO', 44, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8565332558734637, 642.0983819961548]
['BO', 5, 'CO', 319, 'libgeany.so.0.0.0', 'fmt', 'O1', 'O0', 0.9743504593829562, 39.8444242477417]
['CO', 153, 'BO', 6, 'nice', 'codeblocks', 'O1', 'O0', 0.9782867340868531, 42.00924062728882]
['CO', 21, 'BO', 5, 'mktemp', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9726036054539996, 47.34459471702576]
['BO', 12, 'UO', 14, 'libgeany.so.0.0.0', 'ar', 'O0', 'O1', 0.8413922253242878, 278.3743953704834]
['BO', 6, 'CO', 173, 'codeblocks', 'who', 'O0', 'O1', 0.9703017959637105, 38.35891604423523]
['BO', 12, 'CO', 304, 'libgeany.so.0.0.0', 'fold', 'O0', 'O2', 0.9919410494445557, 234.70911931991577]
['CO', 218, 'BO', 6, 'users', 'codeblocks', 'O2', 'O0', 0.9800535873771956, 41.81024432182312]
['BO', 12, 'CO', 276, 'libgeany.so.0.0.0', 'yes', 'O0', 'O2', 0.9930946918227787, 233.90997290611267]
['UO', 49, 'BO', 6, 'c++filt', 'codeblocks', 'O3', 'O0', 0.682178875154121, 122.22905206680298]
['CO', 288, 'BO', 6, 'uname', 'codeblocks', 'O2', 'O0', 0.9825620389000671, 40.80333662033081]
['UO', 4, 'BO', 5, 'strip', 'libgeany.so.0.0.0', 'O1', 'O1', 0.6530004368604297, 164.75505757331848]
['CO', 184, 'BO', 6, 'uname', 'codeblocks', 'O1', 'O0', 0.9791329576521788, 42.844008922576904]
['BO', 6, 'CO', 176, 'codeblocks', 'head', 'O0', 'O1', 0.97117771274034, 37.51527428627014]
['CO', 403, 'BO', 5, 'comm', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9748188921577932, 47.748902320861816]
