['CO', 52, 'BO', 5, 'sha256sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.976100409933366, 46.03360891342163]
['BO', 12, 'CO', 376, 'libgeany.so.0.0.0', 'tty', 'O0', 'O0', 0.9907296850317786, 240.79693150520325]
['BO', 12, 'CO', 284, 'libgeany.so.0.0.0', 'md5sum', 'O0', 'O2', 0.9908625676778166, 244.4292449951172]
['CO', 346, 'BO', 6, 'tail', 'codeblocks', 'O0', 'O0', 0.9416143628667348, 53.63366937637329]
['CO', 174, 'BO', 12, 'b2sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9871191258772319, 285.2864820957184]
['UO', 2, 'BO', 6, 'find', 'codeblocks', 'O1', 'O0', 0.818766022902068, 95.6214189529419]
['BO', 12, 'CO', 92, 'libgeany.so.0.0.0', 'sha512sum', 'O0', 'O3', 0.9886649034294224, 238.2846179008484]
['CO', 393, 'BO', 5, 'cat', 'libgeany.so.0.0.0', 'O0', 'O1', 0.975568847115415, 47.94734454154968]
['CO', 254, 'BO', 6, 'whoami', 'codeblocks', 'O2', 'O0', 0.9826359131050415, 41.26521873474121]
['BO', 5, 'UO', 38, 'libgeany.so.0.0.0', 'elfedit', 'O1', 'O2', 0.9764445148013298, 39.95183515548706]
['CO', 114, 'BO', 12, 'users', 'libgeany.so.0.0.0', 'O1', 'O0', 0.990700157963824, 267.7691173553467]
['CO', 73, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9818092350672233, 44.1490433216095]
['CO', 107, 'BO', 6, 'unlink', 'codeblocks', 'O1', 'O0', 0.9795747530554161, 42.23499274253845]
['BO', 5, 'CO', 217, 'libgeany.so.0.0.0', 'du', 'O1', 'O2', 0.9452199925215007, 43.10853552818298]
['BO', 6, 'CO', 286, 'codeblocks', 'chcon', 'O0', 'O2', 0.959418155035905, 38.314446449279785]
['CO', 129, 'BO', 6, 'chgrp', 'codeblocks', 'O1', 'O0', 0.9564282168661409, 52.2784583568573]
['BO', 6, 'CO', 356, 'codeblocks', 'seq', 'O0', 'O0', 0.9697547431744563, 38.793357372283936]
['BO', 5, 'CO', 133, 'libgeany.so.0.0.0', 'nproc', 'O1', 'O1', 0.9803004108046378, 40.30098271369934]
['CO', 189, 'BO', 5, '[', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9744129042460663, 46.59723877906799]
['BO', 12, 'CO', 165, 'libgeany.so.0.0.0', 'cksum', 'O0', 'O1', 0.9912317792366752, 238.21846914291382]
['BO', 12, 'UO', 68, 'libgeany.so.0.0.0', 'readelf', 'O0', 'O0', 0.8822729248762429, 268.04278922080994]
['CO', 246, 'BO', 6, 'sha1sum', 'codeblocks', 'O2', 'O0', 0.9770371196076245, 43.24961066246033]
