['BO', 5, 'CO', 172, 'libgeany.so.0.0.0', 'yes', 'O1', 'O1', 0.9822497420020639, 39.6079523563385]
['CO', 73, 'BO', 6, 'hostid', 'codeblocks', 'O3', 'O0', 0.9786913594020193, 41.43892502784729]
['BO', 6, 'UO', 36, 'codeblocks', 'addr2line', 'O0', 'O2', 0.6720033937184785, 51.758103132247925]
['CO', 264, 'BO', 12, 'cut', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9906263441258918, 266.88355112075806]
['CO', 29, 'BO', 5, 'nproc', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9797665863250031, 46.459370136260986]
['BO', 5, 'UO', 2, 'libgeany.so.0.0.0', 'find', 'O1', 'O1', 0.8434325537443893, 50.44908571243286]
['UO', 53, 'BO', 6, 'gprof', 'codeblocks', 'O3', 'O0', 0.6571624336234954, 131.9982042312622]
['UO', 69, 'BO', 5, 'as', 'libgeany.so.0.0.0', 'O0', 'O1', 0.43771070890241515, 232.05648708343506]
['CO', 258, 'BO', 6, 'dircolors', 'codeblocks', 'O2', 'O0', 0.9770738504412447, 45.598637342453]
['CO', 233, 'BO', 12, 'chgrp', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9836242443948509, 301.11636233329773]
['BO', 6, 'CO', 49, 'codeblocks', 'nice', 'O0', 'O3', 0.9774412338567314, 39.947269678115845]
['BO', 5, 'CO', 78, 'libgeany.so.0.0.0', 'chcon', 'O1', 'O3', 0.9622178914943107, 41.841632604599]
['CO', 331, 'BO', 12, 'dd', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9791196637911966, 320.8100051879883]
['BO', 6, 'CO', 218, 'codeblocks', 'users', 'O0', 'O2', 0.9800535873771956, 39.57106018066406]
['BO', 6, 'CO', 338, 'codeblocks', 'kill', 'O0', 'O0', 0.9724930491195551, 39.69028615951538]
['BO', 12, 'CO', 169, 'libgeany.so.0.0.0', 'false', 'O0', 'O1', 0.992251514071963, 250.78417038917542]
['CO', 163, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9783862584775306, 48.51137185096741]
['BO', 12, 'CO', 62, 'libgeany.so.0.0.0', 'printf', 'O0', 'O3', 0.98810520156721, 251.0077862739563]
['CO', 220, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9672885415353586, 50.189574241638184]
['UO', 81, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9605847898117178, 55.176244020462036]
['CO', 142, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9772583301659699, 49.36708903312683]
['CO', 68, 'BO', 6, 'yes', 'codeblocks', 'O3', 'O0', 0.9781764104470676, 43.61389756202698]
['BO', 5, 'CO', 76, 'libgeany.so.0.0.0', 'md5sum', 'O1', 'O3', 0.9760691336140039, 41.75543451309204]
['CO', 414, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9482554147681168, 60.38309383392334]
['BO', 5, 'CO', 26, 'libgeany.so.0.0.0', 'kill', 'O1', 'O3', 0.9789820729445704, 41.59448194503784]
['CO', 358, 'BO', 12, 'whoami', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9906706317717642, 273.87678837776184]
['CO', 72, 'BO', 5, 'head', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9744753530593203, 47.87067699432373]
['BO', 6, 'UO', 69, 'codeblocks', 'as', 'O0', 'O0', 0.3756033517395838, 74.54346251487732]
['BO', 6, 'CO', 340, 'codeblocks', 'factor', 'O0', 'O0', 0.9476911250617713, 43.53265571594238]
['CO', 1, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9642862761756423, 50.20650243759155]
['CO', 8, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9687266219764423, 337.60828852653503]
['CO', 207, 'BO', 6, 'ln', 'codeblocks', 'O1', 'O0', 0.9504756318847486, 57.45370841026306]
