['BO', 5, 'CO', 86, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O3', 0.9737886333096198, 40.751282691955566]
['CO', 163, 'BO', 12, 'tsort', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9898885067014589, 274.0213625431061]
['BO', 6, 'CO', 211, 'codeblocks', 'unlink', 'O0', 'O2', 0.9828945161831293, 40.90667200088501]
['CO', 66, 'BO', 5, 'runcon', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9822812142766417, 45.86589002609253]
['CO', 126, 'BO', 12, 'pwd', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9900950460402426, 277.8586804866791]
['CO', 256, 'BO', 6, 'ls', 'codeblocks', 'O2', 'O0', 0.929294028064832, 60.24556827545166]
['CO', 128, 'BO', 6, 'tee', 'codeblocks', 'O1', 'O0', 0.9743228200371058, 45.612393379211426]
['CO', 115, 'BO', 12, 'groups', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9904787328706175, 277.7765760421753]
['BO', 12, 'CO', 185, 'libgeany.so.0.0.0', 'cat', 'O0', 'O1', 0.9907296850317786, 252.14935278892517]
['BO', 12, 'UO', 59, 'libgeany.so.0.0.0', 'locate', 'O0', 'O3', 0.9691887847176373, 271.6511058807373]
['BO', 6, 'CO', 195, 'codeblocks', 'comm', 'O0', 'O1', 0.9735905044510386, 40.02345132827759]
['CO', 86, 'BO', 6, 'timeout', 'codeblocks', 'O3', 'O0', 0.9693173196143383, 47.01818609237671]
['BO', 6, 'CO', 296, 'codeblocks', 'shred', 'O0', 'O2', 0.9636122079935048, 40.34953594207764]
['BO', 12, 'CO', 341, 'libgeany.so.0.0.0', 'nproc', 'O0', 'O0', 0.9895787780635502, 255.80582785606384]
['BO', 12, 'CO', 3, 'libgeany.so.0.0.0', 'unlink', 'O0', 'O3', 0.9912170081450381, 254.59085702896118]
['BO', 5, 'CO', 256, 'libgeany.so.0.0.0', 'ls', 'O1', 'O2', 0.9394184168012925, 46.38720107078552]
['CO', 54, 'BO', 6, 'true', 'codeblocks', 'O3', 'O0', 0.9796115782424287, 43.136515617370605]
['BO', 12, 'UO', 47, 'libgeany.so.0.0.0', 'as', 'O0', 'O3', 0.7827400516589975, 307.0713529586792]
