['BO', 12, 'CO', 197, 'libgeany.so.0.0.0', 'nl', 'O0', 'O1', 0.9896967585557672, 240.3739049434662]
['UO', 77, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O0', 'O1', 0.5713944152918822, 192.2808859348297]
['CO', 404, 'BO', 5, 'sha512sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9714822593124792, 50.44660186767578]
['CO', 33, 'BO', 5, 'chown', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9611699286858723, 50.456355571746826]
['BO', 6, 'CO', 402, 'codeblocks', 'tr', 'O0', 'O0', 0.9633223866277997, 38.70268678665161]
['CO', 64, 'BO', 12, 'tty', 'libgeany.so.0.0.0', 'O3', 'O0', 0.991423823372307, 260.1212239265442]
['CO', 28, 'BO', 6, 'factor', 'codeblocks', 'O3', 'O0', 0.9624534356212887, 44.33295297622681]
['CO', 339, 'BO', 5, 'wc', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9692433873282755, 52.62218499183655]
['CO', 289, 'BO', 12, 'cat', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9920740938641018, 258.3685758113861]
['BO', 12, 'CO', 63, 'libgeany.so.0.0.0', 'logname', 'O0', 'O3', 0.9914385975324762, 234.53338313102722]
['CO', 174, 'BO', 6, 'b2sum', 'codeblocks', 'O1', 'O0', 0.967824253855542, 45.074910163879395]
['CO', 43, 'BO', 12, 'chroot', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9884881214303176, 266.0986919403076]
['CO', 53, 'BO', 6, 'chmod', 'codeblocks', 'O3', 'O0', 0.9592738520455131, 46.091742753982544]
['UO', 41, 'BO', 5, 'locate', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9308702308965219, 64.06671166419983]
['CO', 327, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9854876289803617, 286.98018860816956]
['CO', 0, 'BO', 5, 'sha384sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9757876912851514, 45.69089436531067]
['CO', 267, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9812431566085342, 44.92284941673279]
['CO', 150, 'BO', 12, 'whoami', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9917045699064353, 257.94786190986633]
['BO', 5, 'UO', 52, 'libgeany.so.0.0.0', 'ld', 'O1', 'O3', 0.5923852754791079, 59.2672164440155]
['BO', 12, 'CO', 46, 'libgeany.so.0.0.0', 'whoami', 'O0', 'O3', 0.9913204103888011, 234.09197974205017]
['CO', 293, 'BO', 5, '[', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9782608695652174, 44.26966667175293]
['CO', 377, 'BO', 12, 'false', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9912760938265011, 263.5572724342346]
['CO', 150, 'BO', 5, 'whoami', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9822497420020639, 43.80929732322693]
['UO', 43, 'BO', 6, 'find', 'codeblocks', 'O2', 'O0', 0.8259123899727184, 93.32191228866577]
['CO', 153, 'BO', 5, 'nice', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9814632598000318, 44.80023384094238]
['CO', 299, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9909216323261092, 262.2417674064636]
['CO', 400, 'BO', 12, 'shred', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9807845568051005, 305.6895248889923]
