['CO', 333, 'BO', 6, 'mktemp', 'codeblocks', 'O0', 'O0', 0.9650263133598006, 47.83645749092102]
['CO', 357, 'BO', 5, 'split', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9611083186730335, 52.33050751686096]
['CO', 385, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O0', 'O1', 0.980426058404581, 46.53035831451416]
['CO', 240, 'BO', 12, 'expr', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9883260988726092, 269.7047007083893]
['CO', 25, 'BO', 12, 'chgrp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9822326591196083, 281.4738416671753]
['BO', 5, 'UO', 42, 'libgeany.so.0.0.0', 'xargs', 'O1', 'O2', 0.9592618165840185, 44.205586194992065]
['BO', 6, 'CO', 290, 'codeblocks', 'shuf', 'O0', 'O2', 0.9655707425193941, 38.15037274360657]
['CO', 46, 'BO', 12, 'whoami', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9913204103888011, 257.32275319099426]
['BO', 5, 'CO', 0, 'libgeany.so.0.0.0', 'sha384sum', 'O1', 'O3', 0.9757876912851514, 39.306562185287476]
['BO', 6, 'UO', 41, 'codeblocks', 'locate', 'O0', 'O2', 0.9193766571072994, 40.72429013252258]
['BO', 6, 'CO', 280, 'codeblocks', 'head', 'O0', 'O2', 0.974652539385055, 37.26385855674744]
['CO', 398, 'BO', 5, 'timeout', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9704243801587678, 49.93921709060669]
['BO', 6, 'CO', 346, 'codeblocks', 'tail', 'O0', 'O0', 0.9416143628667348, 39.94258260726929]
['BO', 5, 'CO', 17, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O3', 0.9758814964866747, 39.11817789077759]
['CO', 409, 'BO', 5, 'uniq', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9707976196113716, 50.88720893859863]
['BO', 12, 'CO', 361, 'libgeany.so.0.0.0', 'nice', 'O0', 'O0', 0.990006523930965, 234.72688579559326]
['CO', 415, 'BO', 6, 'ln', 'codeblocks', 'O0', 'O0', 0.9414726702182004, 55.19736099243164]
['CO', 250, 'BO', 6, 'sum', 'codeblocks', 'O2', 'O0', 0.976376197905059, 42.19004964828491]
['UO', 36, 'BO', 5, 'addr2line', 'libgeany.so.0.0.0', 'O2', 'O1', 0.7136073560694435, 149.13878345489502]
['UO', 44, 'BO', 5, 'nm', 'libgeany.so.0.0.0', 'O3', 'O1', 0.7150941582077661, 137.87841939926147]
['BO', 12, 'CO', 315, 'libgeany.so.0.0.0', 'unlink', 'O0', 'O0', 0.9908182714914004, 233.82441687583923]
