['BO', 6, 'CO', 278, 'codeblocks', 'b2sum', 'O0', 'O2', 0.9717620900500278, 37.53583359718323]
['CO', 257, 'BO', 5, 'nice', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9844867597037226, 43.64636421203613]
['BO', 6, 'CO', 287, 'codeblocks', 'link', 'O0', 'O2', 0.983005366726297, 37.6217782497406]
['BO', 5, 'CO', 29, 'libgeany.so.0.0.0', 'nproc', 'O1', 'O3', 0.9797665863250031, 40.17247986793518]
['CO', 263, 'BO', 6, 'cp', 'codeblocks', 'O2', 'O0', 0.929575166361444, 58.26488399505615]
['BO', 12, 'CO', 93, 'libgeany.so.0.0.0', 'nl', 'O0', 'O3', 0.9892249205208202, 244.46960353851318]
['CO', 228, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9846129391193769, 44.55163335800171]
['BO', 6, 'UO', 22, 'codeblocks', 'diff3', 'O0', 'O2', 0.9656796645547407, 37.82111978530884]
['BO', 6, 'CO', 329, 'codeblocks', 'stdbuf', 'O0', 'O0', 0.9689165186500888, 37.01718068122864]
['CO', 80, 'BO', 6, 'uname', 'codeblocks', 'O3', 'O0', 0.9781764104470676, 41.18620204925537]
['CO', 246, 'BO', 12, 'sha1sum', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9908330366678534, 261.53115463256836]
['UO', 87, 'BO', 12, 'find', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9032722373878824, 568.5114121437073]
['BO', 6, 'UO', 21, 'codeblocks', 'sdiff', 'O0', 'O1', 0.9629964398369335, 37.94280743598938]
['BO', 12, 'CO', 157, 'libgeany.so.0.0.0', 'chmod', 'O0', 'O1', 0.9839467849223946, 235.83854722976685]
['UO', 2, 'BO', 5, 'find', 'libgeany.so.0.0.0', 'O1', 'O1', 0.8434325537443893, 98.05722141265869]
['CO', 124, 'BO', 12, 'mkfifo', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9914385975324762, 255.7475163936615]
['BO', 12, 'CO', 37, 'libgeany.so.0.0.0', 'truncate', 'O0', 'O3', 0.9903459014570126, 234.760559797287]
['CO', 52, 'BO', 6, 'sha256sum', 'codeblocks', 'O3', 'O0', 0.972017864092063, 43.62569832801819]
['BO', 6, 'UO', 59, 'codeblocks', 'locate', 'O0', 'O3', 0.9240616185723585, 40.378986835479736]
['BO', 12, 'CO', 136, 'libgeany.so.0.0.0', 'expr', 'O0', 'O1', 0.9868102586876873, 233.91563844680786]
['CO', 154, 'BO', 6, 'dircolors', 'codeblocks', 'O1', 'O0', 0.9737735324121302, 44.346853256225586]
['CO', 282, 'BO', 6, 'unexpand', 'codeblocks', 'O2', 'O0', 0.978102868189676, 42.77947020530701]
['BO', 6, 'UO', 67, 'codeblocks', 'strip', 'O0', 'O0', 0.46742935906271543, 64.43342781066895]
['UO', 61, 'BO', 12, 'find', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9292352142133293, 451.1555030345917]
['CO', 362, 'BO', 5, 'dircolors', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9751937984496124, 46.86050510406494]
['BO', 5, 'UO', 24, 'libgeany.so.0.0.0', 'diff', 'O1', 'O2', 0.9322149312863687, 44.36738967895508]
['BO', 12, 'CO', 313, 'libgeany.so.0.0.0', 'touch', 'O0', 'O0', 0.9812377753994908, 247.71021962165833]
['BO', 12, 'CO', 202, 'libgeany.so.0.0.0', 'sleep', 'O0', 'O1', 0.9913056379821958, 232.86944890022278]
['BO', 12, 'UO', 12, 'libgeany.so.0.0.0', 'gprof', 'O0', 'O1', 0.839902946558921, 278.94706988334656]
