['BO', 6, 'UO', 48, 'codeblocks', 'ranlib', 'O0', 'O3', 0.6615038720959281, 51.120628356933594]
['BO', 5, 'CO', 272, 'libgeany.so.0.0.0', 'tty', 'O1', 'O2', 0.9854019241472529, 41.22107124328613]
['CO', 103, 'BO', 6, 'ln', 'codeblocks', 'O3', 'O0', 0.9476911250617713, 52.881969928741455]
['BO', 5, 'CO', 335, 'libgeany.so.0.0.0', 'pr', 'O1', 'O0', 0.9576336296784107, 45.07973670959473]
['CO', 301, 'BO', 5, 'nl', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9811174053093413, 46.318952322006226]
['BO', 6, 'CO', 225, 'codeblocks', 'stdbuf', 'O0', 'O2', 0.9759358288770054, 40.50809097290039]
['UO', 63, 'BO', 5, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9761316872427983, 46.588743686676025]
['CO', 395, 'BO', 6, 'csplit', 'codeblocks', 'O0', 'O0', 0.9549187103885368, 53.03645634651184]
['BO', 12, 'UO', 72, 'libgeany.so.0.0.0', 'strings', 'O0', 'O0', 0.7842529942706741, 312.7633488178253]
['BO', 6, 'CO', 124, 'codeblocks', 'mkfifo', 'O0', 'O1', 0.9785442037742865, 38.65595602989197]
['BO', 5, 'UO', 64, 'libgeany.so.0.0.0', 'diff', 'O1', 'O3', 0.9301538223699467, 45.07542610168457]
['CO', 411, 'BO', 12, 'sort', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9613900742386158, 381.7341136932373]
['CO', 51, 'BO', 6, 'realpath', 'codeblocks', 'O3', 'O0', 0.9681882074424798, 45.36005640029907]
['BO', 5, 'UO', 53, 'libgeany.so.0.0.0', 'gprof', 'O1', 'O3', 0.7003336283788384, 54.66373634338379]
['BO', 6, 'CO', 86, 'codeblocks', 'timeout', 'O0', 'O3', 0.9693173196143383, 38.68816542625427]
['BO', 5, 'CO', 331, 'libgeany.so.0.0.0', 'dd', 'O1', 'O0', 0.9556404874534006, 43.40052390098572]
['BO', 5, 'CO', 338, 'libgeany.so.0.0.0', 'kill', 'O1', 'O0', 0.9765070921985816, 40.82116913795471]
['BO', 6, 'CO', 354, 'codeblocks', 'sum', 'O0', 'O0', 0.9681154059552433, 39.65781378746033]
