['BO', 6, 'CO', 371, 'codeblocks', 'tsort', 'O0', 'O0', 0.9713237745915305, 37.4071364402771]
['BO', 5, 'CO', 413, 'libgeany.so.0.0.0', 'rmdir', 'O1', 'O0', 0.9773522750669137, 40.49441075325012]
['CO', 20, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9803318212099102, 43.72000479698181]
['CO', 344, 'BO', 5, 'expr', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9673815414191393, 49.92110204696655]
['CO', 373, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9782608695652174, 45.45366454124451]
['BO', 5, 'UO', 61, 'libgeany.so.0.0.0', 'find', 'O1', 'O3', 0.8538062925952873, 49.590835094451904]
['BO', 6, 'UO', 75, 'codeblocks', 'gprof', 'O0', 'O0', 0.5133382628974461, 65.27547597885132]
['CO', 313, 'BO', 5, 'touch', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9600923120398135, 55.466771602630615]
['BO', 6, 'CO', 313, 'codeblocks', 'touch', 'O0', 'O0', 0.9533398190128306, 41.44851326942444]
['CO', 372, 'BO', 5, 'base64', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9736014290004901, 49.45018196105957]
['BO', 5, 'CO', 21, 'libgeany.so.0.0.0', 'mktemp', 'O1', 'O3', 0.9726036054539996, 41.66451644897461]
['CO', 318, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9733870493442334, 343.4043893814087]
['CO', 69, 'BO', 5, 'who', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9731959414609477, 48.17551565170288]
['CO', 104, 'BO', 6, 'sha384sum', 'codeblocks', 'O1', 'O0', 0.9730416241772504, 45.521844148635864]
['BO', 5, 'CO', 329, 'libgeany.so.0.0.0', 'stdbuf', 'O1', 'O0', 0.9734454525337464, 40.69882655143738]
['BO', 5, 'CO', 73, 'libgeany.so.0.0.0', 'hostid', 'O1', 'O3', 0.9818092350672233, 41.24143934249878]
['CO', 326, 'BO', 12, 'stty', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9855463751285218, 292.8552179336548]
['CO', 310, 'BO', 5, 'mknod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9832258474441656, 44.52978801727295]
['BO', 12, 'CO', 120, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O1', 0.991867143556789, 244.62433409690857]
['BO', 6, 'UO', 78, 'codeblocks', 'elfedit', 'O0', 'O0', 0.9698641294287512, 38.54324007034302]
['BO', 6, 'CO', 246, 'codeblocks', 'sha1sum', 'O0', 'O2', 0.9770371196076245, 38.242122173309326]
['CO', 162, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9551198734712413, 56.18632459640503]
['CO', 332, 'BO', 6, 'mkfifo', 'codeblocks', 'O0', 'O0', 0.9414018316488488, 56.29762268066406]
['BO', 5, 'CO', 194, 'libgeany.so.0.0.0', 'tr', 'O1', 'O1', 0.9759753105958693, 42.059879302978516]
