['CO', 278, 'BO', 12, 'b2sum', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9887091038406828, 275.11462664604187]
['CO', 269, 'BO', 12, 'cksum', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9926952028862857, 261.8682668209076]
['BO', 6, 'CO', 197, 'codeblocks', 'nl', 'O0', 'O1', 0.9742129380553958, 38.62250590324402]
['BO', 6, 'CO', 366, 'codeblocks', 'true', 'O0', 'O0', 0.9781396386348428, 38.19207048416138]
['CO', 366, 'BO', 6, 'true', 'codeblocks', 'O0', 'O0', 0.9781396386348428, 42.995561838150024]
['CO', 88, 'BO', 6, 'shred', 'codeblocks', 'O3', 'O0', 0.9574718563755427, 48.58705401420593]
['UO', 27, 'BO', 5, 'strip', 'libgeany.so.0.0.0', 'O2', 'O1', 0.6623487279166056, 165.63121366500854]
['CO', 212, 'BO', 5, 'test', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9797351938476175, 45.27720046043396]
['BO', 12, 'CO', 135, 'libgeany.so.0.0.0', 'date', 'O0', 'O1', 0.9835216398554634, 256.95540046691895]
['CO', 80, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9912908657947641, 259.3337779045105]
['CO', 144, 'BO', 6, 'sync', 'codeblocks', 'O1', 'O0', 0.9781764104470676, 43.333441972732544]
['BO', 5, 'CO', 352, 'libgeany.so.0.0.0', 'sync', 'O1', 'O0', 0.9789507053415756, 41.69510197639465]
['BO', 5, 'UO', 3, 'libgeany.so.0.0.0', 'nm', 'O1', 'O1', 0.6984139938518458, 57.34707713127136]
['CO', 68, 'BO', 5, 'yes', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9813689238728517, 45.25099563598633]
['BO', 5, 'CO', 69, 'libgeany.so.0.0.0', 'who', 'O1', 'O3', 0.9731959414609477, 40.76793432235718]
['BO', 5, 'CO', 31, 'libgeany.so.0.0.0', 'date', 'O1', 'O3', 0.9640390756500811, 41.31517839431763]
['BO', 6, 'UO', 24, 'codeblocks', 'diff', 'O0', 'O2', 0.9209357738546518, 42.961812257766724]
['BO', 12, 'UO', 41, 'libgeany.so.0.0.0', 'locate', 'O0', 'O2', 0.9672405074423411, 264.89239382743835]
['BO', 6, 'CO', 91, 'codeblocks', 'comm', 'O0', 'O3', 0.9718351615772309, 39.07538819313049]
['BO', 5, 'CO', 343, 'libgeany.so.0.0.0', 'date', 'O1', 'O0', 0.958831466315228, 43.96944069862366]
