['CO', 344, 'BO', 12, 'expr', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9846948960805625, 293.95684003829956]
['BO', 12, 'CO', 224, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O2', 0.9931834888953243, 253.86600494384766]
['BO', 6, 'CO', 114, 'codeblocks', 'users', 'O0', 'O1', 0.9767066035107272, 39.99979567527771]
['BO', 12, 'UO', 73, 'libgeany.so.0.0.0', 'objcopy', 'O0', 'O0', 0.7483002943551538, 335.55301117897034]
['CO', 180, 'BO', 5, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9774149099605632, 48.524208068847656]
['CO', 368, 'BO', 12, 'cut', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9871044157382389, 280.47137331962585]
['CO', 411, 'BO', 5, 'sort', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9187926476916457, 72.80552911758423]
['BO', 6, 'CO', 76, 'codeblocks', 'md5sum', 'O0', 'O3', 0.9719813208805871, 39.698362588882446]
['BO', 12, 'CO', 176, 'libgeany.so.0.0.0', 'head', 'O0', 'O1', 0.9884733910157639, 254.3881151676178]
['BO', 6, 'CO', 188, 'codeblocks', 'vdir', 'O0', 'O1', 0.9248620783214253, 44.43222713470459]
['BO', 6, 'CO', 25, 'codeblocks', 'chgrp', 'O0', 'O3', 0.9557810001654077, 40.79363465309143]
['CO', 177, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O1', 'O1', 0.982627475267178, 47.040107011795044]
['UO', 55, 'BO', 12, 'ar', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8506073600176486, 673.89799451828]
['BO', 6, 'CO', 162, 'codeblocks', 'df', 'O0', 'O1', 0.9475485441335261, 43.814342975616455]
['UO', 63, 'BO', 12, 'cmp', 'libgeany.so.0.0.0', 'O3', 'O0', 0.988826981210361, 274.88852763175964]
['CO', 190, 'BO', 12, 'timeout', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9880610279958525, 290.0000865459442]
['CO', 244, 'BO', 12, 'pinky', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9902721138874472, 274.16522121429443]
['BO', 12, 'UO', 75, 'libgeany.so.0.0.0', 'gprof', 'O0', 'O0', 0.7739245357827265, 334.2742431163788]
['UO', 18, 'BO', 6, 'diff3', 'codeblocks', 'O1', 'O0', 0.961910731734297, 49.37308931350708]
['BO', 5, 'CO', 282, 'libgeany.so.0.0.0', 'unexpand', 'O1', 'O2', 0.9813060382448623, 41.982856035232544]
['CO', 261, 'BO', 5, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9685913405442906, 51.2414186000824]
['CO', 288, 'BO', 12, 'uname', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9930502962533969, 272.8856592178345]
['CO', 325, 'BO', 5, 'printenv', 'libgeany.so.0.0.0', 'O0', 'O1', 0.9807402471721162, 47.98060655593872]
['UO', 58, 'BO', 5, 'objdump', 'libgeany.so.0.0.0', 'O3', 'O1', 0.5803659555083137, 173.62324810028076]
['BO', 12, 'CO', 273, 'libgeany.so.0.0.0', 'false', 'O0', 'O2', 0.9936720142602495, 252.53472018241882]
['BO', 5, 'UO', 25, 'libgeany.so.0.0.0', 'sdiff', 'O1', 'O2', 0.9692123276868237, 42.56124210357666]
['BO', 5, 'UO', 75, 'libgeany.so.0.0.0', 'gprof', 'O1', 'O0', 0.569912750496593, 75.03525447845459]
['CO', 206, 'BO', 12, 'mknod', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9907887417955279, 280.32945561408997]
['BO', 12, 'CO', 24, 'libgeany.so.0.0.0', 'tee', 'O0', 'O3', 0.9889006616628261, 251.73823714256287]
['BO', 6, 'CO', 15, 'codeblocks', 'join', 'O0', 'O3', 0.9639021149374377, 41.11192750930786]
['CO', 410, 'BO', 6, 'sleep', 'codeblocks', 'O0', 'O0', 0.9752023164303215, 46.14298486709595]
['CO', 62, 'BO', 6, 'printf', 'codeblocks', 'O3', 'O0', 0.9702653163244525, 46.86977696418762]
['BO', 6, 'CO', 239, 'codeblocks', 'date', 'O0', 'O2', 0.962200136448288, 40.538814306259155]
['BO', 5, 'CO', 182, 'libgeany.so.0.0.0', 'chcon', 'O1', 'O1', 0.9610775151181968, 46.39346647262573]
