['CO', 134, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O1', 'O0', 0.990021277068954, 269.4764606952667]
['CO', 293, 'BO', 6, '[', 'codeblocks', 'O2', 'O0', 0.9745426206998924, 44.235227823257446]
['UO', 52, 'BO', 6, 'ld', 'codeblocks', 'O3', 'O0', 0.5386149200248522, 154.0172004699707]
['BO', 12, 'CO', 335, 'libgeany.so.0.0.0', 'pr', 'O0', 'O0', 0.980068601777745, 269.99865913391113]
['BO', 6, 'UO', 63, 'codeblocks', 'cmp', 'O0', 'O3', 0.9720544086579445, 40.47950458526611]
['CO', 138, 'BO', 6, 'tail', 'codeblocks', 'O1', 'O0', 0.9565361279646994, 52.22665214538574]
['CO', 384, 'BO', 6, 'head', 'codeblocks', 'O0', 'O0', 0.9645909871323869, 49.553547382354736]
['CO', 109, 'BO', 5, 'basename', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9818406933553446, 45.62095522880554]
['UO', 70, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O0', 'O0', 0.7747337383727464, 1026.3686275482178]
['BO', 12, 'CO', 387, 'libgeany.so.0.0.0', 'mv', 'O0', 'O0', 0.9530846411862717, 265.0922658443451]
['BO', 12, 'UO', 26, 'libgeany.so.0.0.0', 'nm', 'O0', 'O2', 0.8531358945152049, 284.0244779586792]
['BO', 12, 'CO', 21, 'libgeany.so.0.0.0', 'mktemp', 'O0', 'O3', 0.987163257600995, 243.46949338912964]
['BO', 6, 'CO', 181, 'codeblocks', 'env', 'O0', 'O1', 0.9774412338567314, 38.49827432632446]
['BO', 5, 'CO', 313, 'libgeany.so.0.0.0', 'touch', 'O1', 'O0', 0.9600923120398135, 43.49292731285095]
['BO', 12, 'CO', 159, 'libgeany.so.0.0.0', 'cp', 'O0', 'O1', 0.9703166517418048, 255.71689438819885]
['BO', 5, 'CO', 286, 'libgeany.so.0.0.0', 'chcon', 'O1', 'O2', 0.9653066364437728, 41.13323092460632]
['BO', 5, 'CO', 326, 'libgeany.so.0.0.0', 'stty', 'O1', 'O0', 0.969181269025125, 41.65386366844177]
['BO', 12, 'CO', 107, 'libgeany.so.0.0.0', 'unlink', 'O0', 'O1', 0.9918523630373322, 244.15569925308228]
