['UO', 68, 'BO', 6, 'readelf', 'codeblocks', 'O0', 'O0', 0.7273258456144907, 103.7186017036438]
['BO', 12, 'CO', 410, 'libgeany.so.0.0.0', 'sleep', 'O0', 'O0', 0.9900950460402426, 250.12958002090454]
['BO', 5, 'CO', 231, 'libgeany.so.0.0.0', 'pr', 'O1', 'O2', 0.9675365607665154, 42.983478307724]
['BO', 6, 'CO', 2, 'codeblocks', 'stat', 'O0', 'O3', 0.9533756745842359, 42.779438972473145]
['CO', 91, 'BO', 6, 'comm', 'codeblocks', 'O3', 'O0', 0.9718351615772309, 45.430171966552734]
['BO', 12, 'CO', 217, 'libgeany.so.0.0.0', 'du', 'O0', 'O2', 0.9741417350631012, 269.48983669281006]
['CO', 67, 'BO', 5, 'nohup', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9781981810691764, 47.11671829223633]
['BO', 6, 'CO', 235, 'codeblocks', 'wc', 'O0', 'O2', 0.9727124425329972, 38.70803093910217]
['CO', 146, 'BO', 6, 'sum', 'codeblocks', 'O1', 'O0', 0.9728953076623593, 45.02948546409607]
['UO', 34, 'BO', 12, 'ld', 'libgeany.so.0.0.0', 'O2', 'O0', 0.7860098731920216, 900.0984017848969]
['UO', 61, 'BO', 5, 'find', 'libgeany.so.0.0.0', 'O3', 'O1', 0.8538062925952873, 92.81682920455933]
['CO', 183, 'BO', 5, 'link', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9825645097260818, 46.1928505897522]
['CO', 227, 'BO', 5, 'dd', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9648117839607201, 51.1469841003418]
['BO', 12, 'CO', 101, 'libgeany.so.0.0.0', 'rmdir', 'O0', 'O3', 0.9895787780635502, 246.89225268363953]
['CO', 115, 'BO', 5, 'groups', 'libgeany.so.0.0.0', 'O1', 'O1', 0.979641022388533, 46.16088128089905]
['BO', 5, 'UO', 23, 'libgeany.so.0.0.0', 'cmp', 'O1', 'O2', 0.9761316872427983, 40.96296167373657]
['BO', 6, 'CO', 244, 'codeblocks', 'pinky', 'O0', 'O2', 0.9756423585326006, 38.84674000740051]
['UO', 55, 'BO', 6, 'ar', 'codeblocks', 'O3', 'O0', 0.6615038720959281, 131.19929361343384]
['CO', 156, 'BO', 6, 'sha256sum', 'codeblocks', 'O1', 'O0', 0.9730416241772504, 45.54993462562561]
['BO', 12, 'UO', 33, 'libgeany.so.0.0.0', 'objcopy', 'O0', 'O2', 0.8273667299746088, 288.22235798835754]
['BO', 6, 'CO', 149, 'codeblocks', 'split', 'O0', 'O1', 0.9640108521122861, 39.292795181274414]
['CO', 380, 'BO', 6, 'yes', 'codeblocks', 'O0', 'O0', 0.9764496118271981, 44.32270050048828]
['BO', 12, 'UO', 57, 'libgeany.so.0.0.0', 'size', 'O0', 'O3', 0.8585513106332304, 276.6442551612854]
['CO', 168, 'BO', 6, 'tty', 'codeblocks', 'O1', 'O0', 0.9794642857142857, 42.45425081253052]
['BO', 12, 'UO', 61, 'libgeany.so.0.0.0', 'find', 'O0', 'O3', 0.9292352142133293, 270.17253398895264]
['CO', 232, 'BO', 6, 'tee', 'codeblocks', 'O2', 'O0', 0.9776617294504637, 43.069191217422485]
['CO', 197, 'BO', 12, 'nl', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9896967585557672, 275.8002483844757]
