['BO', 6, 'CO', 62, 'codeblocks', 'printf', 'O0', 'O3', 0.9702653163244525, 37.55523133277893]
['BO', 6, 'CO', 358, 'codeblocks', 'whoami', 'O0', 'O0', 0.9766331704961272, 38.03103184700012]
['CO', 75, 'BO', 5, 'mv', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9277100992789538, 59.023210525512695]
['BO', 12, 'CO', 96, 'libgeany.so.0.0.0', 'fold', 'O0', 'O3', 0.9899917710117208, 243.768315076828]
['CO', 241, 'BO', 12, 'chown', 'libgeany.so.0.0.0', 'O2', 'O0', 0.983096676960357, 294.4699203968048]
['UO', 42, 'BO', 5, 'xargs', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9592618165840185, 56.714771032333374]
['CO', 96, 'BO', 6, 'fold', 'codeblocks', 'O3', 'O0', 0.9749457157173876, 43.61658477783203]
['CO', 116, 'BO', 5, 'ptx', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9649663985898425, 53.04633283615112]
['BO', 5, 'CO', 368, 'libgeany.so.0.0.0', 'cut', 'O1', 'O0', 0.9724789484493735, 40.71890926361084]
['BO', 6, 'UO', 19, 'codeblocks', 'cmp', 'O0', 'O1', 0.9716524929131233, 38.7353937625885]
['BO', 12, 'CO', 126, 'libgeany.so.0.0.0', 'pwd', 'O0', 'O1', 0.9900950460402426, 236.97638177871704]
['CO', 161, 'BO', 6, 'od', 'codeblocks', 'O1', 'O0', 0.9627792020952838, 48.21142554283142]
['CO', 255, 'BO', 6, 'numfmt', 'codeblocks', 'O2', 'O0', 0.97190823852055, 45.378756523132324]
['BO', 12, 'CO', 207, 'libgeany.so.0.0.0', 'ln', 'O0', 'O1', 0.980068601777745, 259.0527536869049]
['CO', 105, 'BO', 6, 'touch', 'codeblocks', 'O1', 'O0', 0.9597790055248618, 51.46636748313904]
['CO', 283, 'BO', 5, 'mv', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9292888710325432, 63.003615856170654]
['CO', 87, 'BO', 12, 'id', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9887238377477311, 271.44769620895386]
