['UO', 21, 'CO', 270, 'sdiff', 'printf', 'O1', 'O2', 0.07314148681055155, 0.04390668869018555]
['BO', 69, 'CO', 229, 'cmp', 'mktemp', 'O3', 'O2', 0.04298186702484885, 0.04471325874328613]
['UO', 60, 'CO', 38, 'xargs', 'sha1sum', 'O3', 'O3', 0.103247697527872, 0.1274852752685547]
['CO', 19, 'BO', 81, 'dd', 'sort', 'O3', 'O3', 0.06118326118326123, 0.23344898223876953]
['BO', 56, 'CO', 60, 'libvlc.so.12.0.0', 'base64', 'O3', 'O3', 0.20635514018691592, 0.6154756546020508]
['CO', 171, 'BO', 58, 'nohup', 'svn', 'O1', 'O1', 0.21706176423157553, 0.9220798015594482]
['BO', 45, 'UO', 8, 'diff', 'c++filt', 'O2', 'O1', 0.11276858865357864, 2.762495279312134]
['CO', 178, 'UO', 62, 'unexpand', 'diff3', 'O1', 'O3', 0.04698375870069604, 0.03711080551147461]
['CO', 241, 'BO', 19, 'chown', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.15638167999054864, 4.577428102493286]
['BO', 22, 'UO', 29, 'perl', 'as', 'O0', 'O2', 0.02966909935312656, 9.845102071762085]
['CO', 264, 'UO', 11, 'cut', 'ld', 'O2', 'O1', 0.14528917910447758, 1.9545869827270508]
['CO', 355, 'BO', 16, 'chroot', 'make', 'O0', 'O0', 0.10957304869913276, 0.28276896476745605]
['CO', 101, 'UO', 2, 'rmdir', 'find', 'O3', 'O1', 0.15986677768526225, 0.362764835357666]
['UO', 40, 'CO', 378, 'objdump', 'runcon', 'O2', 'O0', 0.13182500288583632, 1.7503294944763184]
['CO', 57, 'UO', 27, 'od', 'strip', 'O3', 'O2', 0.13023593466424677, 1.184675931930542]
['UO', 74, 'CO', 33, 'ld', 'chown', 'O0', 'O3', 0.14321730644111907, 3.9338057041168213]
['CO', 219, 'UO', 31, 'groups', 'c++filt', 'O2', 'O2', 0.14747903032537557, 0.8711483478546143]
