['UO', 13, 'CO', 279, 'addr2line', 'readlink', 'O1', 'O2', 0.14781557589362804, 1.6949915885925293]
['UO', 49, 'CO', 400, 'c++filt', 'shred', 'O3', 'O0', 0.11474110602324761, 2.1920297145843506]
['UO', 8, 'CO', 221, 'c++filt', 'printenv', 'O1', 'O2', 0.15528338995172541, 1.4737043380737305]
['BO', 51, 'CO', 288, 'lua', 'uname', 'O1', 'O2', 0.13612363168061814, 0.3578457832336426]
['BO', 21, 'CO', 335, 'cp', 'pr', 'O1', 'O0', 0.05511111111111111, 0.14801383018493652]
['CO', 119, 'BO', 12, 'join', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1907049729750674, 27.5640869140625]
['UO', 37, 'CO', 110, 'ar', 'mkdir', 'O2', 'O1', 0.137044788614483, 1.0411858558654785]
['BO', 72, 'CO', 413, 'make', 'rmdir', 'O2', 'O0', 0.11855104281009876, 0.23969602584838867]
['BO', 22, 'UO', 45, 'perl', 'strip', 'O0', 'O3', 0.04501819836214738, 8.101356267929077]
['UO', 29, 'CO', 329, 'as', 'stdbuf', 'O2', 'O0', 0.12490046638607666, 1.7168951034545898]
['CO', 365, 'UO', 31, 'chmod', 'c++filt', 'O0', 'O2', 0.12146479841829283, 1.1016321182250977]
['UO', 17, 'CO', 337, 'objdump', 'chgrp', 'O1', 'O0', 0.12340973750603901, 2.2993428707122803]
['UO', 66, 'BO', 61, 'nm', 'git', 'O0', 'O1', 0.03317004689506853, 16.325904846191406]
['BO', 25, 'CO', 380, 'dot', 'yes', 'O3', 'O0', 0.19091967403958088, 0.02024674415588379]
['UO', 81, 'BO', 13, 'diff3', 'ruby', 'O0', 'O1', 0.10129834796934745, 13.911303520202637]
['CO', 354, 'BO', 3, 'sum', 'openssl', 'O0', 'O1', 0.2740216557251258, 7.598976135253906]
['CO', 119, 'BO', 17, 'join', 'codeblocks', 'O1', 'O2', 0.185430463576159, 10.540600538253784]
['BO', 34, 'CO', 272, 'cp', 'tty', 'O2', 'O2', 0.14238134887593668, 0.0780184268951416]
['CO', 178, 'UO', 29, 'unexpand', 'as', 'O1', 'O2', 0.12882309060653008, 1.697305679321289]
['UO', 81, 'CO', 180, 'diff3', 'md5sum', 'O0', 'O1', 0.08943089430894313, 0.06910109519958496]
['UO', 28, 'CO', 92, 'readelf', 'sha512sum', 'O2', 'O3', 0.10621921182266014, 0.24932861328125]
['UO', 46, 'CO', 316, 'readelf', 'test', 'O3', 'O0', 0.089110383814341, 0.26512622833251953]
['BO', 57, 'UO', 41, 'libvlccore.so.9.0.0', 'locate', 'O3', 'O2', 0.13384084602115054, 5.134275436401367]
['UO', 21, 'CO', 404, 'sdiff', 'sha512sum', 'O1', 'O0', 0.04039874081846795, 0.06383943557739258]
['CO', 177, 'BO', 1, 'hostid', 'ssh', 'O1', 'O2', 0.14689589302769823, 1.3825352191925049]
['UO', 14, 'CO', 327, 'ar', 'join', 'O1', 'O0', 0.13707363723302524, 1.2112655639648438]
['UO', 26, 'CO', 116, 'nm', 'ptx', 'O2', 'O1', 0.13127445975838015, 1.0649487972259521]
['UO', 86, 'CO', 164, 'xargs', 'base64', 'O0', 'O1', 0.1253218884120172, 0.0997917652130127]
['UO', 7, 'CO', 65, 'ranlib', 'false', 'O1', 'O3', 0.15220800660338418, 1.047515630722046]
['UO', 32, 'CO', 58, 'strings', 'df', 'O2', 'O3', 0.12497890295358649, 1.0582902431488037]
['CO', 148, 'BO', 74, 'seq', 'dot', 'O1', 'O1', 0.18343815513626838, 0.019430875778198242]
['UO', 57, 'CO', 83, 'size', 'csplit', 'O3', 'O3', 0.12837176177334642, 0.8249378204345703]
['CO', 168, 'UO', 15, 'tty', 'elfedit', 'O1', 'O1', 0.05644546147978646, 0.03183126449584961]
['UO', 21, 'BO', 45, 'sdiff', 'diff', 'O1', 'O2', 0.07954901346695897, 0.1242525577545166]
['CO', 235, 'BO', 63, 'wc', 'cluster', 'O2', 'O0', 0.12245745122457452, 0.20708465576171875]
['BO', 59, 'CO', 220, 'libgeany.so.0.0.0', 'ptx', 'O3', 'O2', 0.16626175792686726, 24.49322819709778]
['UO', 5, 'CO', 394, 'readelf', 'shuf', 'O1', 'O0', 0.08129969838223194, 0.4185061454772949]
['CO', 38, 'BO', 52, 'sha1sum', 'svn', 'O3', 'O3', 0.2063269440548543, 0.45474696159362793]
['UO', 17, 'CO', 154, 'objdump', 'dircolors', 'O1', 'O1', 0.13699012331901117, 1.9611845016479492]
['UO', 38, 'CO', 6, 'elfedit', 'mkdir', 'O2', 'O3', 0.0476772616136919, 0.03869771957397461]
['BO', 30, 'CO', 42, 'libvlccore.so.9.0.0', 'sum', 'O2', 'O3', 0.15911619774280716, 4.4011549949646]
['CO', 313, 'UO', 13, 'touch', 'addr2line', 'O0', 'O1', 0.13011335633316912, 1.2788012027740479]
