['UO', 10, 'BO', 52, 'objcopy', 'svn', 'O1', 'O3', 0.06910504179311083, 6.284476041793823]
['BO', 33, 'CO', 350, 'sort', 'sha1sum', 'O2', 'O0', 0.0940416367552046, 0.25618577003479004]
['CO', 369, 'BO', 51, 'od', 'lua', 'O0', 'O1', 0.10826818289504858, 0.9734294414520264]
['CO', 406, 'BO', 40, 'rm', 'lua', 'O0', 'O0', 0.11103810775295664, 0.982109785079956]
['BO', 60, 'CO', 216, 'openssl', 'dir', 'O0', 'O2', 0.24970313195784477, 11.565608739852905]
['CO', 218, 'UO', 37, 'users', 'ar', 'O2', 'O2', 0.1466139566861464, 0.9680571556091309]
['UO', 51, 'BO', 32, 'objcopy', 'ruby', 'O3', 'O2', 0.08139633766086507, 23.71928882598877]
['UO', 30, 'CO', 32, 'ranlib', 'expr', 'O2', 'O3', 0.1406015037593985, 0.9894406795501709]
['CO', 321, 'UO', 51, 'du', 'objcopy', 'O0', 'O3', 0.09236319085216449, 1.5054173469543457]
['CO', 270, 'UO', 70, 'printf', 'ranlib', 'O2', 'O0', 0.15181797651309847, 2.2369930744171143]
['CO', 165, 'BO', 5, 'cksum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.17470215786032117, 27.494450569152832]
['UO', 26, 'CO', 385, 'nm', 'hostid', 'O2', 'O0', 0.14354236987031443, 0.9432997703552246]
['CO', 17, 'UO', 40, 'stdbuf', 'objdump', 'O3', 'O2', 0.13346785817238394, 1.7240476608276367]
['CO', 189, 'BO', 80, '[', 'ssh', 'O1', 'O3', 0.1357434768940584, 1.3268349170684814]
['BO', 6, 'UO', 9, 'codeblocks', 'strings', 'O0', 'O1', 0.1487716887132795, 40.27739763259888]
['CO', 218, 'UO', 58, 'users', 'objdump', 'O2', 'O3', 0.12721755368814192, 1.5155270099639893]
['CO', 120, 'BO', 3, 'dirname', 'openssl', 'O1', 'O1', 0.28102315935015554, 7.4223339557647705]
['UO', 75, 'CO', 39, 'gprof', 'paste', 'O0', 'O3', 0.1505285650022492, 2.178171396255493]
['UO', 26, 'CO', 21, 'nm', 'mktemp', 'O2', 'O3', 0.13885992353145638, 0.9658260345458984]
['CO', 14, 'BO', 46, 'stty', 'ruby', 'O3', 'O3', 0.10366159505099481, 12.79059910774231]
['UO', 17, 'CO', 61, 'objdump', 'cksum', 'O1', 'O3', 0.14047178797557014, 1.8957850933074951]
['UO', 0, 'CO', 170, 'locate', 'runcon', 'O1', 'O1', 0.1463328631875882, 0.11391115188598633]
['UO', 64, 'BO', 22, 'diff', 'perl', 'O3', 'O0', 0.09893626477821571, 4.441478967666626]
['CO', 331, 'UO', 3, 'dd', 'nm', 'O0', 'O1', 0.12791813239526706, 1.3529026508331299]
['UO', 10, 'CO', 376, 'objcopy', 'tty', 'O1', 'O0', 0.14121415053137287, 1.3038504123687744]
['UO', 69, 'CO', 344, 'as', 'expr', 'O0', 'O0', 0.13280821380985974, 4.018369674682617]
['CO', 265, 'UO', 41, 'od', 'locate', 'O2', 'O2', 0.10850253807106602, 0.13560223579406738]
['CO', 189, 'UO', 22, '[', 'diff3', 'O1', 'O2', 0.042002301495972394, 0.04632282257080078]
['CO', 74, 'UO', 25, 'unexpand', 'sdiff', 'O3', 'O2', 0.07460035523978681, 0.04095101356506348]
['CO', 98, 'UO', 22, 'sleep', 'diff3', 'O3', 'O2', 0.07852044127190139, 0.03399205207824707]
['BO', 57, 'CO', 153, 'libvlccore.so.9.0.0', 'nice', 'O3', 'O1', 0.15534679192484513, 4.272634267807007]
['BO', 49, 'CO', 158, 'svn', 'true', 'O0', 'O1', 0.21456456456456463, 0.5024986267089844]
['CO', 22, 'BO', 0, 'pwd', 'codeblocks', 'O3', 'O1', 0.18582250800510247, 10.327916860580444]
['CO', 410, 'BO', 69, 'sleep', 'cmp', 'O0', 'O3', 0.048523206751054815, 0.040892601013183594]
['BO', 39, 'UO', 6, 'codeblocks', 'as', 'O3', 'O1', 0.08916843125291607, 22.202182292938232]
['UO', 53, 'CO', 322, 'gprof', 'users', 'O3', 'O0', 0.1299743808710504, 0.911736249923706]
['BO', 57, 'CO', 160, 'libvlccore.so.9.0.0', 'cut', 'O3', 'O1', 0.15341496382285125, 4.250591278076172]
['CO', 39, 'UO', 47, 'paste', 'as', 'O3', 'O3', 0.12317523597350066, 1.4439377784729004]
['BO', 18, 'CO', 336, 'libvlc.so.12.0.0', 'tee', 'O1', 'O0', 0.203127944224609, 0.4579579830169678]
['UO', 58, 'CO', 32, 'objdump', 'expr', 'O3', 'O3', 0.12323983972524322, 1.5216975212097168]
['CO', 198, 'UO', 70, 'rm', 'ranlib', 'O1', 'O0', 0.14013850264463712, 2.632147789001465]
['UO', 44, 'CO', 31, 'nm', 'date', 'O3', 'O3', 0.12673611111111116, 0.8929593563079834]
['CO', 169, 'BO', 62, 'false', 'bash', 'O1', 'O1', 0.12730867937229162, 2.6529619693756104]
['BO', 10, 'CO', 276, 'openssl', 'yes', 'O3', 'O2', 0.28136223981998354, 7.257427453994751]
['UO', 35, 'CO', 39, 'gprof', 'paste', 'O2', 'O3', 0.14224751066856334, 0.9623823165893555]
['CO', 340, 'UO', 54, 'factor', 'addr2line', 'O0', 'O3', 0.11570887818306952, 1.0354952812194824]
['BO', 8, 'UO', 83, 'cp', 'diff', 'O0', 'O0', 0.03411623521344076, 0.4423379898071289]
['UO', 33, 'BO', 19, 'objcopy', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.06172839506172845, 10.581247091293335]
['CO', 246, 'UO', 80, 'sha1sum', 'objdump', 'O2', 'O0', 0.14242604725034747, 3.9390335083007812]
['UO', 8, 'CO', 373, 'c++filt', 'cksum', 'O1', 'O0', 0.1460556235788001, 1.0549633502960205]
['UO', 69, 'CO', 100, 'as', 'tac', 'O0', 'O3', 0.13734873052281893, 3.729093313217163]
['CO', 85, 'UO', 86, '[', 'xargs', 'O3', 'O0', 0.1287535993418346, 0.09745073318481445]
['UO', 28, 'CO', 391, 'readelf', 'link', 'O2', 'O0', 0.10677165354330709, 0.2545044422149658]
['UO', 55, 'CO', 347, 'ar', 'base32', 'O3', 'O0', 0.1281062553556127, 0.9287829399108887]
['CO', 17, 'BO', 74, 'stdbuf', 'dot', 'O3', 'O1', 0.16109422492401215, 0.017113208770751953]
['UO', 68, 'CO', 16, 'readelf', 'dirname', 'O0', 'O3', 0.12976163956337716, 0.4845006465911865]
['CO', 316, 'UO', 32, 'test', 'strings', 'O0', 'O2', 0.13558870538092704, 0.9814677238464355]
['BO', 44, 'UO', 9, 'cmp', 'strings', 'O2', 'O1', 0.14623007324429127, 1.0549242496490479]
['UO', 8, 'CO', 250, 'c++filt', 'sum', 'O1', 'O2', 0.14862965565706254, 0.9831011295318604]
['BO', 79, 'CO', 299, 'bash', 'comm', 'O3', 'O2', 0.1136220224010096, 2.396650552749634]
['CO', 244, 'UO', 79, 'pinky', 'size', 'O2', 'O0', 0.15231593196398097, 2.193171501159668]
['BO', 50, 'CO', 151, 'perl', 'numfmt', 'O2', 'O1', 0.08502302769304382, 2.4576354026794434]
['CO', 154, 'BO', 9, 'dircolors', 'git', 'O1', 'O0', 0.09229324043993892, 6.479655742645264]
['CO', 151, 'UO', 19, 'numfmt', 'cmp', 'O1', 'O1', 0.04029758214507129, 0.04486441612243652]
['CO', 176, 'UO', 84, 'head', 'sdiff', 'O1', 'O0', 0.08591764107778344, 0.06388330459594727]
['CO', 126, 'BO', 25, 'pwd', 'dot', 'O1', 'O3', 0.19260918253079506, 0.018637895584106445]
['CO', 109, 'UO', 51, 'basename', 'objcopy', 'O1', 'O3', 0.1305781321883147, 1.0195703506469727]
['CO', 228, 'BO', 13, 'mkfifo', 'ruby', 'O2', 'O1', 0.10501605750114695, 12.637911796569824]
['CO', 15, 'BO', 45, 'join', 'diff', 'O3', 'O2', 0.10164141414141414, 0.11202716827392578]
['CO', 355, 'BO', 62, 'chroot', 'bash', 'O0', 'O1', 0.12214848610535045, 2.8199362754821777]
['UO', 77, 'CO', 218, 'ar', 'users', 'O0', 'O2', 0.1538942936792399, 2.230065107345581]
