['CO', 378, 'UO', 74, 'runcon', 'ld', 'O0', 'O0', 0.14722602597618162, 4.645524978637695]
['BO', 4, 'CO', 229, 'libgeany.so.0.0.0', 'mktemp', 'O2', 'O2', 0.17713977025373773, 26.122588872909546]
['UO', 42, 'BO', 43, 'xargs', 'diff', 'O2', 'O1', 0.06109865470852016, 0.1800692081451416]
['BO', 55, 'CO', 190, 'make', 'timeout', 'O1', 'O1', 0.11716417910447763, 0.24269914627075195]
['CO', 262, 'UO', 40, 'true', 'objdump', 'O2', 'O2', 0.13875007349050505, 1.6492679119110107]
['CO', 83, 'UO', 64, 'csplit', 'diff', 'O3', 'O3', 0.08435207823960877, 0.10328006744384766]
['UO', 38, 'CO', 357, 'elfedit', 'split', 'O2', 'O0', 0.09838546922300706, 0.0621335506439209]
['UO', 50, 'CO', 407, 'strings', 'sha224sum', 'O3', 'O0', 0.1270373053241579, 0.8260149955749512]
['CO', 314, 'BO', 73, 'stat', 'cluster', 'O0', 'O1', 0.05810468065483054, 0.2296299934387207]
['UO', 60, 'CO', 154, 'xargs', 'dircolors', 'O3', 'O1', 0.09243697478991597, 0.07156896591186523]
['CO', 329, 'UO', 59, 'stdbuf', 'locate', 'O0', 'O3', 0.09965986394557824, 0.12323832511901855]
['BO', 83, 'CO', 304, 'lua', 'fold', 'O2', 'O2', 0.13172367538564722, 0.3649020195007324]
['CO', 332, 'BO', 43, 'mkfifo', 'diff', 'O0', 'O1', 0.0490196078431373, 0.20789241790771484]
['UO', 11, 'CO', 239, 'ld', 'date', 'O1', 'O2', 0.13867198632088917, 2.0153706073760986]
['UO', 71, 'BO', 46, 'c++filt', 'ruby', 'O0', 'O3', 0.053866278352296515, 26.07056212425232]
['CO', 235, 'BO', 80, 'wc', 'ssh', 'O2', 'O3', 0.13624305204648812, 1.3327901363372803]
['BO', 30, 'CO', 122, 'libvlccore.so.9.0.0', 'uptime', 'O2', 'O1', 0.15711564409873802, 4.629713773727417]
['UO', 44, 'BO', 63, 'nm', 'cluster', 'O3', 'O0', 0.07109758627844254, 1.4792613983154297]
['UO', 11, 'CO', 266, 'ld', 'df', 'O1', 'O2', 0.13260626398210285, 2.2476956844329834]
['UO', 6, 'CO', 307, 'as', 'sort', 'O1', 'O2', 0.11228396978164135, 2.274224042892456]
['UO', 5, 'CO', 148, 'readelf', 'seq', 'O1', 'O1', 0.11111111111111116, 0.2990889549255371]
['BO', 4, 'CO', 316, 'libgeany.so.0.0.0', 'test', 'O2', 'O0', 0.1760891622804236, 26.640607357025146]
['UO', 13, 'CO', 65, 'addr2line', 'false', 'O1', 'O3', 0.15369836695485106, 0.9879903793334961]
['CO', 286, 'BO', 41, 'chcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.19945171219699886, 5.3381218910217285]
['UO', 0, 'CO', 338, 'locate', 'kill', 'O1', 'O0', 0.12048588312541042, 0.1390397548675537]
['CO', 277, 'UO', 55, 'who', 'ar', 'O2', 'O3', 0.13337372338584041, 0.885279655456543]
['CO', 141, 'UO', 83, 'truncate', 'diff', 'O1', 'O0', 0.15372953305033354, 0.15167856216430664]
['BO', 74, 'CO', 154, 'dot', 'dircolors', 'O1', 'O1', 0.18991416309012876, 0.019666671752929688]
['BO', 69, 'UO', 82, 'cmp', 'cmp', 'O3', 'O0', 0.047533092659446496, 0.0474398136138916]
['BO', 83, 'CO', 369, 'lua', 'od', 'O2', 'O0', 0.10574655578999625, 0.47834205627441406]
['CO', 146, 'BO', 77, 'sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.18734638142922166, 5.0225911140441895]
['CO', 387, 'UO', 73, 'mv', 'objcopy', 'O0', 'O0', 0.10759072982673812, 3.864936590194702]
['CO', 49, 'BO', 25, 'nice', 'dot', 'O3', 'O3', 0.15024038461538458, 0.013854026794433594]
['CO', 203, 'BO', 45, 'sort', 'diff', 'O1', 'O2', 0.02511253257521917, 0.23148465156555176]
['CO', 69, 'BO', 80, 'who', 'ssh', 'O3', 'O3', 0.13610135474159557, 1.3060903549194336]
['CO', 52, 'UO', 30, 'sha256sum', 'ranlib', 'O3', 'O2', 0.14204976803036695, 0.9924294948577881]
['CO', 326, 'UO', 4, 'stty', 'strip', 'O0', 'O1', 0.13300212916962384, 1.4045135974884033]
['CO', 146, 'BO', 41, 'sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.20552372557661225, 5.232295036315918]
['UO', 58, 'CO', 226, 'objdump', 'uptime', 'O3', 'O2', 0.12362209268771285, 1.554365634918213]
['CO', 124, 'BO', 67, 'mkfifo', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.20619906868451687, 5.1490700244903564]
['CO', 358, 'UO', 24, 'whoami', 'diff', 'O0', 'O2', 0.12202908832919479, 0.1101686954498291]
['UO', 4, 'CO', 202, 'strip', 'sleep', 'O1', 'O1', 0.14314913497335569, 1.2719342708587646]
['CO', 261, 'BO', 74, 'chmod', 'dot', 'O2', 'O1', 0.18263718263718265, 0.025174617767333984]
['BO', 34, 'CO', 381, 'cp', 'who', 'O2', 'O0', 0.08411214953271029, 0.11819219589233398]
['BO', 49, 'CO', 316, 'svn', 'test', 'O0', 'O0', 0.19186875891583455, 0.566068172454834]
['BO', 27, 'CO', 119, 'perl', 'join', 'O3', 'O1', 0.08106609061186365, 2.321526050567627]
['CO', 299, 'BO', 82, 'comm', 'cp', 'O2', 'O3', 0.10953271028037381, 0.08340144157409668]
['UO', 79, 'CO', 94, 'size', 'rm', 'O0', 'O3', 0.1428814810608212, 2.260589361190796]
['UO', 54, 'CO', 270, 'addr2line', 'printf', 'O3', 'O2', 0.13655616942909754, 0.8000502586364746]
['UO', 81, 'BO', 7, 'diff3', 'sort', 'O0', 'O0', 0.09237875288683606, 0.2268972396850586]
['UO', 0, 'CO', 352, 'locate', 'sync', 'O1', 'O0', 0.1260107816711591, 0.13023638725280762]
['CO', 208, 'UO', 67, 'sha384sum', 'strip', 'O2', 'O0', 0.14533807116760922, 2.663461208343506]
['CO', 266, 'BO', 8, 'df', 'cp', 'O2', 'O0', 0.1024617431803061, 0.26424098014831543]
['CO', 249, 'BO', 79, 'echo', 'bash', 'O2', 'O3', 0.1156365368584018, 2.377220392227173]
['CO', 242, 'BO', 51, 'tail', 'lua', 'O2', 'O1', 0.11479318154726426, 0.49407052993774414]
['CO', 284, 'BO', 73, 'md5sum', 'cluster', 'O2', 'O1', 0.1312890741292051, 0.12025833129882812]
