['BO', 0, 'CO', 254, 'codeblocks', 'whoami', 'O1', 'O2', 0.18753438654405408, 13.699153423309326]
['CO', 124, 'UO', 42, 'mkfifo', 'xargs', 'O1', 'O2', 0.11733333333333329, 0.07136011123657227]
['UO', 43, 'BO', 73, 'find', 'cluster', 'O2', 'O1', 0.08137154554759474, 0.655806303024292]
['CO', 58, 'BO', 32, 'df', 'ruby', 'O3', 'O2', 0.12175460988143616, 16.3193941116333]
['UO', 36, 'CO', 172, 'addr2line', 'yes', 'O2', 'O1', 0.14666302964175304, 0.9228010177612305]
['BO', 42, 'UO', 33, 'cmp', 'objcopy', 'O1', 'O2', 0.1345524829021707, 1.223451852798462]
['BO', 1, 'CO', 306, 'ssh', 'sleep', 'O2', 'O2', 0.1483611270845313, 1.378960371017456]
['CO', 125, 'UO', 62, 'mktemp', 'diff3', 'O1', 'O3', 0.034371643394199736, 0.05452847480773926]
['CO', 62, 'UO', 85, 'printf', 'locate', 'O3', 'O0', 0.14653826132222803, 0.1977841854095459]
['UO', 73, 'CO', 41, 'objcopy', 'echo', 'O0', 'O3', 0.14750640349555522, 2.6173408031463623]
['BO', 67, 'CO', 7, 'libSDL2-2.0.so.0.16.0', 'fmt', 'O1', 'O3', 0.20507633771612965, 5.301247596740723]
['BO', 71, 'CO', 299, 'libSDL2-2.0.so.0.16.0', 'comm', 'O0', 'O2', 0.2011581705976837, 6.414042949676514]
['BO', 29, 'CO', 117, 'libvlc.so.12.0.0', 'printenv', 'O2', 'O1', 0.2235813114096652, 0.4102346897125244]
['BO', 12, 'CO', 13, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O3', 0.1931184974476874, 28.11404061317444]
['CO', 353, 'BO', 3, 'echo', 'openssl', 'O0', 'O1', 0.2790777849601379, 7.941453456878662]
['BO', 66, 'CO', 7, 'svn', 'fmt', 'O2', 'O3', 0.21737751704455366, 0.4965834617614746]
['CO', 30, 'BO', 11, 'expand', 'ssh', 'O3', 'O1', 0.14716434820922764, 1.5087416172027588]
['CO', 5, 'BO', 24, 'basename', 'cluster', 'O3', 'O3', 0.1341687041564792, 0.10793519020080566]
['UO', 53, 'CO', 343, 'gprof', 'date', 'O3', 'O0', 0.1150068987906826, 1.1127183437347412]
['CO', 361, 'UO', 55, 'nice', 'ar', 'O0', 'O3', 0.13236060448150078, 0.933037281036377]
['BO', 46, 'CO', 296, 'ruby', 'shred', 'O3', 'O2', 0.10228117838116779, 13.618615865707397]
['BO', 35, 'CO', 171, 'make', 'nohup', 'O3', 'O1', 0.1240727002967359, 0.2421879768371582]
['CO', 414, 'BO', 14, 'mknod', 'cmp', 'O0', 'O0', 0.09353078721745911, 0.1182246208190918]
['CO', 177, 'BO', 40, 'hostid', 'lua', 'O1', 'O0', 0.14238444835073927, 0.7106506824493408]
['CO', 294, 'BO', 45, 'timeout', 'diff', 'O2', 'O2', 0.11462994836488816, 0.11410737037658691]
['BO', 39, 'CO', 315, 'codeblocks', 'unlink', 'O3', 'O0', 0.18466952657401936, 11.0547513961792]
