['CO', 370, 'UO', 54, 'df', 'addr2line', 'O0', 'O3', 0.1051926298157454, 1.2859199047088623]
['CO', 33, 'UO', 60, 'chown', 'xargs', 'O3', 'O3', 0.05564263322884011, 0.19826531410217285]
['CO', 279, 'UO', 19, 'readlink', 'cmp', 'O2', 'O1', 0.042243767313019376, 0.08522582054138184]
['CO', 203, 'BO', 32, 'sort', 'ruby', 'O1', 'O2', 0.11760400552256434, 15.832585096359253]
['CO', 83, 'UO', 43, 'csplit', 'find', 'O3', 'O2', 0.14459415050936575, 0.38028502464294434]
['CO', 228, 'UO', 2, 'mkfifo', 'find', 'O2', 'O1', 0.1704113377117179, 0.34361934661865234]
['UO', 28, 'CO', 70, 'readelf', 'b2sum', 'O2', 'O3', 0.10045180722891567, 0.24866390228271484]
['UO', 78, 'CO', 178, 'elfedit', 'unexpand', 'O0', 'O1', 0.04869913275517013, 0.04007554054260254]
['UO', 29, 'CO', 68, 'as', 'yes', 'O2', 'O3', 0.13191759478331122, 1.545292615890503]
['BO', 21, 'CO', 53, 'cp', 'chmod', 'O1', 'O3', 0.08849840255591057, 0.11123108863830566]
['BO', 35, 'CO', 213, 'make', 'basename', 'O3', 'O2', 0.13717997707298435, 0.1968071460723877]
['CO', 31, 'UO', 39, 'date', 'size', 'O3', 'O2', 0.13387860525182949, 0.9594740867614746]
['BO', 27, 'CO', 300, 'perl', 'sha512sum', 'O3', 'O2', 0.08283884613124959, 2.1890366077423096]
['CO', 87, 'BO', 5, 'id', 'libgeany.so.0.0.0', 'O3', 'O1', 0.17419796090407336, 27.2881817817688]
['CO', 372, 'UO', 28, 'base64', 'readelf', 'O0', 'O2', 0.09655802619555287, 0.2818934917449951]
['UO', 87, 'CO', 313, 'find', 'touch', 'O0', 'O0', 0.13358872960949086, 0.7401237487792969]
['UO', 29, 'CO', 132, 'as', 'factor', 'O2', 'O1', 0.12377464788732395, 1.6967439651489258]
['CO', 88, 'UO', 15, 'shred', 'elfedit', 'O3', 'O1', 0.0715404699738903, 0.05046963691711426]
['BO', 13, 'CO', 351, 'ruby', 'paste', 'O1', 'O0', 0.10368361719630725, 12.380373477935791]
['CO', 318, 'UO', 87, 'mkdir', 'find', 'O0', 'O0', 0.11562970687058283, 0.8900711536407471]
['CO', 127, 'UO', 56, 'pr', 'elfedit', 'O1', 'O3', 0.08855291576673863, 0.056089162826538086]
['UO', 6, 'CO', 389, 'as', 'env', 'O1', 'O0', 0.1298344061176212, 1.9529063701629639]
['CO', 149, 'UO', 59, 'split', 'locate', 'O1', 'O3', 0.0917073170731707, 0.1308596134185791]
['CO', 328, 'BO', 46, 'dirname', 'ruby', 'O0', 'O3', 0.10406079750949959, 12.59915828704834]
['UO', 3, 'CO', 381, 'nm', 'who', 'O1', 'O0', 0.13914271473666728, 1.1599957942962646]
