['CO', 188, 'UO', 73, 'vdir', 'objcopy', 'O1', 'O0', 0.12381530416919562, 5.867234468460083]
['BO', 69, 'CO', 70, 'cmp', 'b2sum', 'O3', 'O3', 0.03427540589296452, 0.043242454528808594]
['UO', 27, 'CO', 43, 'strip', 'chroot', 'O2', 'O3', 0.13651218062982773, 1.2161891460418701]
['CO', 142, 'UO', 84, 'sha1sum', 'sdiff', 'O1', 'O0', 0.08757210277923444, 0.06731462478637695]
['CO', 238, 'BO', 30, 'expand', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.16139113711034536, 5.010271310806274]
['UO', 27, 'CO', 123, 'strip', 'dd', 'O2', 'O1', 0.12510797581341782, 1.7505414485931396]
['CO', 289, 'BO', 25, 'cat', 'dot', 'O2', 'O3', 0.18181818181818188, 0.01523280143737793]
['UO', 25, 'CO', 164, 'sdiff', 'base64', 'O2', 'O1', 0.05525525525525521, 0.048494815826416016]
['CO', 395, 'UO', 10, 'csplit', 'objcopy', 'O0', 'O1', 0.12831241283124128, 1.5726933479309082]
['CO', 318, 'UO', 70, 'mkdir', 'ranlib', 'O0', 'O0', 0.12891764331547972, 3.0439391136169434]
['CO', 95, 'BO', 63, 'sha224sum', 'cluster', 'O3', 'O0', 0.12611122596650814, 0.20420312881469727]
['UO', 59, 'BO', 80, 'locate', 'ssh', 'O3', 'O3', 0.11089788322865779, 1.8800525665283203]
['CO', 193, 'BO', 2, 'pathchk', 'perl', 'O1', 'O1', 0.07676227773073663, 2.47194242477417]
['BO', 55, 'CO', 42, 'make', 'sum', 'O1', 'O3', 0.12497657860221101, 0.23684430122375488]
['UO', 53, 'CO', 169, 'gprof', 'false', 'O3', 'O1', 0.13606799063394326, 0.8631641864776611]
['CO', 371, 'BO', 68, 'tsort', 'git', 'O0', 'O3', 0.09166422359034498, 6.757866382598877]
['UO', 26, 'CO', 75, 'nm', 'mv', 'O2', 'O3', 0.10753350793406258, 1.3409013748168945]
['CO', 307, 'UO', 85, 'sort', 'locate', 'O2', 'O0', 0.06890280864821174, 0.3467838764190674]
['BO', 17, 'CO', 67, 'codeblocks', 'nohup', 'O2', 'O3', 0.1876022966407731, 10.766987085342407]
['CO', 9, 'UO', 49, 'du', 'c++filt', 'O3', 'O3', 0.10785384292314149, 1.0728063583374023]
['CO', 347, 'UO', 58, 'base32', 'objdump', 'O0', 'O3', 0.12053930005737234, 1.68635892868042]
['CO', 82, 'UO', 56, 'shuf', 'elfedit', 'O3', 'O3', 0.06556442417331809, 0.04545760154724121]
['CO', 383, 'BO', 34, 'readlink', 'cp', 'O0', 'O2', 0.07713884992987374, 0.12743782997131348]
['CO', 213, 'UO', 2, 'basename', 'find', 'O2', 'O1', 0.17061365600691447, 0.36960458755493164]
['UO', 49, 'BO', 29, 'c++filt', 'libvlc.so.12.0.0', 'O3', 'O2', 0.05011373819535392, 2.0834007263183594]
['UO', 52, 'CO', 87, 'ld', 'id', 'O3', 'O3', 0.13202481804080657, 1.6216108798980713]
['CO', 140, 'UO', 86, 'pinky', 'xargs', 'O1', 'O0', 0.12008368200836816, 0.11162805557250977]
['CO', 208, 'UO', 60, 'sha384sum', 'xargs', 'O2', 'O3', 0.10741687979539638, 0.06967735290527344]
['CO', 116, 'BO', 71, 'ptx', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.19330270292644558, 7.346065282821655]
['CO', 354, 'BO', 33, 'sum', 'sort', 'O0', 'O2', 0.09307359307359309, 0.13062691688537598]
['CO', 396, 'UO', 30, 'vdir', 'ranlib', 'O0', 'O2', 0.09085677289403638, 1.7814290523529053]
['CO', 230, 'BO', 69, 'pwd', 'cmp', 'O2', 'O3', 0.052473763118440764, 0.033060312271118164]
['BO', 56, 'CO', 153, 'libvlc.so.12.0.0', 'nice', 'O3', 'O1', 0.209831675592961, 0.405689001083374]
['UO', 69, 'CO', 12, 'as', 'ptx', 'O0', 'O3', 0.13360623781676417, 3.92522931098938]
['CO', 244, 'UO', 69, 'pinky', 'as', 'O2', 'O0', 0.1383905485500616, 3.986004114151001]
['CO', 89, 'BO', 54, 'pathchk', 'lua', 'O3', 'O3', 0.11782966662167638, 0.3307335376739502]
['CO', 229, 'BO', 33, 'mktemp', 'sort', 'O2', 'O2', 0.10888468809073726, 0.11098265647888184]
['BO', 64, 'UO', 76, 'dot', 'addr2line', 'O0', 'O0', 0.16253794778384945, 2.0586817264556885]
['BO', 82, 'CO', 145, 'cp', 'echo', 'O3', 'O1', 0.11511895625479662, 0.08424782752990723]
['BO', 10, 'CO', 338, 'openssl', 'kill', 'O3', 'O0', 0.2747370221500043, 7.6136345863342285]
['BO', 56, 'CO', 205, 'libvlc.so.12.0.0', 'rmdir', 'O3', 'O1', 0.20482836665409276, 0.4173159599304199]
['CO', 404, 'BO', 64, 'sha512sum', 'dot', 'O0', 'O0', 0.20674356699201424, 0.028480052947998047]
['CO', 105, 'UO', 46, 'touch', 'readelf', 'O1', 'O3', 0.08239700374531833, 0.3037104606628418]
['CO', 414, 'UO', 50, 'mknod', 'strings', 'O0', 'O3', 0.10585642851089072, 1.1598014831542969]
['CO', 218, 'BO', 66, 'users', 'svn', 'O2', 'O2', 0.22536362150678213, 0.4835479259490967]
['BO', 3, 'UO', 9, 'openssl', 'strings', 'O1', 'O1', 0.14578288037791132, 15.01194953918457]
['BO', 18, 'CO', 48, 'libvlc.so.12.0.0', 'ls', 'O1', 'O3', 0.13936026430394954, 0.6846461296081543]
['BO', 44, 'CO', 112, 'cmp', 'dir', 'O2', 'O1', 0.12221829742140589, 0.11883330345153809]
['UO', 31, 'CO', 123, 'c++filt', 'dd', 'O2', 'O1', 0.12909675736764326, 1.0915422439575195]
['UO', 36, 'CO', 56, 'addr2line', 'cut', 'O2', 'O3', 0.14269131172426108, 0.95497727394104]
['UO', 10, 'CO', 135, 'objcopy', 'date', 'O1', 'O1', 0.13150126511104865, 1.510143518447876]
['UO', 3, 'CO', 374, 'nm', 'printf', 'O1', 'O0', 0.1424379610999329, 1.1904723644256592]
