['UO', 56, 'CO', 353, 'elfedit', 'echo', 'O3', 'O0', 0.04459561602418749, 0.07287788391113281]
['BO', 50, 'CO', 145, 'perl', 'echo', 'O2', 'O1', 0.08713367337699574, 2.8201630115509033]
['CO', 174, 'BO', 56, 'b2sum', 'libvlc.so.12.0.0', 'O1', 'O3', 0.19151251360174104, 0.34949374198913574]
['UO', 15, 'CO', 326, 'elfedit', 'stty', 'O1', 'O0', 0.0766129032258065, 0.04192376136779785]
['UO', 70, 'CO', 233, 'ranlib', 'chgrp', 'O0', 'O2', 0.14332139906361885, 1.9585435390472412]
['BO', 44, 'UO', 80, 'cmp', 'objdump', 'O2', 'O0', 0.14075273488408824, 3.6426031589508057]
['BO', 66, 'CO', 159, 'svn', 'cp', 'O2', 'O1', 0.15038780070987245, 0.730827808380127]
['CO', 60, 'BO', 69, 'base64', 'cmp', 'O3', 'O3', 0.044520547945205435, 0.03117227554321289]
['CO', 183, 'BO', 64, 'link', 'dot', 'O1', 'O0', 0.17076326002587328, 0.014341354370117188]
['CO', 346, 'UO', 19, 'tail', 'cmp', 'O0', 'O1', 0.10021141649048626, 0.0822458267211914]
['BO', 43, 'CO', 281, 'diff', 'hostid', 'O1', 'O2', 0.1560205580029368, 0.09064960479736328]
['BO', 29, 'CO', 233, 'libvlc.so.12.0.0', 'chgrp', 'O2', 'O2', 0.18647725229275314, 0.44561290740966797]
['UO', 73, 'BO', 38, 'objcopy', 'acyclic', 'O0', 'O2', 0.15297479334625985, 2.3419580459594727]
['BO', 9, 'CO', 258, 'git', 'dircolors', 'O0', 'O2', 0.09290699498117938, 6.013839483261108]
['BO', 51, 'UO', 83, 'lua', 'diff', 'O1', 'O0', 0.06552449654343251, 0.8126208782196045]
['UO', 51, 'CO', 308, 'objcopy', 'tac', 'O3', 'O2', 0.12867815215734102, 0.964705228805542]
['BO', 81, 'UO', 86, 'sort', 'xargs', 'O3', 'O0', 0.025974025974025983, 0.18809175491333008]
['UO', 43, 'CO', 52, 'find', 'sha256sum', 'O2', 'O3', 0.1570006863417982, 0.33960986137390137]
