['UO', 39, 'CO', 328, 'size', 'dirname', 'O2', 'O0', 0.14279279279279278, 0.9447052478790283]
['CO', 331, 'BO', 70, 'dd', 'diff', 'O0', 'O3', 0.04734693877551022, 0.319566011428833]
['CO', 342, 'UO', 29, 'expand', 'as', 'O0', 'O2', 0.12635605801073424, 2.2690269947052]
['UO', 37, 'CO', 35, 'ar', 'base32', 'O2', 'O3', 0.14340166017279343, 1.048731803894043]
['BO', 76, 'CO', 145, 'openssl', 'echo', 'O2', 'O1', 0.27973653622626893, 7.663470029830933]
['UO', 4, 'CO', 47, 'strip', 'numfmt', 'O1', 'O3', 0.1387002216343748, 1.3633105754852295]
['UO', 56, 'CO', 305, 'elfedit', 'uniq', 'O3', 'O2', 0.04526462395543174, 0.03741288185119629]
['UO', 60, 'CO', 236, 'xargs', 'factor', 'O3', 'O2', 0.0757575757575758, 0.0796210765838623]
['CO', 237, 'UO', 86, 'nproc', 'xargs', 'O2', 'O0', 0.14912280701754388, 0.08760213851928711]
['UO', 68, 'BO', 1, 'readelf', 'ssh', 'O0', 'O2', 0.05275443510737632, 3.454740047454834]
['UO', 8, 'CO', 380, 'c++filt', 'yes', 'O1', 'O0', 0.14777719205763484, 1.0580382347106934]
['BO', 53, 'CO', 380, 'bash', 'yes', 'O0', 'O0', 0.12472358941436623, 3.6345624923706055]
['BO', 77, 'CO', 184, 'libSDL2-2.0.so.0.16.0', 'uname', 'O3', 'O1', 0.19041284403669723, 4.99400782585144]
['CO', 295, 'UO', 51, 'id', 'objcopy', 'O2', 'O3', 0.12923874114150724, 1.05369234085083]
['CO', 241, 'UO', 65, 'chown', 'sdiff', 'O2', 'O3', 0.05060352831940573, 0.06544685363769531]
['CO', 106, 'BO', 58, 'stat', 'svn', 'O1', 'O1', 0.18157933148445482, 0.6460258960723877]
['UO', 68, 'CO', 231, 'readelf', 'pr', 'O0', 'O2', 0.11426754292982833, 0.5859441757202148]
['CO', 83, 'UO', 32, 'csplit', 'strings', 'O3', 'O2', 0.13627992633517494, 0.9843764305114746]
['CO', 395, 'BO', 81, 'csplit', 'sort', 'O0', 'O3', 0.05567133075320041, 0.1381971836090088]
['UO', 45, 'CO', 128, 'strip', 'tee', 'O3', 'O1', 0.12748822367421364, 1.0226783752441406]
['UO', 27, 'BO', 71, 'strip', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.0845436991016707, 13.745684146881104]
['BO', 9, 'CO', 144, 'git', 'sync', 'O0', 'O1', 0.09298128604496059, 6.498299837112427]
['UO', 52, 'CO', 229, 'ld', 'mktemp', 'O3', 'O2', 0.13037762906309758, 1.6785650253295898]
['BO', 12, 'CO', 106, 'libgeany.so.0.0.0', 'stat', 'O0', 'O1', 0.18789019728374667, 30.87716841697693]
['CO', 59, 'UO', 3, 'tsort', 'nm', 'O3', 'O1', 0.14857432946949833, 1.1196892261505127]
['BO', 43, 'CO', 351, 'diff', 'paste', 'O1', 'O0', 0.12009314703925478, 0.1266794204711914]
['CO', 121, 'UO', 7, 'stdbuf', 'ranlib', 'O1', 'O1', 0.14449410808614382, 1.2146387100219727]
['UO', 54, 'CO', 83, 'addr2line', 'csplit', 'O3', 'O3', 0.12883654532476796, 0.8693146705627441]
['CO', 217, 'BO', 45, 'du', 'diff', 'O2', 'O2', 0.0314083080040527, 0.2008225917816162]
['UO', 22, 'BO', 4, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O2', 0.176452885178908, 29.32737898826599]
['UO', 13, 'CO', 373, 'addr2line', 'cksum', 'O1', 'O0', 0.14617309517646038, 1.130326509475708]
['UO', 43, 'CO', 17, 'find', 'stdbuf', 'O2', 'O3', 0.15612682090831187, 0.36588287353515625]
['UO', 77, 'CO', 213, 'ar', 'basename', 'O0', 'O2', 0.15504451038575673, 2.2806477546691895]
['BO', 40, 'UO', 43, 'lua', 'find', 'O0', 'O2', 0.04367119814045217, 1.7989401817321777]
['BO', 66, 'UO', 6, 'svn', 'as', 'O2', 'O1', 0.07378581677464235, 4.215389251708984]
['CO', 237, 'UO', 41, 'nproc', 'locate', 'O2', 'O2', 0.14456521739130435, 0.11796092987060547]
['CO', 358, 'UO', 19, 'whoami', 'cmp', 'O0', 'O1', 0.04017216642754662, 0.04165029525756836]
['CO', 335, 'UO', 10, 'pr', 'objcopy', 'O0', 'O1', 0.12479258849557517, 1.7069530487060547]
['UO', 25, 'CO', 311, 'sdiff', 'ln', 'O2', 'O2', 0.0604713205869275, 0.08017945289611816]
['BO', 39, 'CO', 25, 'codeblocks', 'chgrp', 'O3', 'O3', 0.1812314934325412, 11.29125428199768]
['CO', 239, 'BO', 51, 'date', 'lua', 'O2', 'O1', 0.1149963950973324, 0.5050530433654785]
['UO', 74, 'BO', 51, 'ld', 'lua', 'O0', 'O1', 0.08795223958503251, 6.913897275924683]
['UO', 51, 'CO', 63, 'objcopy', 'logname', 'O3', 'O3', 0.13252088602743928, 1.0049352645874023]
['BO', 68, 'CO', 42, 'git', 'sum', 'O3', 'O3', 0.09231250244264666, 6.596132040023804]
['BO', 67, 'CO', 279, 'libSDL2-2.0.so.0.16.0', 'readlink', 'O1', 'O2', 0.20450815715802684, 5.378182649612427]
['UO', 31, 'CO', 169, 'c++filt', 'false', 'O2', 'O1', 0.14741219963031427, 0.9244647026062012]
['CO', 75, 'UO', 23, 'mv', 'cmp', 'O3', 'O2', 0.10630048465266562, 0.10721921920776367]
['CO', 413, 'UO', 59, 'rmdir', 'locate', 'O0', 'O3', 0.11154529307282413, 0.12626004219055176]
['BO', 11, 'UO', 79, 'ssh', 'size', 'O1', 'O0', 0.02741029789664029, 7.530250787734985]
['BO', 73, 'CO', 11, 'cluster', 'groups', 'O1', 'O3', 0.13372434017595314, 0.123809814453125]
['CO', 156, 'UO', 53, 'sha256sum', 'gprof', 'O1', 'O3', 0.1299420586230402, 0.9486284255981445]
['BO', 32, 'CO', 114, 'ruby', 'users', 'O2', 'O1', 0.1254236710779555, 15.378666400909424]
['CO', 317, 'UO', 72, 'basename', 'strings', 'O0', 'O0', 0.15027225378787878, 2.326411247253418]
['UO', 75, 'CO', 77, 'gprof', 'env', 'O0', 'O3', 0.1505685016323315, 2.2973265647888184]
['BO', 1, 'CO', 359, 'ssh', 'numfmt', 'O2', 'O0', 0.1342047128129602, 1.68548583984375]
['BO', 57, 'CO', 315, 'libvlccore.so.9.0.0', 'unlink', 'O3', 'O0', 0.15441117764471057, 4.485919237136841]
['UO', 24, 'CO', 70, 'diff', 'b2sum', 'O2', 'O3', 0.10745401742497585, 0.11730504035949707]
['UO', 27, 'BO', 30, 'strip', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.06059134563504909, 11.050974369049072]
['CO', 375, 'BO', 67, 'logname', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.2045982575024201, 5.6216912269592285]
['BO', 68, 'CO', 291, 'git', 'csplit', 'O3', 'O2', 0.09138253881563552, 6.736630916595459]
['BO', 31, 'UO', 27, 'bash', 'strip', 'O2', 'O2', 0.03426106547242902, 7.737393856048584]
['BO', 13, 'CO', 80, 'ruby', 'uname', 'O1', 'O3', 0.1049425129403142, 13.341801643371582]
['CO', 230, 'UO', 34, 'pwd', 'ld', 'O2', 'O2', 0.14149472168905952, 1.9331517219543457]
['CO', 126, 'UO', 50, 'pwd', 'strings', 'O1', 'O3', 0.13423998519752056, 0.8727748394012451]
['UO', 60, 'CO', 249, 'xargs', 'echo', 'O3', 'O2', 0.13896766874645494, 0.05954265594482422]
['CO', 106, 'BO', 68, 'stat', 'git', 'O1', 'O3', 0.08910258890909795, 7.597657680511475]
['CO', 138, 'BO', 63, 'tail', 'cluster', 'O1', 'O0', 0.10011398176291797, 0.2815876007080078]
['CO', 307, 'UO', 43, 'sort', 'find', 'O2', 'O2', 0.09723614492338539, 0.6095201969146729]
['UO', 78, 'CO', 289, 'elfedit', 'cat', 'O0', 'O2', 0.0771513353115727, 0.03613781929016113]
['CO', 296, 'BO', 58, 'shred', 'svn', 'O2', 'O1', 0.19905285670638562, 0.5871539115905762]
['CO', 98, 'UO', 53, 'sleep', 'gprof', 'O3', 'O3', 0.13604681180621292, 0.8982419967651367]
['CO', 94, 'BO', 51, 'rm', 'lua', 'O3', 'O1', 0.11305565278263918, 0.5159733295440674]
['BO', 22, 'CO', 16, 'perl', 'dirname', 'O0', 'O3', 0.11249376247504994, 3.7256197929382324]
['CO', 332, 'BO', 68, 'mkfifo', 'git', 'O0', 'O3', 0.08717810642921708, 7.95113730430603]
['UO', 57, 'BO', 39, 'size', 'codeblocks', 'O3', 'O3', 0.12091489800123634, 18.673941135406494]
['UO', 14, 'CO', 195, 'ar', 'comm', 'O1', 'O1', 0.14512582457854872, 1.2276809215545654]
['UO', 85, 'CO', 125, 'locate', 'mktemp', 'O0', 'O1', 0.13257379596064212, 0.2209460735321045]
['BO', 11, 'CO', 82, 'ssh', 'shuf', 'O1', 'O3', 0.13903611487735734, 1.5971875190734863]
['CO', 167, 'BO', 37, 'logname', 'gvmap', 'O1', 'O2', 0.13184226015303113, 0.12655377388000488]
['CO', 210, 'BO', 42, 'stat', 'cmp', 'O2', 'O1', 0.0785498489425982, 0.06635618209838867]
['UO', 44, 'CO', 255, 'nm', 'numfmt', 'O3', 'O2', 0.13399191737763805, 0.8746917247772217]
['BO', 11, 'CO', 310, 'ssh', 'mknod', 'O1', 'O2', 0.14922998599974546, 1.4756789207458496]
['UO', 87, 'CO', 235, 'find', 'wc', 'O0', 'O2', 0.16276300119094878, 0.6461386680603027]
['UO', 15, 'CO', 262, 'elfedit', 'true', 'O1', 'O2', 0.08776371308016873, 0.027369976043701172]
['UO', 78, 'CO', 167, 'elfedit', 'logname', 'O0', 'O1', 0.0703296703296703, 0.036762237548828125]
['UO', 84, 'CO', 346, 'sdiff', 'tail', 'O0', 'O0', 0.0512728576550735, 0.12945890426635742]
['BO', 6, 'UO', 39, 'codeblocks', 'size', 'O0', 'O2', 0.15140136994909825, 41.52702188491821]
['BO', 82, 'CO', 411, 'cp', 'sort', 'O3', 'O0', 0.06439957492029758, 0.2983107566833496]
['UO', 8, 'CO', 95, 'c++filt', 'sha224sum', 'O1', 'O3', 0.14752673215682865, 1.0615086555480957]
['CO', 393, 'BO', 6, 'cat', 'codeblocks', 'O0', 'O0', 0.20477461447212342, 29.617580890655518]
['CO', 129, 'BO', 28, 'chgrp', 'ruby', 'O1', 'O0', 0.10215660601682541, 14.952280282974243]
['CO', 372, 'UO', 11, 'base64', 'ld', 'O0', 'O1', 0.14019014693171994, 2.272097110748291]
['CO', 156, 'UO', 32, 'sha256sum', 'strings', 'O1', 'O2', 0.14077538904380682, 0.9981865882873535]
['UO', 47, 'CO', 85, 'as', '[', 'O3', 'O3', 0.12084521799871939, 1.4901392459869385]
['UO', 55, 'CO', 382, 'ar', 'b2sum', 'O3', 'O0', 0.12232210367134333, 1.0476868152618408]
['CO', 47, 'UO', 71, 'numfmt', 'c++filt', 'O3', 'O0', 0.14958546480860824, 2.272555351257324]
['BO', 48, 'CO', 3, 'libvlccore.so.9.0.0', 'unlink', 'O0', 'O3', 0.1831882018354003, 10.943765878677368]
['UO', 46, 'CO', 243, 'readelf', 'base32', 'O3', 'O2', 0.10457516339869277, 0.23990130424499512]
['UO', 71, 'CO', 10, 'c++filt', 'users', 'O0', 'O3', 0.15303147498066283, 2.142960786819458]
['CO', 258, 'UO', 31, 'dircolors', 'c++filt', 'O2', 'O2', 0.1447549244159414, 0.9424893856048584]
['UO', 10, 'CO', 330, 'objcopy', 'uptime', 'O1', 'O0', 0.1339031339031339, 1.5296459197998047]
['UO', 20, 'CO', 217, 'diff', 'du', 'O1', 'O2', 0.038480635551142006, 0.21550798416137695]
['CO', 142, 'BO', 13, 'sha1sum', 'ruby', 'O1', 'O1', 0.10384920151164212, 13.559783697128296]
['UO', 58, 'CO', 352, 'objdump', 'sync', 'O3', 'O0', 0.12355189990732163, 1.6587026119232178]
['BO', 47, 'UO', 43, 'libvlc.so.12.0.0', 'find', 'O0', 'O2', 0.060300533204071693, 1.6087043285369873]
['UO', 49, 'BO', 50, 'c++filt', 'perl', 'O3', 'O2', 0.035385986305224604, 6.159099340438843]
['CO', 366, 'BO', 25, 'true', 'dot', 'O0', 'O3', 0.18942189421894218, 0.01959991455078125]
['CO', 24, 'UO', 83, 'tee', 'diff', 'O3', 'O0', 0.15088843577046318, 0.16260981559753418]
['BO', 49, 'CO', 357, 'svn', 'split', 'O0', 'O0', 0.17692516268980474, 0.6984946727752686]
['BO', 46, 'CO', 337, 'ruby', 'chgrp', 'O3', 'O0', 0.1002322214850111, 14.967609405517578]
['BO', 23, 'CO', 278, 'git', 'b2sum', 'O2', 'O2', 0.09199851426113814, 6.781492471694946]
['UO', 2, 'CO', 364, 'find', 'sha256sum', 'O1', 'O0', 0.14278807413376304, 0.4806241989135742]
['BO', 35, 'CO', 259, 'make', 'realpath', 'O3', 'O2', 0.12193784277879338, 0.253267765045166]
['CO', 90, 'UO', 11, 'tr', 'ld', 'O3', 'O1', 0.14390525707683421, 2.143366813659668]
['CO', 337, 'BO', 57, 'chgrp', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.14377466532538885, 5.322758197784424]
['CO', 149, 'UO', 3, 'split', 'nm', 'O1', 'O1', 0.13897406149001412, 1.2701983451843262]
['UO', 10, 'CO', 1, 'objcopy', 'touch', 'O1', 'O3', 0.13314149354295335, 1.450451374053955]
['UO', 69, 'CO', 270, 'as', 'printf', 'O0', 'O2', 0.13842055034197553, 3.8575942516326904]
['CO', 254, 'UO', 81, 'whoami', 'diff3', 'O2', 'O0', 0.1348053457292272, 0.05692410469055176]
['CO', 374, 'UO', 69, 'printf', 'as', 'O0', 'O0', 0.13479995260476318, 4.112341642379761]
['UO', 4, 'CO', 291, 'strip', 'csplit', 'O1', 'O2', 0.13674052894924948, 1.4322335720062256]
['UO', 29, 'BO', 66, 'as', 'svn', 'O2', 'O2', 0.06960806270996645, 4.168286323547363]
['BO', 67, 'CO', 342, 'libSDL2-2.0.so.0.16.0', 'expand', 'O1', 'O0', 0.20210465619143725, 5.641819715499878]
['BO', 71, 'CO', 363, 'libSDL2-2.0.so.0.16.0', 'realpath', 'O0', 'O0', 0.19346105789254475, 7.371807098388672]
['UO', 43, 'CO', 21, 'find', 'mktemp', 'O2', 'O3', 0.15000000000000002, 0.4042048454284668]
['UO', 67, 'CO', 69, 'strip', 'who', 'O0', 'O3', 0.14333828628033674, 2.8097262382507324]
['CO', 123, 'UO', 82, 'dd', 'cmp', 'O1', 'O0', 0.04874585896829153, 0.08057355880737305]
['UO', 58, 'CO', 376, 'objdump', 'tty', 'O3', 'O0', 0.12435413642960813, 1.7033195495605469]
['CO', 395, 'UO', 64, 'csplit', 'diff', 'O0', 'O3', 0.05938037865748713, 0.15559101104736328]
['CO', 254, 'BO', 45, 'whoami', 'diff', 'O2', 'O2', 0.1468373493975903, 0.09642481803894043]
['UO', 11, 'CO', 84, 'ld', 'vdir', 'O1', 'O3', 0.12159553935234824, 2.6903903484344482]
['BO', 59, 'CO', 72, 'libgeany.so.0.0.0', 'head', 'O3', 'O3', 0.16776855629014864, 26.60209631919861]
['CO', 301, 'UO', 78, 'nl', 'elfedit', 'O2', 'O0', 0.0681334279630944, 0.0394742488861084]
['UO', 7, 'CO', 318, 'ranlib', 'mkdir', 'O1', 'O0', 0.11699185168572923, 1.6408329010009766]
['BO', 5, 'UO', 13, 'libgeany.so.0.0.0', 'addr2line', 'O1', 'O1', 0.12767589333406382, 42.98374319076538]
['CO', 400, 'UO', 11, 'shred', 'ld', 'O0', 'O1', 0.13068118056334865, 2.5064544677734375]
['CO', 414, 'BO', 32, 'mknod', 'ruby', 'O0', 'O2', 0.11935926620246384, 17.54656171798706]
['BO', 32, 'CO', 326, 'ruby', 'stty', 'O2', 'O0', 0.12329207795066288, 15.855257749557495]
['CO', 270, 'UO', 39, 'printf', 'size', 'O2', 'O2', 0.14393463230672532, 0.9893627166748047]
['BO', 45, 'UO', 44, 'diff', 'nm', 'O2', 'O3', 0.10074003342086413, 1.2497100830078125]
['CO', 53, 'BO', 66, 'chmod', 'svn', 'O3', 'O2', 0.197189415458215, 0.5488476753234863]
['CO', 46, 'BO', 7, 'whoami', 'sort', 'O3', 'O0', 0.169507282305547, 0.14789676666259766]
['CO', 295, 'BO', 57, 'id', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.1549593366289268, 4.487718105316162]
['UO', 59, 'CO', 101, 'locate', 'rmdir', 'O3', 'O3', 0.1295041027470567, 0.10654330253601074]
['UO', 4, 'CO', 213, 'strip', 'basename', 'O1', 'O2', 0.14621947631656373, 1.3145687580108643]
['CO', 335, 'UO', 85, 'pr', 'locate', 'O0', 'O0', 0.08838268792710702, 0.29712486267089844]
['BO', 8, 'UO', 8, 'cp', 'c++filt', 'O0', 'O1', 0.09059509246599984, 1.8523454666137695]
['CO', 109, 'UO', 64, 'basename', 'diff', 'O1', 'O3', 0.11974567290709992, 0.0933995246887207]
['UO', 6, 'CO', 84, 'as', 'vdir', 'O1', 'O3', 0.1109576427255985, 2.426666259765625]
['BO', 10, 'UO', 51, 'openssl', 'objcopy', 'O3', 'O3', 0.1389759070456228, 14.877955198287964]
['UO', 1, 'BO', 19, 'xargs', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.1506576636352992, 5.77597975730896]
['BO', 53, 'CO', 27, 'bash', 'wc', 'O0', 'O3', 0.12347075878650737, 3.7983884811401367]
['UO', 11, 'CO', 97, 'ld', 'uniq', 'O1', 'O3', 0.14232381827580265, 2.112973690032959]
['BO', 64, 'CO', 316, 'dot', 'test', 'O0', 'O0', 0.2043795620437956, 0.02849411964416504]
['BO', 7, 'CO', 179, 'sort', 'mv', 'O0', 'O1', 0.04304503786369074, 0.3485417366027832]
['CO', 132, 'BO', 30, 'factor', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.15526409074796166, 5.055809259414673]
['CO', 341, 'UO', 41, 'nproc', 'locate', 'O0', 'O2', 0.11776718856364876, 0.13988733291625977]
