['BO', 0, 'CO', 86, 'codeblocks', 'timeout', 'O1', 'O3', 0.18470362296273224, 13.946052312850952]
['CO', 378, 'UO', 10, 'runcon', 'objcopy', 'O0', 'O1', 0.13864030023094687, 1.3506929874420166]
['UO', 45, 'CO', 352, 'strip', 'sync', 'O3', 'O0', 0.12699862951119234, 0.9912688732147217]
['BO', 51, 'CO', 327, 'lua', 'join', 'O1', 'O0', 0.11331239429813966, 0.47840142250061035]
['BO', 35, 'CO', 316, 'make', 'test', 'O3', 'O0', 0.1099057442646274, 0.25315380096435547]
['BO', 47, 'CO', 234, 'libvlc.so.12.0.0', 'kill', 'O0', 'O2', 0.23519254014850632, 0.534426212310791]
['CO', 369, 'UO', 7, 'od', 'ranlib', 'O0', 'O1', 0.13404657016991817, 1.2916171550750732]
['UO', 7, 'CO', 332, 'ranlib', 'mkfifo', 'O1', 'O0', 0.12100508616108707, 1.4173262119293213]
['CO', 156, 'BO', 19, 'sha256sum', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.16079436258808455, 4.558748960494995]
['BO', 44, 'UO', 57, 'cmp', 'size', 'O2', 'O3', 0.13340623291416076, 0.8078505992889404]
['UO', 23, 'CO', 192, 'cmp', 'shred', 'O2', 'O1', 0.07776560788608977, 0.05739712715148926]
['BO', 35, 'CO', 347, 'make', 'base32', 'O3', 'O0', 0.11306217523741269, 0.24988031387329102]
['UO', 12, 'CO', 290, 'gprof', 'shuf', 'O1', 'O2', 0.13679955615439487, 1.1521790027618408]
['UO', 40, 'BO', 26, 'objdump', 'gvmap', 'O2', 'O3', 0.10352989605845431, 2.277341365814209]
['BO', 83, 'UO', 44, 'lua', 'nm', 'O2', 'O3', 0.039042165538781926, 1.9974546432495117]
['BO', 32, 'UO', 28, 'ruby', 'readelf', 'O2', 'O2', 0.10558315182474887, 17.80188226699829]
['UO', 37, 'CO', 212, 'ar', 'test', 'O2', 'O2', 0.14404974870091147, 0.9586474895477295]
['UO', 34, 'BO', 34, 'ld', 'cp', 'O2', 'O2', 0.11843637371777105, 2.1848132610321045]
['CO', 55, 'UO', 19, 'cp', 'cmp', 'O3', 'O1', 0.10007072135785011, 0.0899817943572998]
['CO', 265, 'UO', 42, 'od', 'xargs', 'O2', 'O2', 0.08036117381489838, 0.0796208381652832]
['UO', 47, 'BO', 53, 'as', 'bash', 'O3', 'O0', 0.0350284292010139, 9.51116943359375]
['UO', 15, 'CO', 23, 'elfedit', 'pr', 'O1', 'O3', 0.0598111227701994, 0.04680490493774414]
['UO', 25, 'CO', 172, 'sdiff', 'yes', 'O2', 'O1', 0.08403908794788273, 0.039305686950683594]
['UO', 36, 'CO', 178, 'addr2line', 'unexpand', 'O2', 'O1', 0.1430240920532182, 0.9088916778564453]
['CO', 146, 'UO', 35, 'sum', 'gprof', 'O1', 'O2', 0.13684035292159147, 1.0025911331176758]
['BO', 8, 'UO', 45, 'cp', 'strip', 'O0', 'O3', 0.07958255970292594, 1.7000272274017334]
['CO', 256, 'UO', 81, 'ls', 'diff3', 'O2', 'O0', 0.06521060842433701, 0.14518046379089355]
