['UO', 54, 'CO', 373, 'addr2line', 'cksum', 'O3', 'O0', 0.1336274239500046, 1.5215487480163574]
['UO', 29, 'CO', 240, 'as', 'expr', 'O2', 'O2', 0.12783799201369084, 3.6986005306243896]
['CO', 385, 'UO', 3, 'hostid', 'nm', 'O0', 'O1', 0.14817661627807666, 2.310978889465332]
['CO', 74, 'UO', 18, 'unexpand', 'diff3', 'O3', 'O1', 0.07560137457044669, 0.094451904296875]
['UO', 69, 'CO', 190, 'as', 'timeout', 'O0', 'O1', 0.1364229506900233, 4.461960315704346]
['CO', 289, 'UO', 66, 'cat', 'nm', 'O2', 'O0', 0.15379217589614647, 2.244112014770508]
['UO', 71, 'BO', 45, 'c++filt', 'diff', 'O0', 'O2', 0.1265076679583037, 2.730132579803467]
['CO', 345, 'BO', 74, 'chown', 'dot', 'O0', 'O1', 0.2138138138138138, 0.10279273986816406]
['CO', 278, 'UO', 87, 'b2sum', 'find', 'O2', 'O0', 0.16378741922721884, 0.666893720626831]
['CO', 409, 'UO', 54, 'uniq', 'addr2line', 'O0', 'O3', 0.12652877697841725, 0.9086730480194092]
['CO', 80, 'BO', 26, 'uname', 'gvmap', 'O3', 'O3', 0.13205351948807442, 0.10910344123840332]
['UO', 54, 'CO', 88, 'addr2line', 'shred', 'O3', 'O3', 0.12342524887675099, 0.8928773403167725]
['CO', 338, 'BO', 66, 'kill', 'svn', 'O0', 'O2', 0.20885375494071146, 0.5367679595947266]
['CO', 161, 'BO', 45, 'od', 'diff', 'O1', 'O2', 0.09002813379180996, 0.12765026092529297]
['CO', 228, 'UO', 78, 'mkfifo', 'elfedit', 'O2', 'O0', 0.08782742681047762, 0.032317161560058594]
['BO', 55, 'CO', 315, 'make', 'unlink', 'O1', 'O0', 0.12816547457954763, 0.23220348358154297]
['CO', 347, 'UO', 41, 'base32', 'locate', 'O0', 'O2', 0.10636215334420884, 0.14310717582702637]
['CO', 136, 'UO', 79, 'expr', 'size', 'O1', 'O0', 0.14791594101938932, 2.2688918113708496]
['UO', 70, 'CO', 14, 'ranlib', 'stty', 'O0', 'O3', 0.14874282209957068, 2.3981592655181885]
['BO', 79, 'CO', 53, 'bash', 'chmod', 'O3', 'O3', 0.10936170212765961, 2.526867151260376]
['UO', 17, 'CO', 176, 'objdump', 'head', 'O1', 'O1', 0.13639395286794131, 2.0373713970184326]
['BO', 75, 'CO', 265, 'gvmap', 'od', 'O1', 'O2', 0.10652741514360309, 0.14995121955871582]
['BO', 41, 'CO', 23, 'libSDL2-2.0.so.0.16.0', 'pr', 'O2', 'O3', 0.19988482027163212, 5.430843114852905]
['UO', 26, 'BO', 41, 'nm', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.08862220170782364, 10.869917392730713]
['BO', 47, 'CO', 194, 'libvlc.so.12.0.0', 'tr', 'O0', 'O1', 0.22079653391101484, 0.6237647533416748]
['UO', 45, 'CO', 18, 'strip', 'uptime', 'O3', 'O3', 0.12612612612612617, 1.0541586875915527]
['CO', 389, 'BO', 37, 'env', 'gvmap', 'O0', 'O2', 0.11058758314855877, 0.14641523361206055]
['BO', 67, 'CO', 118, 'libSDL2-2.0.so.0.16.0', 'stty', 'O1', 'O1', 0.20081339712918655, 5.355654239654541]
['UO', 71, 'CO', 256, 'c++filt', 'ls', 'O0', 'O2', 0.12923740529779348, 2.7012476921081543]
['BO', 24, 'UO', 72, 'cluster', 'strings', 'O3', 'O0', 0.12104706504494978, 2.9284582138061523]
['BO', 63, 'CO', 285, 'cluster', 'env', 'O0', 'O2', 0.13742117851706892, 0.19120001792907715]
['BO', 67, 'CO', 10, 'libSDL2-2.0.so.0.16.0', 'users', 'O1', 'O3', 0.20586105344469652, 5.269984722137451]
['BO', 11, 'CO', 355, 'ssh', 'chroot', 'O1', 'O0', 0.14088105177892707, 1.5892527103424072]
['BO', 58, 'CO', 221, 'svn', 'printenv', 'O1', 'O2', 0.23257752584194735, 0.46898913383483887]
['UO', 14, 'CO', 411, 'ar', 'sort', 'O1', 'O0', 0.10000703779294817, 1.8694453239440918]
['UO', 10, 'CO', 81, 'objcopy', 'cat', 'O1', 'O3', 0.14225668526704838, 1.3006017208099365]
['BO', 36, 'CO', 200, 'cluster', 'fold', 'O2', 'O1', 0.1257539203860072, 0.12624502182006836]
['CO', 410, 'UO', 14, 'sleep', 'ar', 'O0', 'O1', 0.1454842664487127, 1.2255921363830566]
['CO', 347, 'BO', 27, 'base32', 'perl', 'O0', 'O3', 0.08056553617854112, 2.5679409503936768]
['CO', 75, 'UO', 43, 'mv', 'find', 'O3', 'O2', 0.0910439708659293, 0.5920846462249756]
['CO', 195, 'UO', 17, 'comm', 'objdump', 'O1', 'O1', 0.13700769831529624, 2.0634448528289795]
['CO', 322, 'BO', 83, 'users', 'lua', 'O0', 'O2', 0.1221594640746092, 0.42576050758361816]
['CO', 208, 'UO', 59, 'sha384sum', 'locate', 'O2', 'O3', 0.12595837897042717, 0.10880756378173828]
['BO', 46, 'CO', 83, 'ruby', 'csplit', 'O3', 'O3', 0.10298267439390718, 13.05983567237854]
['UO', 61, 'CO', 48, 'find', 'ls', 'O3', 'O3', 0.07880935506732811, 0.5092892646789551]
['BO', 73, 'CO', 357, 'cluster', 'split', 'O1', 'O0', 0.0831449384576739, 0.1934652328491211]
['BO', 58, 'CO', 130, 'svn', 'kill', 'O1', 'O1', 0.2180087138938196, 0.5013465881347656]
['CO', 281, 'UO', 53, 'hostid', 'gprof', 'O2', 'O3', 0.1387943819244526, 0.8638217449188232]
['UO', 43, 'CO', 93, 'find', 'nl', 'O2', 'O3', 0.16000000000000003, 0.3563556671142578]
['UO', 54, 'CO', 355, 'addr2line', 'chroot', 'O3', 'O0', 0.12877554711521078, 0.9034886360168457]
['CO', 159, 'BO', 9, 'cp', 'git', 'O1', 'O0', 0.08560526566822468, 7.913854360580444]
['CO', 367, 'BO', 25, 'cp', 'dot', 'O0', 'O3', 0.2125074096028453, 0.14772439002990723]
['CO', 164, 'UO', 16, 'base64', 'size', 'O1', 'O1', 0.14651383262949236, 1.1192083358764648]
['CO', 248, 'BO', 55, 'sync', 'make', 'O2', 'O1', 0.13965927099841524, 0.21480655670166016]
['CO', 145, 'UO', 74, 'echo', 'ld', 'O1', 'O0', 0.15088497426670577, 4.083864688873291]
['CO', 108, 'UO', 18, 'test', 'diff3', 'O1', 'O1', 0.0597098214285714, 0.05373048782348633]
['UO', 70, 'CO', 104, 'ranlib', 'sha384sum', 'O0', 'O1', 0.14960054011477442, 2.39728045463562]
['UO', 57, 'CO', 155, 'size', 'realpath', 'O3', 'O1', 0.13049786886732562, 0.8810653686523438]
['CO', 317, 'UO', 68, 'basename', 'readelf', 'O0', 'O0', 0.12119205298013247, 0.5611169338226318]
['UO', 38, 'CO', 382, 'elfedit', 'b2sum', 'O2', 'O0', 0.08356391809629216, 0.05830526351928711]
['CO', 63, 'BO', 0, 'logname', 'codeblocks', 'O3', 'O1', 0.18693834900731454, 10.50128722190857]
['BO', 16, 'CO', 191, 'make', 'id', 'O0', 'O1', 0.12136170212765962, 0.28122687339782715]
['BO', 23, 'CO', 113, 'git', 'du', 'O2', 'O1', 0.08618147701380507, 7.717958450317383]
['BO', 14, 'CO', 283, 'cmp', 'mv', 'O0', 'O2', 0.09887359198998746, 0.1400136947631836]
['CO', 368, 'BO', 72, 'cut', 'make', 'O0', 'O2', 0.11028103877623618, 0.28183889389038086]
['CO', 290, 'UO', 38, 'shuf', 'elfedit', 'O2', 'O2', 0.0674224343675418, 0.04771304130554199]
['UO', 21, 'CO', 314, 'sdiff', 'stat', 'O1', 'O0', 0.10204081632653061, 0.1155998706817627]
['UO', 58, 'BO', 26, 'objdump', 'gvmap', 'O3', 'O3', 0.09526502493445066, 2.1806654930114746]
['UO', 44, 'BO', 31, 'nm', 'bash', 'O3', 'O2', 0.04585325784023231, 6.609984636306763]
['BO', 15, 'CO', 200, 'diff', 'fold', 'O0', 'O1', 0.1515333734215274, 0.16599774360656738]
['UO', 15, 'CO', 362, 'elfedit', 'dircolors', 'O1', 'O0', 0.0641607258587168, 0.04758882522583008]
['BO', 60, 'CO', 349, 'openssl', 'truncate', 'O0', 'O0', 0.26746987951807233, 9.21925163269043]
['CO', 287, 'UO', 75, 'link', 'gprof', 'O2', 'O0', 0.15308445253812886, 2.2727248668670654]
