['UO', 83, 'CO', 348, 'diff', 'pinky', 'O0', 'O0', 0.1186393027832443, 0.1350398063659668]
['CO', 149, 'BO', 51, 'split', 'lua', 'O1', 'O1', 0.116416827852998, 0.3371446132659912]
['BO', 47, 'CO', 241, 'libvlc.so.12.0.0', 'chown', 'O0', 'O2', 0.1994989038521766, 0.5162153244018555]
['UO', 28, 'CO', 296, 'readelf', 'shred', 'O2', 'O2', 0.09289861545332734, 0.6510195732116699]
['CO', 69, 'BO', 40, 'who', 'lua', 'O3', 'O0', 0.1359807460890493, 1.5515832901000977]
['UO', 86, 'CO', 238, 'xargs', 'expand', 'O0', 'O2', 0.1465284039675383, 0.09819340705871582]
['CO', 276, 'UO', 41, 'yes', 'locate', 'O2', 'O2', 0.15555555555555556, 0.11269521713256836]
['UO', 29, 'CO', 327, 'as', 'join', 'O2', 'O0', 0.12232691982170063, 1.9348843097686768]
['CO', 395, 'BO', 40, 'csplit', 'lua', 'O0', 'O0', 0.12047145203361997, 0.8312523365020752]
['CO', 383, 'BO', 76, 'readlink', 'openssl', 'O0', 'O2', 0.2711591438864166, 7.866287708282471]
['BO', 56, 'CO', 312, 'libvlc.so.12.0.0', 'sha384sum', 'O3', 'O0', 0.1849648458626285, 0.4529259204864502]
['CO', 296, 'BO', 57, 'shred', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.14974229846165954, 4.435651540756226]
['CO', 294, 'BO', 40, 'timeout', 'lua', 'O2', 'O0', 0.13761561134261613, 0.7058210372924805]
['UO', 58, 'CO', 413, 'objdump', 'rmdir', 'O3', 'O0', 0.12255269997112328, 1.5250921249389648]
['BO', 37, 'CO', 409, 'gvmap', 'uniq', 'O2', 'O0', 0.09729586426299042, 0.1527872085571289]
['CO', 29, 'UO', 14, 'nproc', 'ar', 'O3', 'O1', 0.14928308070462926, 1.0820086002349854]
['BO', 35, 'CO', 192, 'make', 'shred', 'O3', 'O1', 0.0994332818134982, 0.2823140621185303]
['BO', 74, 'CO', 362, 'dot', 'dircolors', 'O1', 'O0', 0.20515361744301286, 0.024920940399169922]
['UO', 42, 'CO', 132, 'xargs', 'factor', 'O2', 'O1', 0.06461405030355594, 0.08366894721984863]
['CO', 301, 'UO', 25, 'nl', 'sdiff', 'O2', 'O2', 0.07893061744112029, 0.04097390174865723]
['CO', 193, 'UO', 49, 'pathchk', 'c++filt', 'O1', 'O3', 0.13813870330290767, 0.754011869430542]
['CO', 276, 'BO', 27, 'yes', 'perl', 'O2', 'O3', 0.08426833589228766, 2.158578634262085]
['CO', 107, 'BO', 54, 'unlink', 'lua', 'O1', 'O3', 0.11846259437199724, 0.3079700469970703]
['CO', 134, 'UO', 9, 'expand', 'strings', 'O1', 'O1', 0.14760499826449147, 1.01883864402771]
['CO', 354, 'BO', 56, 'sum', 'libvlc.so.12.0.0', 'O0', 'O3', 0.18652379222666182, 0.45196962356567383]
['BO', 68, 'CO', 225, 'git', 'stdbuf', 'O3', 'O2', 0.09267422951076631, 6.1341636180877686]
['BO', 72, 'CO', 74, 'make', 'unexpand', 'O2', 'O3', 0.12829428989751102, 0.2172555923461914]
['BO', 39, 'CO', 316, 'codeblocks', 'test', 'O3', 'O0', 0.1822520545148283, 10.439795970916748]
['BO', 9, 'CO', 207, 'git', 'ln', 'O0', 'O1', 0.08878667233582005, 6.838339567184448]
['CO', 121, 'BO', 0, 'stdbuf', 'codeblocks', 'O1', 'O1', 0.1847766707421763, 10.281318187713623]
['BO', 70, 'CO', 60, 'diff', 'base64', 'O3', 'O3', 0.1126475548060708, 0.09060096740722656]
['UO', 77, 'CO', 254, 'ar', 'whoami', 'O0', 'O2', 0.15542354486776722, 2.1607112884521484]
['CO', 305, 'BO', 41, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.20615324319028017, 5.238953113555908]
['CO', 256, 'BO', 34, 'ls', 'cp', 'O2', 'O2', 0.02722835859234518, 0.1962900161743164]
['UO', 72, 'CO', 399, 'strings', 'id', 'O0', 'O0', 0.14570811693995445, 2.214047908782959]
['CO', 18, 'BO', 34, 'uptime', 'cp', 'O3', 'O2', 0.10526315789473684, 0.09797859191894531]
['BO', 44, 'CO', 192, 'cmp', 'shred', 'O2', 'O1', 0.07776560788608977, 0.056249141693115234]
['CO', 345, 'BO', 2, 'chown', 'perl', 'O0', 'O1', 0.07017770764893039, 2.892350435256958]
['CO', 396, 'UO', 44, 'vdir', 'nm', 'O0', 'O3', 0.08233419335255732, 1.4507472515106201]
['BO', 58, 'CO', 366, 'svn', 'true', 'O1', 'O0', 0.21795705920624597, 0.4633047580718994]
['UO', 68, 'CO', 372, 'readelf', 'base64', 'O0', 'O0', 0.11494750514124907, 0.5554792881011963]
['CO', 182, 'BO', 33, 'chcon', 'sort', 'O1', 'O2', 0.0714512543664656, 0.13271641731262207]
['CO', 301, 'UO', 53, 'nl', 'gprof', 'O2', 'O3', 0.13460875560151675, 0.8435144424438477]
['CO', 204, 'UO', 56, 'tac', 'elfedit', 'O1', 'O3', 0.05862068965517242, 0.03747415542602539]
['BO', 7, 'CO', 38, 'sort', 'sha1sum', 'O0', 'O3', 0.1498967246975509, 0.15027213096618652]
['UO', 59, 'CO', 48, 'locate', 'ls', 'O3', 'O3', 0.029064272211720255, 0.2093355655670166]
['BO', 4, 'CO', 52, 'libgeany.so.0.0.0', 'sha256sum', 'O2', 'O3', 0.1774329325434012, 26.697890043258667]
