['BO', 71, 'CO', 408, 'libSDL2-2.0.so.0.16.0', 'fold', 'O0', 'O0', 0.19778002018163465, 5.895140171051025]
['BO', 82, 'CO', 378, 'cp', 'runcon', 'O3', 'O0', 0.09337134711332862, 0.0937187671661377]
['BO', 37, 'CO', 193, 'gvmap', 'pathchk', 'O2', 'O1', 0.1304093567251462, 0.10459399223327637]
['CO', 169, 'UO', 76, 'false', 'addr2line', 'O1', 'O0', 0.15463979007633588, 1.9373328685760498]
['CO', 8, 'BO', 58, 'dir', 'svn', 'O3', 'O1', 0.15080603224128963, 0.6786541938781738]
['BO', 14, 'CO', 53, 'cmp', 'chmod', 'O0', 'O3', 0.038232373386295926, 0.054325103759765625]
['UO', 22, 'BO', 12, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19071476932005027, 27.479235887527466]
['CO', 187, 'UO', 25, 'csplit', 'sdiff', 'O1', 'O2', 0.02927580893682591, 0.0592801570892334]
['BO', 53, 'UO', 52, 'bash', 'ld', 'O0', 'O3', 0.032346503859002396, 9.990277528762817]
['CO', 231, 'BO', 49, 'pr', 'svn', 'O2', 'O0', 0.1904296875, 0.5877208709716797]
['BO', 15, 'CO', 281, 'diff', 'hostid', 'O0', 'O2', 0.17622689611217335, 0.13258767127990723]
['UO', 7, 'BO', 37, 'ranlib', 'gvmap', 'O1', 'O2', 0.10323296794782855, 1.5940132141113281]
['CO', 160, 'UO', 43, 'cut', 'find', 'O1', 'O2', 0.1542443064182195, 0.36998915672302246]
['BO', 22, 'CO', 41, 'perl', 'echo', 'O0', 'O3', 0.11241772981066156, 3.425382375717163]
['BO', 41, 'CO', 95, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O2', 'O3', 0.20670090486671555, 5.02702522277832]
['BO', 9, 'UO', 41, 'git', 'locate', 'O0', 'O2', 0.0838558887242048, 7.343127012252808]
['UO', 0, 'BO', 36, 'locate', 'cluster', 'O1', 'O2', 0.027922860586581, 0.28662991523742676]
['UO', 59, 'CO', 296, 'locate', 'shred', 'O3', 'O2', 0.08813998703823722, 0.12964677810668945]
['UO', 69, 'CO', 176, 'as', 'head', 'O0', 'O1', 0.1370492062863703, 3.7446165084838867]
['CO', 340, 'BO', 83, 'factor', 'lua', 'O0', 'O2', 0.09890900371658073, 0.5368118286132812]
['UO', 55, 'CO', 402, 'ar', 'tr', 'O3', 'O0', 0.12464086530336316, 0.932438850402832]
['CO', 168, 'BO', 51, 'tty', 'lua', 'O1', 'O1', 0.13148171741623138, 0.4108130931854248]
['CO', 390, 'BO', 30, 'chcon', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.14691396028936432, 5.3409528732299805]
['BO', 83, 'CO', 395, 'lua', 'csplit', 'O2', 'O0', 0.10455829954539864, 0.48376941680908203]
['UO', 76, 'CO', 188, 'addr2line', 'vdir', 'O0', 'O1', 0.12683512525241503, 2.6727371215820312]
['CO', 280, 'UO', 49, 'head', 'c++filt', 'O2', 'O3', 0.13616466424513363, 0.7812681198120117]
['UO', 80, 'CO', 247, 'objdump', 'paste', 'O0', 'O2', 0.1439101159408741, 3.724179744720459]
['CO', 42, 'BO', 16, 'sum', 'make', 'O3', 'O0', 0.1220419202163624, 0.25298094749450684]
['BO', 5, 'CO', 393, 'libgeany.so.0.0.0', 'cat', 'O1', 'O0', 0.17342005661397542, 27.21748447418213]
['UO', 24, 'CO', 387, 'diff', 'mv', 'O2', 'O0', 0.06925207756232687, 0.3600306510925293]
