['UO', 81, 'CO', 212, 'diff3', 'test', 'O0', 'O2', 0.11034846884899685, 0.04412984848022461]
['CO', 149, 'BO', 0, 'split', 'codeblocks', 'O1', 'O1', 0.1828946688039712, 11.320665836334229]
['UO', 61, 'CO', 39, 'find', 'paste', 'O3', 'O3', 0.15238776605258453, 0.27852702140808105]
['CO', 342, 'UO', 11, 'expand', 'ld', 'O0', 'O1', 0.14174184594031924, 1.9486372470855713]
['BO', 26, 'CO', 138, 'gvmap', 'tail', 'O3', 'O1', 0.08529630547979172, 0.15488696098327637]
['UO', 0, 'BO', 14, 'locate', 'cmp', 'O1', 'O0', 0.10647571606475714, 0.14119267463684082]
['CO', 365, 'UO', 21, 'chmod', 'sdiff', 'O0', 'O1', 0.07356715141146275, 0.08441662788391113]
['CO', 282, 'BO', 34, 'unexpand', 'cp', 'O2', 'O2', 0.12480252764612954, 0.08233499526977539]
['UO', 76, 'CO', 343, 'addr2line', 'date', 'O0', 'O0', 0.13811368037361893, 2.389756202697754]
['BO', 18, 'CO', 378, 'libvlc.so.12.0.0', 'runcon', 'O1', 'O0', 0.20569259962049335, 0.4425206184387207]
['BO', 79, 'CO', 3, 'bash', 'unlink', 'O3', 'O3', 0.11489580044205872, 2.2670936584472656]
['CO', 347, 'UO', 39, 'base32', 'size', 'O0', 'O2', 0.13661298885153073, 0.9779698848724365]
['CO', 166, 'BO', 57, 'printf', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.15292389535114537, 4.255540370941162]
['CO', 180, 'BO', 71, 'md5sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.19920872090576203, 6.426276922225952]
['BO', 71, 'CO', 289, 'libSDL2-2.0.so.0.16.0', 'cat', 'O0', 'O2', 0.2019508057675996, 6.093582630157471]
['BO', 70, 'CO', 128, 'diff', 'tee', 'O3', 'O1', 0.10572687224669608, 0.09885787963867188]
['UO', 62, 'CO', 221, 'diff3', 'printenv', 'O3', 'O2', 0.09004739336492895, 0.03156113624572754]
['BO', 17, 'CO', 70, 'codeblocks', 'b2sum', 'O2', 'O3', 0.18580801818557546, 10.130231618881226]
['CO', 90, 'BO', 4, 'tr', 'libgeany.so.0.0.0', 'O3', 'O2', 0.1773343493031082, 26.786575078964233]
['UO', 16, 'CO', 409, 'size', 'uniq', 'O1', 'O0', 0.1389475462454599, 1.1206870079040527]
['CO', 313, 'UO', 82, 'touch', 'cmp', 'O0', 'O0', 0.0642496558054153, 0.08458828926086426]
['UO', 75, 'CO', 30, 'gprof', 'expand', 'O0', 'O3', 0.149744625919066, 2.1374521255493164]
['CO', 81, 'UO', 50, 'cat', 'strings', 'O3', 'O3', 0.1367876604784335, 0.7731103897094727]
['UO', 28, 'BO', 29, 'readelf', 'libvlc.so.12.0.0', 'O2', 'O2', 0.04988216810683421, 0.9656026363372803]
['UO', 59, 'CO', 253, 'locate', 'split', 'O3', 'O2', 0.10153640614562454, 0.12017321586608887]
['CO', 258, 'BO', 44, 'dircolors', 'cmp', 'O2', 'O2', 0.043763676148796504, 0.033139944076538086]
['CO', 173, 'BO', 38, 'who', 'acyclic', 'O1', 'O2', 0.18998109640831762, 0.023259878158569336]
['CO', 362, 'UO', 44, 'dircolors', 'nm', 'O0', 'O3', 0.13063345578353192, 0.8710966110229492]
['BO', 14, 'CO', 203, 'cmp', 'sort', 'O0', 'O1', 0.10513780197346034, 0.12843704223632812]
['BO', 60, 'CO', 134, 'openssl', 'expand', 'O0', 'O1', 0.2699933777414203, 8.721981287002563]
['CO', 268, 'UO', 64, 'base64', 'diff', 'O2', 'O3', 0.11851851851851847, 0.08894085884094238]
['BO', 32, 'UO', 24, 'ruby', 'diff', 'O2', 'O2', 0.11765876965956601, 16.02638292312622]
['CO', 70, 'UO', 33, 'b2sum', 'objcopy', 'O3', 'O2', 0.13305383936451898, 1.192415714263916]
['CO', 1, 'BO', 13, 'touch', 'ruby', 'O3', 'O1', 0.10249693372299029, 12.950449228286743]
['UO', 26, 'BO', 10, 'nm', 'openssl', 'O2', 'O3', 0.1482649842271293, 14.261685848236084]
