['CO', 271, 'BO', 68, 'logname', 'git', 'O2', 'O3', 0.0938268205864422, 9.793547868728638]
['BO', 37, 'UO', 22, 'gvmap', 'diff3', 'O2', 'O2', 0.10963983050847459, 0.1494581699371338]
['CO', 405, 'BO', 61, 'nl', 'git', 'O0', 'O1', 0.09148591398059391, 6.818105459213257]
['CO', 213, 'BO', 58, 'basename', 'svn', 'O2', 'O1', 0.22952176071487673, 0.47397279739379883]
['CO', 202, 'BO', 11, 'sleep', 'ssh', 'O1', 'O1', 0.14753994420492011, 1.4692459106445312]
['BO', 64, 'CO', 170, 'dot', 'runcon', 'O0', 'O1', 0.1693121693121693, 0.015815019607543945]
['UO', 28, 'BO', 34, 'readelf', 'cp', 'O2', 'O2', 0.06424289809747197, 0.4076347351074219]
['UO', 80, 'CO', 266, 'objdump', 'df', 'O0', 'O2', 0.13364446330080615, 4.466404438018799]
['BO', 16, 'UO', 10, 'make', 'objcopy', 'O0', 'O1', 0.07387920640140311, 2.4033305644989014]
['BO', 40, 'CO', 189, 'lua', '[', 'O0', 'O1', 0.13500453035336757, 0.727003812789917]
['CO', 347, 'UO', 43, 'base32', 'find', 'O0', 'O2', 0.1460274436727088, 0.4131186008453369]
['UO', 41, 'CO', 353, 'locate', 'echo', 'O2', 'O0', 0.129746835443038, 0.1225290298461914]
['BO', 24, 'CO', 397, 'cluster', '[', 'O3', 'O0', 0.09533128319821083, 0.14827466011047363]
['CO', 72, 'UO', 32, 'head', 'strings', 'O3', 'O2', 0.14235956059658839, 0.9326770305633545]
['CO', 281, 'BO', 58, 'hostid', 'svn', 'O2', 'O1', 0.23162620552045232, 0.455341100692749]
['BO', 77, 'CO', 243, 'libSDL2-2.0.so.0.16.0', 'base32', 'O3', 'O2', 0.19060279624111853, 5.005183696746826]
['UO', 83, 'CO', 58, 'diff', 'df', 'O0', 'O3', 0.0982142857142857, 0.22899818420410156]
['BO', 48, 'CO', 169, 'libvlccore.so.9.0.0', 'false', 'O0', 'O1', 0.18303610776507917, 10.847660541534424]
['BO', 46, 'CO', 326, 'ruby', 'stty', 'O3', 'O0', 0.1025076656850542, 13.288978099822998]
['UO', 59, 'CO', 144, 'locate', 'sync', 'O3', 'O1', 0.13025679196129514, 0.10938048362731934]
['UO', 86, 'CO', 187, 'xargs', 'csplit', 'O0', 'O1', 0.09226646248085757, 0.12209796905517578]
['UO', 75, 'CO', 278, 'gprof', 'b2sum', 'O0', 'O2', 0.1469963083118917, 2.322669744491577]
['UO', 39, 'CO', 235, 'size', 'wc', 'O2', 'O2', 0.14016773733047827, 0.9794938564300537]
['BO', 68, 'CO', 355, 'git', 'chroot', 'O3', 'O0', 0.09113435048971785, 6.72825026512146]
['CO', 162, 'UO', 54, 'df', 'addr2line', 'O1', 'O3', 0.11480908152734781, 1.0802016258239746]
['UO', 54, 'CO', 353, 'addr2line', 'echo', 'O3', 'O0', 0.13596815994076272, 0.8287391662597656]
['UO', 9, 'CO', 303, 'strings', 'sha224sum', 'O1', 'O2', 0.14908616187989554, 1.055105447769165]
['UO', 70, 'CO', 65, 'ranlib', 'false', 'O0', 'O3', 0.15481670929241265, 2.272571325302124]
['BO', 60, 'CO', 50, 'openssl', 'dircolors', 'O0', 'O3', 0.26957603077760073, 9.090669631958008]
['UO', 21, 'CO', 363, 'sdiff', 'realpath', 'O1', 'O0', 0.052872394509405174, 0.07463383674621582]
['BO', 26, 'CO', 92, 'gvmap', 'sha512sum', 'O3', 'O3', 0.11698008849557517, 0.12546753883361816]
['CO', 398, 'BO', 14, 'timeout', 'cmp', 'O0', 'O0', 0.04336043360433606, 0.07101750373840332]
['BO', 6, 'UO', 79, 'codeblocks', 'size', 'O0', 'O0', 0.12457742933179894, 49.787121295928955]
['CO', 137, 'BO', 51, 'chown', 'lua', 'O1', 'O1', 0.10918055881662359, 0.5642621517181396]
['BO', 7, 'CO', 68, 'sort', 'yes', 'O0', 'O3', 0.16878290492412518, 0.1447584629058838]
['UO', 9, 'CO', 251, 'strings', 'chroot', 'O1', 'O2', 0.1490877497827976, 1.0746123790740967]
['CO', 139, 'UO', 51, 'base32', 'objcopy', 'O1', 'O3', 0.1273653013146896, 1.0733401775360107]
['UO', 16, 'CO', 373, 'size', 'cksum', 'O1', 'O0', 0.14586206896551723, 1.106868028640747]
['CO', 307, 'BO', 62, 'sort', 'bash', 'O2', 'O1', 0.10971101482688717, 3.4900925159454346]
['UO', 15, 'CO', 79, 'elfedit', 'link', 'O1', 'O3', 0.07169253510716922, 0.029448747634887695]
['CO', 319, 'UO', 35, 'fmt', 'gprof', 'O0', 'O2', 0.134033404994212, 1.1271886825561523]
['CO', 52, 'BO', 59, 'sha256sum', 'libgeany.so.0.0.0', 'O3', 'O3', 0.16773295374556152, 26.404578924179077]
['BO', 25, 'UO', 4, 'dot', 'strip', 'O3', 'O1', 0.15437097016044388, 1.2591819763183594]
['BO', 71, 'CO', 95, 'libSDL2-2.0.so.0.16.0', 'sha224sum', 'O0', 'O3', 0.1997815217847989, 6.705488920211792]
['BO', 41, 'UO', 8, 'libSDL2-2.0.so.0.16.0', 'c++filt', 'O2', 'O1', 0.08604376108811351, 11.272025346755981]
['CO', 279, 'BO', 42, 'readlink', 'cmp', 'O2', 'O1', 0.042243767313019376, 0.040457963943481445]
['UO', 5, 'CO', 61, 'readelf', 'cksum', 'O1', 'O3', 0.11998789529429565, 0.2887129783630371]
['UO', 10, 'CO', 56, 'objcopy', 'cut', 'O1', 'O3', 0.14063288401931806, 1.3653125762939453]
['UO', 69, 'CO', 73, 'as', 'hostid', 'O0', 'O3', 0.14040549169859518, 3.763084888458252]
['CO', 148, 'UO', 70, 'seq', 'ranlib', 'O1', 'O0', 0.15014626462646263, 2.479515552520752]
['CO', 256, 'BO', 54, 'ls', 'lua', 'O2', 'O3', 0.07183974211374622, 0.54115891456604]
['CO', 340, 'BO', 22, 'factor', 'perl', 'O0', 'O0', 0.10413439047358664, 4.537700653076172]
['CO', 173, 'BO', 32, 'who', 'ruby', 'O1', 'O2', 0.12447357695965222, 15.887200832366943]
['CO', 88, 'BO', 63, 'shred', 'cluster', 'O3', 'O0', 0.10576555937380683, 0.255359411239624]
['BO', 46, 'CO', 253, 'ruby', 'split', 'O3', 'O2', 0.10281936317349338, 13.678893566131592]
['CO', 213, 'BO', 56, 'basename', 'libvlc.so.12.0.0', 'O2', 'O3', 0.2190364735712893, 0.4118363857269287]
['BO', 12, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O3', 0.19208436098110426, 29.15284299850464]
['CO', 262, 'BO', 2, 'true', 'perl', 'O2', 'O1', 0.07796520122194184, 2.5529894828796387]
['CO', 270, 'BO', 25, 'printf', 'dot', 'O2', 'O3', 0.17640449438202244, 0.018823862075805664]
['CO', 373, 'UO', 9, 'cksum', 'strings', 'O0', 'O1', 0.14605183323220938, 1.1621901988983154]
['CO', 25, 'BO', 54, 'chgrp', 'lua', 'O3', 'O3', 0.10089431918377634, 0.3896925449371338]
['CO', 362, 'UO', 66, 'dircolors', 'nm', 'O0', 'O0', 0.1471384934585903, 2.4638314247131348]
['BO', 10, 'CO', 66, 'openssl', 'runcon', 'O3', 'O3', 0.28032066201189554, 7.693804740905762]
['CO', 351, 'UO', 45, 'paste', 'strip', 'O0', 'O3', 0.12607905497501137, 1.1315858364105225]
['CO', 258, 'BO', 13, 'dircolors', 'ruby', 'O2', 'O1', 0.10437556277948201, 13.649265766143799]
['BO', 24, 'CO', 166, 'cluster', 'printf', 'O3', 'O1', 0.11318553092182027, 0.13263726234436035]
