['BO', 52, 'CO', 245, 'svn', 'truncate', 'O3', 'O2', 0.21617694543106225, 0.9120044708251953]
['CO', 161, 'BO', 33, 'od', 'sort', 'O1', 'O2', 0.08564576909900645, 0.25000953674316406]
['CO', 197, 'UO', 6, 'nl', 'as', 'O1', 'O1', 0.13130141902711057, 4.236658573150635]
['CO', 202, 'UO', 54, 'sleep', 'addr2line', 'O1', 'O3', 0.13820610332993233, 1.712190866470337]
['CO', 332, 'UO', 28, 'mkfifo', 'readelf', 'O0', 'O2', 0.06719367588932812, 0.839468240737915]
['UO', 3, 'CO', 65, 'nm', 'false', 'O1', 'O3', 0.1534364261168385, 1.352890968322754]
['BO', 5, 'CO', 28, 'libgeany.so.0.0.0', 'factor', 'O1', 'O3', 0.17304524141426936, 28.196348190307617]
['BO', 72, 'CO', 328, 'make', 'dirname', 'O2', 'O0', 0.12418665179401378, 0.2449629306793213]
['UO', 78, 'BO', 39, 'elfedit', 'codeblocks', 'O0', 'O3', 0.18341682854513852, 10.822739124298096]
['CO', 257, 'BO', 36, 'nice', 'cluster', 'O2', 'O2', 0.14326375711574957, 0.11429738998413086]
['CO', 287, 'BO', 47, 'link', 'libvlc.so.12.0.0', 'O2', 'O0', 0.24201474201474205, 0.5608456134796143]
['UO', 36, 'CO', 193, 'addr2line', 'pathchk', 'O2', 'O1', 0.14602252088630585, 0.9217314720153809]
['UO', 20, 'CO', 311, 'diff', 'ln', 'O1', 'O2', 0.07564211120519337, 0.16986942291259766]
['UO', 26, 'CO', 399, 'nm', 'id', 'O2', 'O0', 0.13572542901716067, 1.0343222618103027]
['UO', 73, 'BO', 79, 'objcopy', 'bash', 'O0', 'O3', 0.0073492718776936306, 10.648812770843506]
['BO', 75, 'CO', 124, 'gvmap', 'mkfifo', 'O1', 'O1', 0.12951289398280807, 0.13017749786376953]
['UO', 24, 'CO', 218, 'diff', 'users', 'O2', 'O2', 0.13793103448275867, 0.09492659568786621]
['CO', 36, 'BO', 73, 'pinky', 'cluster', 'O3', 'O1', 0.12182741116751272, 0.13338398933410645]
['CO', 170, 'BO', 14, 'runcon', 'cmp', 'O1', 'O0', 0.09375, 0.043038129806518555]
['CO', 60, 'BO', 81, 'base64', 'sort', 'O3', 'O3', 0.10782241014799154, 0.0877680778503418]
['UO', 61, 'CO', 165, 'find', 'cksum', 'O3', 'O1', 0.1508886470801596, 0.3009510040283203]
['CO', 42, 'UO', 10, 'sum', 'objcopy', 'O3', 'O1', 0.13989637305699487, 1.343627691268921]
['UO', 14, 'CO', 15, 'ar', 'join', 'O1', 'O3', 0.14180948585093667, 1.173656702041626]
['UO', 77, 'CO', 293, 'ar', '[', 'O0', 'O2', 0.15157669092345016, 2.3895018100738525]
['UO', 80, 'CO', 110, 'objdump', 'mkdir', 'O0', 'O1', 0.13922556272627107, 4.124743223190308]
['CO', 128, 'BO', 31, 'tee', 'bash', 'O1', 'O2', 0.12302270305712648, 2.805882215499878]
['BO', 46, 'UO', 41, 'ruby', 'locate', 'O3', 'O2', 0.09708651096282173, 14.949447870254517]
['UO', 28, 'CO', 9, 'readelf', 'du', 'O2', 'O3', 0.06950672645739908, 0.38931965827941895]
['CO', 284, 'UO', 82, 'md5sum', 'cmp', 'O2', 'O0', 0.08333333333333337, 0.04596209526062012]
['UO', 72, 'BO', 72, 'strings', 'make', 'O0', 'O2', 0.09551712638749943, 3.4287474155426025]
['CO', 396, 'BO', 71, 'vdir', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.16644097961078652, 8.76401686668396]
['CO', 57, 'BO', 56, 'od', 'libvlc.so.12.0.0', 'O3', 'O3', 0.18475226796929523, 0.45581936836242676]
['BO', 18, 'CO', 385, 'libvlc.so.12.0.0', 'hostid', 'O1', 'O0', 0.2148133748055987, 0.4390714168548584]
['BO', 52, 'CO', 259, 'svn', 'realpath', 'O3', 'O2', 0.2048833933322899, 0.47706007957458496]
['BO', 61, 'CO', 28, 'git', 'factor', 'O1', 'O3', 0.09140422883152755, 6.6681060791015625]
['BO', 16, 'CO', 149, 'make', 'split', 'O0', 'O1', 0.10641781270464967, 0.30390262603759766]
['BO', 80, 'CO', 275, 'ssh', 'nohup', 'O3', 'O2', 0.14059304703476483, 1.2903773784637451]
['UO', 37, 'CO', 167, 'ar', 'logname', 'O2', 'O1', 0.14582439275598658, 1.0053129196166992]
['CO', 215, 'BO', 75, 'fmt', 'gvmap', 'O2', 'O1', 0.12941847206385404, 0.12682008743286133]
['CO', 133, 'UO', 45, 'nproc', 'strip', 'O1', 'O3', 0.12879077228630353, 1.05277419090271]
['BO', 76, 'CO', 398, 'openssl', 'timeout', 'O2', 'O0', 0.2711763958853659, 8.373845338821411]
['BO', 29, 'CO', 3, 'libvlc.so.12.0.0', 'unlink', 'O2', 'O3', 0.22477700693756197, 0.3972630500793457]
['CO', 159, 'BO', 69, 'cp', 'cmp', 'O1', 'O3', 0.12131029517638592, 0.10714411735534668]
['CO', 99, 'UO', 11, 'sort', 'ld', 'O3', 'O1', 0.12245335620844955, 2.641411304473877]
['CO', 183, 'UO', 29, 'link', 'as', 'O1', 'O2', 0.13110866924989883, 1.7455503940582275]
['CO', 308, 'BO', 13, 'tac', 'ruby', 'O2', 'O1', 0.10423467675504161, 13.173547744750977]
['CO', 46, 'UO', 4, 'whoami', 'strip', 'O3', 'O1', 0.14520367936925105, 1.3241808414459229]
['CO', 205, 'UO', 7, 'rmdir', 'ranlib', 'O1', 'O1', 0.14674846625766869, 1.202221393585205]
['UO', 32, 'CO', 139, 'strings', 'base32', 'O2', 'O1', 0.14207058398772454, 0.9635138511657715]
['UO', 20, 'CO', 172, 'diff', 'yes', 'O1', 'O1', 0.13962530929657124, 0.11046934127807617]
['CO', 415, 'BO', 65, 'ln', 'gvmap', 'O0', 'O0', 0.07141615986099048, 0.35324716567993164]
['CO', 66, 'UO', 34, 'runcon', 'ld', 'O3', 'O2', 0.14390390390390384, 1.8221099376678467]
['CO', 240, 'BO', 52, 'expr', 'svn', 'O2', 'O3', 0.20315887271601119, 0.49253129959106445]
['BO', 19, 'CO', 94, 'libvlccore.so.9.0.0', 'rm', 'O1', 'O3', 0.15601614230302085, 5.017693042755127]
['BO', 8, 'CO', 382, 'cp', 'b2sum', 'O0', 'O0', 0.11206077872744535, 0.2584989070892334]
['CO', 409, 'BO', 18, 'uniq', 'libvlc.so.12.0.0', 'O0', 'O1', 0.19350696991929572, 0.5153765678405762]
['CO', 246, 'BO', 31, 'sha1sum', 'bash', 'O2', 'O2', 0.12409569220651107, 2.7734622955322266]
['CO', 30, 'UO', 14, 'expand', 'ar', 'O3', 'O1', 0.14843495272253016, 1.17899489402771]
['BO', 83, 'CO', 294, 'lua', 'timeout', 'O2', 'O2', 0.12481971941785763, 0.41561150550842285]
['CO', 48, 'UO', 78, 'ls', 'elfedit', 'O3', 'O0', 0.1059063136456212, 0.1075601577758789]
['CO', 285, 'BO', 11, 'env', 'ssh', 'O2', 'O1', 0.14952556836273323, 1.492727279663086]
['CO', 302, 'BO', 56, 'rm', 'libvlc.so.12.0.0', 'O2', 'O3', 0.174508126603935, 0.513657808303833]
['BO', 66, 'CO', 83, 'svn', 'csplit', 'O2', 'O3', 0.20285021224984834, 0.5304689407348633]
['UO', 25, 'CO', 327, 'sdiff', 'join', 'O2', 'O0', 0.048032703117015796, 0.06817102432250977]
['BO', 56, 'CO', 239, 'libvlc.so.12.0.0', 'date', 'O3', 'O2', 0.1843358617040043, 0.47630763053894043]
['UO', 43, 'CO', 196, 'find', 'sha512sum', 'O2', 'O1', 0.15327586206896548, 0.3850522041320801]
['CO', 342, 'UO', 17, 'expand', 'objdump', 'O0', 'O1', 0.13549427332369623, 2.1651034355163574]
['CO', 137, 'UO', 79, 'chown', 'size', 'O1', 'O0', 0.14097744360902253, 2.6021738052368164]
['BO', 44, 'CO', 129, 'cmp', 'chgrp', 'O2', 'O1', 0.07529654461062407, 0.06377100944519043]
['UO', 24, 'BO', 76, 'diff', 'openssl', 'O2', 'O2', 0.2512059816690786, 9.349662065505981]
['CO', 47, 'UO', 8, 'numfmt', 'c++filt', 'O3', 'O1', 0.1449836516950611, 1.10396409034729]
['BO', 37, 'CO', 253, 'gvmap', 'split', 'O2', 'O2', 0.1093290564020315, 0.1529371738433838]
['CO', 68, 'BO', 66, 'yes', 'svn', 'O3', 'O2', 0.2252836304700162, 0.47324395179748535]
['CO', 156, 'BO', 23, 'sha256sum', 'git', 'O1', 'O2', 0.09210062991509838, 6.9143102169036865]
['CO', 373, 'UO', 69, 'cksum', 'as', 'O0', 'O0', 0.13675553259962658, 4.033246278762817]
['CO', 144, 'BO', 63, 'sync', 'cluster', 'O1', 'O0', 0.13150567573356176, 0.2085096836090088]
['UO', 61, 'CO', 126, 'find', 'pwd', 'O3', 'O1', 0.14308710427472726, 0.3247990608215332]
['UO', 32, 'CO', 140, 'strings', 'pinky', 'O2', 'O1', 0.1403178023161864, 0.9996562004089355]
['UO', 35, 'BO', 56, 'gprof', 'libvlc.so.12.0.0', 'O2', 'O3', 0.060023858856030676, 2.445362091064453]
['CO', 369, 'UO', 16, 'od', 'size', 'O0', 'O1', 0.13400779500787796, 1.3223140239715576]
['UO', 40, 'BO', 16, 'objdump', 'make', 'O2', 'O0', 0.07823724442807145, 3.0119075775146484]
['CO', 25, 'BO', 7, 'chgrp', 'sort', 'O3', 'O0', 0.11651495448634586, 0.20362496376037598]
['UO', 15, 'CO', 90, 'elfedit', 'tr', 'O1', 'O3', 0.044544867656552634, 0.03672671318054199]
['CO', 22, 'BO', 6, 'pwd', 'codeblocks', 'O3', 'O0', 0.20616069771757284, 29.299427032470703]
['UO', 71, 'CO', 15, 'c++filt', 'join', 'O0', 'O3', 0.14774121909882532, 2.257962703704834]
['UO', 81, 'CO', 38, 'diff3', 'sha1sum', 'O0', 'O3', 0.09990009990009985, 0.0649111270904541]
