['CO', 369, 'BO', 60, 'od', 'openssl', 'O0', 'O0', 0.2609876448762576, 9.437403440475464]
['CO', 25, 'UO', 3, 'chgrp', 'nm', 'O3', 'O1', 0.13655957706384703, 1.1440739631652832]
['CO', 118, 'UO', 31, 'stty', 'c++filt', 'O1', 'O2', 0.13728828748095712, 0.9249253273010254]
['CO', 188, 'BO', 82, 'vdir', 'cp', 'O1', 'O3', 0.03768115942028982, 0.1975717544555664]
['BO', 28, 'CO', 163, 'ruby', 'tsort', 'O0', 'O1', 0.10439160499818023, 12.440533638000488]
['UO', 76, 'CO', 216, 'addr2line', 'dir', 'O0', 'O2', 0.1295889206418993, 2.582991123199463]
['BO', 54, 'CO', 363, 'lua', 'realpath', 'O3', 'O0', 0.09753246753246758, 0.39203715324401855]
['CO', 197, 'UO', 86, 'nl', 'xargs', 'O1', 'O0', 0.12457191780821919, 0.09984993934631348]
['UO', 53, 'CO', 11, 'gprof', 'groups', 'O3', 'O3', 0.13463514902363827, 0.819394588470459]
['CO', 359, 'BO', 1, 'numfmt', 'ssh', 'O0', 'O2', 0.1342047128129602, 1.608004093170166]
['CO', 264, 'UO', 50, 'cut', 'strings', 'O2', 'O3', 0.1363594170611715, 0.7913362979888916]
['UO', 87, 'CO', 381, 'find', 'who', 'O0', 'O0', 0.15089481138148575, 0.6438241004943848]
['BO', 36, 'CO', 84, 'cluster', 'vdir', 'O2', 'O3', 0.04556803995006242, 0.2353987693786621]
['UO', 78, 'CO', 313, 'elfedit', 'touch', 'O0', 'O0', 0.08441247002398078, 0.07427835464477539]
['BO', 3, 'CO', 357, 'openssl', 'split', 'O1', 'O0', 0.26734916505832007, 7.879576206207275]
['BO', 66, 'CO', 354, 'svn', 'sum', 'O2', 'O0', 0.20031031807602795, 0.5373501777648926]
['UO', 15, 'CO', 356, 'elfedit', 'seq', 'O1', 'O0', 0.06154822335025378, 0.044358253479003906]
['BO', 75, 'CO', 207, 'gvmap', 'ln', 'O1', 'O1', 0.07668855534709196, 0.1972188949584961]
['CO', 39, 'BO', 6, 'paste', 'codeblocks', 'O3', 'O0', 0.20652577625909974, 26.99925136566162]
['CO', 212, 'BO', 23, 'test', 'git', 'O2', 'O2', 0.09298451891044479, 6.282494306564331]
['BO', 14, 'CO', 390, 'cmp', 'chcon', 'O0', 'O0', 0.08230616302186877, 0.1056370735168457]
['CO', 408, 'UO', 29, 'fold', 'as', 'O0', 'O2', 0.1266590389016018, 1.7317373752593994]
['UO', 50, 'CO', 289, 'strings', 'cat', 'O3', 'O2', 0.13911007025761124, 0.7511436939239502]
['CO', 329, 'UO', 87, 'stdbuf', 'find', 'O0', 'O0', 0.15520167080015668, 0.6444730758666992]
['UO', 40, 'CO', 111, 'objdump', 'fmt', 'O2', 'O1', 0.13324072466284653, 1.7215375900268555]
['UO', 15, 'BO', 9, 'elfedit', 'git', 'O1', 'O0', 0.0920234604105572, 6.3368635177612305]
['UO', 31, 'CO', 343, 'c++filt', 'date', 'O2', 'O0', 0.12428940568475455, 1.0909390449523926]
['BO', 10, 'CO', 377, 'openssl', 'false', 'O3', 'O0', 0.2778064738292011, 7.266415357589722]
['CO', 186, 'BO', 56, 'shuf', 'libvlc.so.12.0.0', 'O1', 'O3', 0.17874057182950365, 0.4939556121826172]
['CO', 400, 'BO', 77, 'shred', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.1770551439598953, 5.720617294311523]
['CO', 141, 'UO', 76, 'truncate', 'addr2line', 'O1', 'O0', 0.15237247924080666, 2.100571393966675]
['CO', 38, 'UO', 29, 'sha1sum', 'as', 'O3', 'O2', 0.12870947452684545, 1.667191743850708]
['CO', 247, 'BO', 22, 'paste', 'perl', 'O2', 'O0', 0.11257885203922302, 3.516817569732666]
['CO', 47, 'BO', 71, 'numfmt', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.19820234113712376, 6.446188926696777]
['BO', 33, 'CO', 108, 'sort', 'test', 'O2', 'O1', 0.11539902585237916, 0.10244536399841309]
['BO', 41, 'CO', 83, 'libSDL2-2.0.so.0.16.0', 'csplit', 'O2', 'O3', 0.20224122107907072, 5.1848204135894775]
['BO', 68, 'CO', 4, 'git', 'test', 'O3', 'O3', 0.09279540032072597, 6.136614561080933]
['CO', 355, 'UO', 35, 'chroot', 'gprof', 'O0', 'O2', 0.13321258027334104, 1.0796141624450684]
['CO', 388, 'BO', 0, 'md5sum', 'codeblocks', 'O0', 'O1', 0.18316395312662037, 10.454733848571777]
['BO', 3, 'CO', 140, 'openssl', 'pinky', 'O1', 'O1', 0.2768044549153994, 7.5464301109313965]
['BO', 46, 'CO', 72, 'ruby', 'head', 'O3', 'O3', 0.10406647592378404, 12.409777402877808]
['UO', 26, 'CO', 387, 'nm', 'mv', 'O2', 'O0', 0.08459541324102116, 1.6355633735656738]
['CO', 232, 'UO', 13, 'tee', 'addr2line', 'O2', 'O1', 0.15055632823365783, 1.0354480743408203]
['BO', 60, 'CO', 241, 'openssl', 'chown', 'O0', 'O2', 0.26229821742789383, 9.043412208557129]
['BO', 76, 'CO', 306, 'openssl', 'sleep', 'O2', 'O2', 0.28128909789033174, 7.356427192687988]
['CO', 10, 'BO', 10, 'users', 'openssl', 'O3', 'O3', 0.2779397890042028, 7.306493759155273]
['CO', 116, 'UO', 25, 'ptx', 'sdiff', 'O1', 'O2', 0.03733843944471038, 0.06776571273803711]
['BO', 69, 'CO', 189, 'cmp', '[', 'O3', 'O1', 0.03838771593090207, 0.03866863250732422]
['CO', 79, 'UO', 3, 'link', 'nm', 'O3', 'O1', 0.15257573164470306, 1.0378847122192383]
['UO', 40, 'CO', 311, 'objdump', 'ln', 'O2', 'O2', 0.12320788530465954, 1.9843637943267822]
['CO', 29, 'BO', 19, 'nproc', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.1630971993410214, 4.626658201217651]
['CO', 87, 'UO', 63, 'id', 'cmp', 'O3', 'O3', 0.04290429042904287, 0.03506922721862793]
['CO', 159, 'BO', 41, 'cp', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.18333793865708758, 6.136900424957275]
['CO', 114, 'BO', 83, 'users', 'lua', 'O1', 'O2', 0.12747048680196316, 0.4037292003631592]
['CO', 329, 'BO', 17, 'stdbuf', 'codeblocks', 'O0', 'O2', 0.18500116450586135, 10.93809986114502]
['CO', 68, 'BO', 19, 'yes', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.1642373973264616, 4.5258824825286865]
