['CO', 202, 'UO', 30, 'sleep', 'ranlib', 'O1', 'O2', 0.144874208454561, 1.804163932800293]
['BO', 18, 'CO', 182, 'libvlc.so.12.0.0', 'chcon', 'O1', 'O1', 0.17932708983697543, 0.40736985206604004]
['BO', 76, 'CO', 383, 'openssl', 'readlink', 'O2', 'O0', 0.2711591438864166, 6.929688453674316]
['BO', 68, 'CO', 401, 'git', 'pathchk', 'O3', 'O0', 0.09224593694928529, 6.033862113952637]
['UO', 69, 'CO', 171, 'as', 'nohup', 'O0', 'O1', 0.13803534469033596, 3.595357894897461]
['BO', 69, 'CO', 82, 'cmp', 'shuf', 'O3', 'O3', 0.05351170568561869, 0.04762434959411621]
['CO', 391, 'BO', 58, 'link', 'svn', 'O0', 'O1', 0.21637805470140803, 0.4878256320953369]
['CO', 354, 'UO', 12, 'sum', 'gprof', 'O0', 'O1', 0.13740336335378978, 1.1701433658599854]
['BO', 61, 'CO', 144, 'git', 'sync', 'O1', 'O1', 0.09298128604496059, 6.02787184715271]
['UO', 17, 'CO', 368, 'objdump', 'cut', 'O1', 'O0', 0.13331490185236383, 2.054713010787964]
['UO', 70, 'CO', 35, 'ranlib', 'base32', 'O0', 'O3', 0.15174900016898552, 2.184504270553589]
['CO', 352, 'UO', 73, 'sync', 'objcopy', 'O0', 'O0', 0.14325702289313202, 2.6153411865234375]
['BO', 2, 'CO', 48, 'perl', 'ls', 'O1', 'O3', 0.06736804655536077, 2.918084144592285]
['CO', 351, 'UO', 5, 'paste', 'readelf', 'O0', 'O1', 0.10980333730631708, 0.30303406715393066]
['CO', 121, 'BO', 80, 'stdbuf', 'ssh', 'O1', 'O3', 0.13666792977137798, 1.2913713455200195]
['BO', 30, 'CO', 3, 'libvlccore.so.9.0.0', 'unlink', 'O2', 'O3', 0.16193488968085534, 4.317634582519531]
['UO', 26, 'CO', 194, 'nm', 'tr', 'O2', 'O1', 0.14087719298245616, 0.9463856220245361]
['UO', 21, 'CO', 137, 'sdiff', 'chown', 'O1', 'O1', 0.054406474820143935, 0.0735616683959961]
['CO', 249, 'UO', 10, 'echo', 'objcopy', 'O2', 'O1', 0.14690265486725662, 1.2132010459899902]
['CO', 20, 'BO', 47, 'mkfifo', 'libvlc.so.12.0.0', 'O3', 'O0', 0.23370863186625723, 0.5356054306030273]
['CO', 82, 'BO', 66, 'shuf', 'svn', 'O3', 'O2', 0.19855050581307565, 0.5253555774688721]
['BO', 24, 'CO', 96, 'cluster', 'fold', 'O3', 'O3', 0.12705530642750373, 0.10574936866760254]
['CO', 2, 'UO', 44, 'stat', 'nm', 'O3', 'O3', 0.12149051257834631, 0.950918436050415]
['CO', 218, 'BO', 18, 'users', 'libvlc.so.12.0.0', 'O2', 'O1', 0.22694054908157213, 0.39872312545776367]
['CO', 97, 'UO', 68, 'uniq', 'readelf', 'O3', 'O0', 0.12038730500268957, 0.5232560634613037]
['BO', 72, 'CO', 214, 'make', 'mkdir', 'O2', 'O2', 0.1205957137667999, 0.23234176635742188]
