['BO', 31, 'CO', 199, 'bash', 'sha224sum', 'O2', 'O1', 0.12223267995253095, 5.492959499359131]
['CO', 274, 'UO', 57, 'runcon', 'size', 'O2', 'O3', 0.14283033033033032, 0.809107780456543]
['BO', 56, 'UO', 70, 'libvlc.so.12.0.0', 'ranlib', 'O3', 'O0', 0.09082107786639626, 4.458262205123901]
['UO', 45, 'CO', 167, 'strip', 'logname', 'O3', 'O1', 0.13117272098917132, 1.0236737728118896]
['BO', 21, 'CO', 47, 'cp', 'numfmt', 'O1', 'O3', 0.111456176673568, 0.10707330703735352]
['CO', 295, 'UO', 63, 'id', 'cmp', 'O2', 'O3', 0.04619758351101633, 0.03577685356140137]
['UO', 53, 'BO', 37, 'gprof', 'gvmap', 'O3', 'O2', 0.08833718244803701, 1.3396191596984863]
['BO', 46, 'CO', 329, 'ruby', 'stdbuf', 'O3', 'O0', 0.10310156523326386, 13.19691252708435]
['CO', 86, 'BO', 63, 'timeout', 'cluster', 'O3', 'O0', 0.1211565872531053, 0.22425007820129395]
['CO', 387, 'BO', 61, 'mv', 'git', 'O0', 'O1', 0.07973366159355422, 8.469255685806274]
['CO', 140, 'UO', 71, 'pinky', 'c++filt', 'O1', 'O0', 0.14986376021798364, 2.2196574211120605]
['CO', 297, 'BO', 12, 'pathchk', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19332370844388946, 28.074082612991333]
['UO', 79, 'BO', 17, 'size', 'codeblocks', 'O0', 'O2', 0.08807122538697398, 24.2333767414093]
['CO', 162, 'BO', 68, 'df', 'git', 'O1', 'O3', 0.08860759493670889, 7.4478559494018555]
['CO', 58, 'UO', 74, 'df', 'ld', 'O3', 'O0', 0.14059477756286265, 4.575478792190552]
['CO', 103, 'BO', 66, 'ln', 'svn', 'O3', 'O2', 0.18054763262977747, 0.647162914276123]
['BO', 9, 'UO', 54, 'git', 'addr2line', 'O0', 'O3', 0.05497969828013072, 11.993167638778687]
['BO', 57, 'CO', 81, 'libvlccore.so.9.0.0', 'cat', 'O3', 'O3', 0.15507425249830797, 4.3729259967803955]
['BO', 22, 'UO', 23, 'perl', 'cmp', 'O0', 'O2', 0.1103771244262498, 3.746535062789917]
['UO', 62, 'CO', 356, 'diff3', 'seq', 'O3', 'O0', 0.036099137931034475, 0.05628347396850586]
['UO', 34, 'CO', 305, 'ld', 'uniq', 'O2', 'O2', 0.13934816224574753, 1.9022443294525146]
['CO', 341, 'BO', 67, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.20282518561373064, 5.569768190383911]
['UO', 79, 'CO', 207, 'size', 'ln', 'O0', 'O1', 0.13818839760262358, 2.597078800201416]
['CO', 151, 'BO', 16, 'numfmt', 'make', 'O1', 'O0', 0.11620130412974417, 0.2925240993499756]
['CO', 13, 'BO', 13, 'printenv', 'ruby', 'O3', 'O1', 0.10503161946659334, 13.075364828109741]
['UO', 72, 'CO', 394, 'strings', 'shuf', 'O0', 'O0', 0.13537988381364618, 2.651750087738037]
['CO', 247, 'BO', 20, 'paste', 'sort', 'O2', 'O1', 0.14865392118610998, 0.1018984317779541]
['CO', 86, 'UO', 55, 'timeout', 'ar', 'O3', 'O3', 0.13205930242522923, 0.9550611972808838]
['UO', 58, 'CO', 87, 'objdump', 'id', 'O3', 'O3', 0.12447439663613846, 1.5883300304412842]
['UO', 57, 'CO', 175, 'size', 'readlink', 'O3', 'O1', 0.13136826783114997, 0.8624939918518066]
['CO', 86, 'UO', 22, 'timeout', 'diff3', 'O3', 'O2', 0.04209328782707622, 0.048009634017944336]
['BO', 69, 'UO', 74, 'cmp', 'ld', 'O3', 'O0', 0.14844462878473663, 4.137958526611328]
['BO', 64, 'CO', 371, 'dot', 'tsort', 'O0', 'O0', 0.20240480961923846, 0.025821924209594727]
['BO', 20, 'CO', 10, 'sort', 'users', 'O1', 'O3', 0.13900184842883545, 0.10602355003356934]
['CO', 306, 'BO', 49, 'sleep', 'svn', 'O2', 'O0', 0.21806665661287894, 0.526198148727417]
['CO', 143, 'UO', 53, 'paste', 'gprof', 'O1', 'O3', 0.13365401133825805, 0.9057559967041016]
['BO', 26, 'CO', 386, 'gvmap', 'unexpand', 'O3', 'O0', 0.10387469084913437, 0.14478445053100586]
['CO', 212, 'BO', 44, 'test', 'cmp', 'O2', 'O2', 0.05168700646087576, 0.03440570831298828]
