['CO', 221, 'UO', 12, 'printenv', 'gprof', 'O2', 'O1', 0.15078775880557616, 1.5313217639923096]
['UO', 80, 'CO', 297, 'objdump', 'pathchk', 'O0', 'O2', 0.14407151694137366, 4.130371809005737]
['UO', 23, 'CO', 324, 'cmp', 'ptx', 'O2', 'O0', 0.08602661596958172, 0.07436513900756836]
['UO', 75, 'CO', 214, 'gprof', 'mkdir', 'O0', 'O2', 0.1472777124951038, 2.089904546737671]
['CO', 67, 'BO', 64, 'nohup', 'dot', 'O3', 'O0', 0.1567982456140351, 0.016171693801879883]
['UO', 28, 'CO', 97, 'readelf', 'uniq', 'O2', 'O3', 0.10253699788583504, 0.24016666412353516]
['BO', 30, 'CO', 319, 'libvlccore.so.9.0.0', 'fmt', 'O2', 'O0', 0.15711336932359476, 5.141066789627075]
['UO', 9, 'CO', 310, 'strings', 'mknod', 'O1', 'O2', 0.1521223306090166, 0.9615581035614014]
['UO', 47, 'BO', 25, 'as', 'dot', 'O3', 'O3', 0.131034067653786, 1.2675304412841797]
['BO', 61, 'CO', 131, 'git', 'wc', 'O1', 'O1', 0.09131733604076775, 6.240628480911255]
['CO', 114, 'UO', 20, 'users', 'diff', 'O1', 'O1', 0.1315153607179841, 0.11133694648742676]
['CO', 281, 'UO', 30, 'hostid', 'ranlib', 'O2', 'O2', 0.1492123939761122, 0.935823917388916]
['CO', 336, 'UO', 25, 'tee', 'sdiff', 'O0', 'O2', 0.04214123006833714, 0.055055856704711914]
['CO', 367, 'BO', 80, 'cp', 'ssh', 'O0', 'O3', 0.09553302274595776, 2.069459915161133]
['UO', 70, 'CO', 251, 'ranlib', 'chroot', 'O0', 'O2', 0.15186942279453297, 2.2061753273010254]
['CO', 160, 'BO', 30, 'cut', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.15881931166347996, 4.515548467636108]
['BO', 39, 'CO', 216, 'codeblocks', 'dir', 'O3', 'O2', 0.1742175856929955, 11.403701305389404]
['CO', 205, 'BO', 66, 'rmdir', 'svn', 'O1', 'O2', 0.2166319500080115, 0.49384117126464844]
