['CO', 292, 'BO', 1, 'vdir', 'ssh', 'O2', 'O2', 0.11935936404021508, 3.636812686920166]
['CO', 95, 'UO', 53, 'sha224sum', 'gprof', 'O3', 'O3', 0.1318429105746345, 1.9238519668579102]
['CO', 208, 'UO', 65, 'sha384sum', 'sdiff', 'O2', 'O3', 0.06610066707095208, 0.0959935188293457]
['UO', 32, 'CO', 188, 'strings', 'vdir', 'O2', 'O1', 0.10716291008261813, 1.6939995288848877]
['UO', 38, 'CO', 361, 'elfedit', 'nice', 'O2', 'O0', 0.0514809590973202, 0.041290283203125]
['CO', 206, 'BO', 27, 'mknod', 'perl', 'O1', 'O3', 0.08276510698330586, 2.4130136966705322]
['UO', 14, 'CO', 127, 'ar', 'pr', 'O1', 'O1', 0.134750098386462, 1.3339359760284424]
['BO', 11, 'CO', 34, 'ssh', 'tail', 'O1', 'O3', 0.13729795669411404, 1.5796222686767578]
['BO', 7, 'CO', 332, 'sort', 'mkfifo', 'O0', 'O0', 0.07038606403013181, 0.2787761688232422]
['BO', 33, 'CO', 288, 'sort', 'uname', 'O2', 'O2', 0.15054667788057197, 0.08398580551147461]
['CO', 28, 'BO', 3, 'factor', 'openssl', 'O3', 'O1', 0.2739476581688829, 7.852423906326294]
['BO', 14, 'CO', 333, 'cmp', 'mktemp', 'O0', 'O0', 0.04366576819407009, 0.07381176948547363]
['CO', 360, 'BO', 72, 'ls', 'make', 'O0', 'O2', 0.032971398305084776, 0.5644230842590332]
['BO', 67, 'CO', 136, 'libSDL2-2.0.so.0.16.0', 'expr', 'O1', 'O1', 0.20105112279025317, 5.339989423751831]
['CO', 374, 'UO', 74, 'printf', 'ld', 'O0', 'O0', 0.1458746693121693, 4.194610595703125]
['CO', 236, 'BO', 0, 'factor', 'codeblocks', 'O2', 'O1', 0.18366079055680673, 10.787593364715576]
['CO', 267, 'UO', 20, 'tsort', 'diff', 'O2', 'O1', 0.13631597343586155, 0.1177225112915039]
['BO', 74, 'UO', 2, 'dot', 'find', 'O1', 'O1', 0.19576623846571373, 0.32552003860473633]
['BO', 80, 'CO', 367, 'ssh', 'cp', 'O3', 'O0', 0.09553302274595776, 2.111133337020874]
['CO', 383, 'BO', 83, 'readlink', 'lua', 'O0', 'O2', 0.11149469377317478, 0.4902184009552002]
['BO', 70, 'CO', 233, 'diff', 'chgrp', 'O3', 'O2', 0.07484407484407485, 0.12566924095153809]
['CO', 189, 'UO', 62, '[', 'diff3', 'O1', 'O3', 0.04058441558441561, 0.04723691940307617]
['CO', 189, 'UO', 32, '[', 'strings', 'O1', 'O2', 0.1399232074292347, 0.9680643081665039]
['UO', 80, 'CO', 301, 'objdump', 'nl', 'O0', 'O2', 0.14267546299976153, 3.914747714996338]
['BO', 50, 'CO', 276, 'perl', 'yes', 'O2', 'O2', 0.0881258508546362, 2.3914358615875244]
['BO', 29, 'CO', 125, 'libvlc.so.12.0.0', 'mktemp', 'O2', 'O1', 0.20185746777862013, 0.4631991386413574]
['BO', 74, 'CO', 48, 'dot', 'ls', 'O1', 'O3', 0.19176919813322013, 0.06717300415039062]
['UO', 78, 'CO', 281, 'elfedit', 'hostid', 'O0', 'O2', 0.0954258675078864, 0.03073263168334961]
['BO', 41, 'CO', 334, 'libSDL2-2.0.so.0.16.0', 'pwd', 'O2', 'O0', 0.20360598065083557, 5.333890438079834]
['CO', 65, 'UO', 25, 'false', 'sdiff', 'O3', 'O2', 0.10236220472440949, 0.038220882415771484]
['BO', 55, 'CO', 334, 'make', 'pwd', 'O1', 'O0', 0.11594746716697935, 0.2626767158508301]
['CO', 18, 'UO', 20, 'uptime', 'diff', 'O3', 'O1', 0.1134615384615385, 0.1243901252746582]
['CO', 50, 'UO', 69, 'dircolors', 'as', 'O3', 'O0', 0.13807597747640576, 3.8140389919281006]
['CO', 287, 'UO', 31, 'link', 'c++filt', 'O2', 'O2', 0.15036265575599783, 0.8910806179046631]
['UO', 10, 'CO', 175, 'objcopy', 'readlink', 'O1', 'O1', 0.1380626575441124, 1.387014627456665]
['UO', 15, 'BO', 17, 'elfedit', 'codeblocks', 'O1', 'O2', 0.18637518800892072, 11.095258712768555]
['BO', 1, 'CO', 90, 'ssh', 'tr', 'O2', 'O3', 0.14377978429897165, 1.4353702068328857]
['CO', 267, 'BO', 57, 'tsort', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.1555830868835425, 4.432828664779663]
['UO', 70, 'CO', 313, 'ranlib', 'touch', 'O0', 'O0', 0.13811551479419149, 2.718651533126831]
['CO', 140, 'UO', 83, 'pinky', 'diff', 'O1', 'O0', 0.14185843285755895, 0.18626856803894043]
['CO', 380, 'BO', 55, 'yes', 'make', 'O0', 'O1', 0.1272166538164996, 0.24410009384155273]
['BO', 9, 'CO', 86, 'git', 'timeout', 'O0', 'O3', 0.09193674345958613, 6.650953769683838]
['CO', 53, 'UO', 77, 'chmod', 'ar', 'O3', 'O0', 0.14498264175896836, 2.517191171646118]
['CO', 261, 'BO', 0, 'chmod', 'codeblocks', 'O2', 'O1', 0.18289878291428718, 11.201552391052246]
['CO', 183, 'UO', 84, 'link', 'sdiff', 'O1', 'O0', 0.11852704257767543, 0.05711960792541504]
['UO', 36, 'CO', 239, 'addr2line', 'date', 'O2', 'O2', 0.1345952547103978, 1.0265042781829834]
['UO', 24, 'CO', 136, 'diff', 'expr', 'O2', 'O1', 0.09802012333657906, 0.12214994430541992]
['BO', 72, 'CO', 386, 'make', 'unexpand', 'O2', 'O0', 0.11608593608954687, 0.26139116287231445]
['CO', 284, 'BO', 0, 'md5sum', 'codeblocks', 'O2', 'O1', 0.18617396069834813, 10.746833324432373]
['UO', 12, 'CO', 252, 'gprof', 'seq', 'O1', 'O2', 0.1451625983294137, 1.1548042297363281]
['BO', 34, 'CO', 207, 'cp', 'ln', 'O2', 'O1', 0.03612629022465086, 0.15423011779785156]
['UO', 26, 'CO', 230, 'nm', 'pwd', 'O2', 'O2', 0.14544158274663577, 0.9668557643890381]
['BO', 72, 'CO', 290, 'make', 'shuf', 'O2', 'O2', 0.10944923455921174, 0.2702522277832031]
['CO', 219, 'UO', 0, 'groups', 'locate', 'O2', 'O1', 0.14781085814360773, 0.12018084526062012]
['CO', 283, 'BO', 37, 'mv', 'gvmap', 'O2', 'O2', 0.04128529698149952, 0.28293824195861816]
['CO', 347, 'UO', 34, 'base32', 'ld', 'O0', 'O2', 0.13591774021983216, 1.9868626594543457]
['CO', 213, 'BO', 65, 'basename', 'gvmap', 'O2', 'O0', 0.13897280966767367, 0.18859481811523438]
['UO', 22, 'CO', 246, 'diff3', 'sha1sum', 'O2', 'O2', 0.06270200387847447, 0.04168987274169922]
['BO', 34, 'UO', 26, 'cp', 'nm', 'O2', 'O2', 0.11212650985378259, 1.3480677604675293]
['CO', 132, 'BO', 62, 'factor', 'bash', 'O1', 'O1', 0.12129457843743552, 2.9717109203338623]
