['CO', 92, 'UO', 18, 'sha512sum', 'diff3', 'O3', 'O1', 0.06729699666295885, 0.09966015815734863]
['BO', 17, 'CO', 330, 'codeblocks', 'uptime', 'O2', 'O0', 0.1841466563387555, 14.828943490982056]
['CO', 390, 'BO', 72, 'chcon', 'make', 'O0', 'O2', 0.0761245674740485, 0.3789348602294922]
['CO', 241, 'UO', 30, 'chown', 'ranlib', 'O2', 'O2', 0.13026788631166286, 1.1467969417572021]
['CO', 367, 'UO', 76, 'cp', 'addr2line', 'O0', 'O0', 0.10956432070121169, 3.310333728790283]
['CO', 240, 'BO', 33, 'expr', 'sort', 'O2', 'O2', 0.11415863602668641, 0.10489511489868164]
['UO', 41, 'CO', 311, 'locate', 'ln', 'O2', 'O2', 0.0781071835803877, 0.17526006698608398]
['BO', 72, 'CO', 244, 'make', 'pinky', 'O2', 'O2', 0.12539300906232664, 0.23526573181152344]
['CO', 221, 'UO', 18, 'printenv', 'diff3', 'O2', 'O1', 0.10944935418082935, 0.038169145584106445]
['UO', 11, 'CO', 223, 'ld', 'join', 'O1', 'O2', 0.14303079416531606, 2.0546727180480957]
['UO', 73, 'CO', 120, 'objcopy', 'dirname', 'O0', 'O1', 0.14665661136249375, 2.6192049980163574]
['BO', 31, 'CO', 239, 'bash', 'date', 'O2', 'O2', 0.11930462906812211, 2.8709187507629395]
['UO', 17, 'CO', 131, 'objdump', 'wc', 'O1', 'O1', 0.13414634146341464, 2.0996806621551514]
['BO', 14, 'CO', 30, 'cmp', 'expand', 'O0', 'O3', 0.08390304536979487, 0.04374384880065918]
['CO', 226, 'BO', 11, 'uptime', 'ssh', 'O2', 'O1', 0.14403318041852575, 1.5642623901367188]
['CO', 65, 'UO', 24, 'false', 'diff', 'O3', 'O2', 0.1435354273192111, 0.0890953540802002]
['CO', 286, 'UO', 25, 'chcon', 'sdiff', 'O2', 'O2', 0.04042348411934549, 0.06415438652038574]
['UO', 71, 'CO', 238, 'c++filt', 'expand', 'O0', 'O2', 0.15391980849790543, 2.0877206325531006]
['BO', 68, 'UO', 39, 'git', 'size', 'O3', 'O2', 0.05275783316629146, 12.39272928237915]
['UO', 43, 'CO', 193, 'find', 'pathchk', 'O2', 'O1', 0.16400991852639035, 0.36241841316223145]
['CO', 65, 'UO', 35, 'false', 'gprof', 'O3', 'O2', 0.1447045896373933, 0.9803667068481445]
['BO', 19, 'CO', 156, 'libvlccore.so.9.0.0', 'sha256sum', 'O1', 'O1', 0.16079436258808455, 4.767024755477905]
['CO', 140, 'UO', 36, 'pinky', 'addr2line', 'O1', 'O2', 0.14041830532713617, 1.0041170120239258]
['BO', 15, 'CO', 175, 'diff', 'readlink', 'O0', 'O1', 0.13831018518518512, 0.1745014190673828]
['BO', 26, 'CO', 231, 'gvmap', 'pr', 'O3', 'O2', 0.09559391909301729, 0.1512587070465088]
['CO', 290, 'BO', 77, 'shuf', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.18415948761896173, 5.420763731002808]
['CO', 293, 'UO', 16, '[', 'size', 'O2', 'O1', 0.1485344827586207, 1.0838773250579834]
['CO', 277, 'UO', 20, 'who', 'diff', 'O2', 'O1', 0.12466487935656834, 0.1218724250793457]
['UO', 69, 'CO', 349, 'as', 'truncate', 'O0', 'O0', 0.13599048185603801, 3.9010515213012695]
['CO', 110, 'UO', 39, 'mkdir', 'size', 'O1', 'O2', 0.13749226826897587, 1.028848648071289]
['UO', 82, 'CO', 384, 'cmp', 'head', 'O0', 'O0', 0.018746652383502926, 0.06245303153991699]
['BO', 19, 'CO', 397, 'libvlccore.so.9.0.0', '[', 'O1', 'O0', 0.15809349658133254, 5.033598899841309]
['UO', 51, 'CO', 364, 'objcopy', 'sha256sum', 'O3', 'O0', 0.12158827488222534, 1.1344730854034424]
['BO', 56, 'CO', 140, 'libvlc.so.12.0.0', 'pinky', 'O3', 'O1', 0.19896161691081027, 0.44483280181884766]
['CO', 114, 'BO', 50, 'users', 'perl', 'O1', 'O2', 0.08658217177951055, 2.539391279220581]
['CO', 93, 'UO', 45, 'nl', 'strip', 'O3', 'O3', 0.12881715541410932, 1.0677728652954102]
['CO', 146, 'BO', 9, 'sum', 'git', 'O1', 'O0', 0.09195649622471735, 6.7132580280303955]
['CO', 309, 'UO', 14, 'rmdir', 'ar', 'O2', 'O1', 0.14999175869457726, 1.1579389572143555]
['CO', 10, 'BO', 9, 'users', 'git', 'O3', 'O0', 0.09309703319298934, 6.625906467437744]
['BO', 1, 'CO', 39, 'ssh', 'paste', 'O2', 'O3', 0.1464678377353722, 1.4107558727264404]
['CO', 385, 'BO', 1, 'hostid', 'ssh', 'O0', 'O2', 0.14434231378763873, 1.5061497688293457]
['CO', 317, 'BO', 36, 'basename', 'cluster', 'O0', 'O2', 0.12012012012012008, 0.1362016201019287]
['CO', 20, 'UO', 31, 'mkfifo', 'c++filt', 'O3', 'O2', 0.146730170360872, 0.9024097919464111]
['CO', 121, 'BO', 82, 'stdbuf', 'cp', 'O1', 'O3', 0.0942520528382721, 0.09935498237609863]
['UO', 11, 'BO', 19, 'ld', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.04000588682577444, 13.709984064102173]
['CO', 365, 'BO', 37, 'chmod', 'gvmap', 'O0', 'O2', 0.06910569105691056, 0.2168123722076416]
['CO', 30, 'BO', 14, 'expand', 'cmp', 'O3', 'O0', 0.08390304536979487, 0.04342961311340332]
['UO', 82, 'BO', 3, 'cmp', 'openssl', 'O0', 'O1', 0.27369809394145683, 8.082196712493896]
['CO', 350, 'BO', 21, 'sha1sum', 'cp', 'O0', 'O1', 0.09413793103448276, 0.13129281997680664]
['CO', 233, 'BO', 49, 'chgrp', 'svn', 'O2', 'O0', 0.18630968810378135, 0.6311006546020508]
['BO', 82, 'UO', 1, 'cp', 'xargs', 'O3', 'O1', 0.03755458515283838, 0.15873432159423828]
['CO', 268, 'UO', 45, 'base64', 'strip', 'O2', 'O3', 0.13061474781542237, 1.0445361137390137]
['UO', 36, 'BO', 59, 'addr2line', 'libgeany.so.0.0.0', 'O2', 'O3', 0.12497792509475225, 41.34971261024475]
['CO', 280, 'UO', 0, 'head', 'locate', 'O2', 'O1', 0.13391362571141618, 0.1319272518157959]
['CO', 363, 'BO', 57, 'realpath', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.14916322110651703, 5.1011857986450195]
['CO', 182, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.18830881645995579, 31.62839388847351]
['BO', 27, 'CO', 374, 'perl', 'printf', 'O3', 'O0', 0.08058062443412484, 2.559216022491455]
['CO', 335, 'UO', 61, 'pr', 'find', 'O0', 'O3', 0.10360216767612362, 0.4503931999206543]
['CO', 89, 'BO', 0, 'pathchk', 'codeblocks', 'O3', 'O1', 0.186262247237857, 10.742533922195435]
['UO', 60, 'CO', 132, 'xargs', 'factor', 'O3', 'O1', 0.06325301204819278, 0.0917520523071289]
['CO', 125, 'BO', 59, 'mktemp', 'libgeany.so.0.0.0', 'O1', 'O3', 0.166820319702486, 27.141477823257446]
['BO', 58, 'CO', 64, 'svn', 'tty', 'O1', 'O3', 0.22629521016617793, 0.48239660263061523]
['UO', 53, 'BO', 64, 'gprof', 'dot', 'O3', 'O0', 0.14768984242855865, 0.8186848163604736]
['BO', 47, 'CO', 244, 'libvlc.so.12.0.0', 'pinky', 'O0', 'O2', 0.2290606985418786, 0.615833044052124]
['CO', 137, 'BO', 32, 'chown', 'ruby', 'O1', 'O2', 0.12212723624529986, 17.064209938049316]
['UO', 54, 'CO', 193, 'addr2line', 'pathchk', 'O3', 'O1', 0.13837295690936102, 0.8512833118438721]
['BO', 60, 'CO', 254, 'openssl', 'whoami', 'O0', 'O2', 0.2737197612315425, 9.05322790145874]
