['UO', 6, 'BO', 59, 'as', 'libgeany.so.0.0.0', 'O1', 'O3', 0.1043429705918848, 43.70033097267151]
['BO', 66, 'UO', 36, 'svn', 'addr2line', 'O2', 'O2', 0.05642241917363622, 2.390503168106079]
['BO', 34, 'CO', 196, 'cp', 'sha512sum', 'O2', 'O1', 0.09999999999999998, 0.09984827041625977]
['BO', 53, 'CO', 111, 'bash', 'fmt', 'O0', 'O1', 0.12502669229126628, 3.514270067214966]
['UO', 43, 'CO', 410, 'find', 'sleep', 'O2', 'O0', 0.15572199965162858, 0.36718058586120605]
['UO', 78, 'CO', 189, 'elfedit', '[', 'O0', 'O1', 0.038817005545286554, 0.04296875]
['UO', 63, 'CO', 369, 'cmp', 'od', 'O3', 'O0', 0.08688783570300163, 0.05893111228942871]
['CO', 114, 'BO', 51, 'users', 'lua', 'O1', 'O1', 0.128849066128218, 0.41724514961242676]
['BO', 64, 'CO', 352, 'dot', 'sync', 'O0', 'O0', 0.2038288288288288, 0.020543336868286133]
['UO', 38, 'BO', 36, 'elfedit', 'cluster', 'O2', 'O2', 0.11673493270918667, 0.1207587718963623]
['BO', 25, 'CO', 234, 'dot', 'kill', 'O3', 'O2', 0.18087855297157618, 0.014562129974365234]
['CO', 398, 'UO', 87, 'timeout', 'find', 'O0', 'O0', 0.1509409641660222, 0.7005534172058105]
['CO', 140, 'BO', 71, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.1988232822021433, 6.50399923324585]
['UO', 37, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O2', 'O1', 0.12794700177571372, 41.76881504058838]
['UO', 32, 'BO', 13, 'strings', 'ruby', 'O2', 'O1', 0.07053495537611565, 20.70396876335144]
['BO', 56, 'CO', 152, 'libvlc.so.12.0.0', 'ls', 'O3', 'O1', 0.12765957446808507, 0.65592360496521]
['CO', 209, 'UO', 22, 'touch', 'diff3', 'O2', 'O2', 0.04276146316331786, 0.05601143836975098]
['CO', 326, 'BO', 76, 'stty', 'openssl', 'O0', 'O2', 0.2708447787685416, 7.867649555206299]
['UO', 5, 'CO', 33, 'readelf', 'chown', 'O1', 'O3', 0.09706045479755965, 0.3328840732574463]
['BO', 59, 'CO', 61, 'libgeany.so.0.0.0', 'cksum', 'O3', 'O3', 0.16855517419718846, 24.404102325439453]
['CO', 215, 'UO', 68, 'fmt', 'readelf', 'O2', 'O0', 0.1267918657628625, 0.5236945152282715]
['CO', 345, 'BO', 34, 'chown', 'cp', 'O0', 'O2', 0.03724504877327817, 0.162764310836792]
['BO', 42, 'CO', 136, 'cmp', 'expr', 'O1', 'O1', 0.03743961352656999, 0.044952392578125]
['BO', 54, 'CO', 260, 'lua', 'sha256sum', 'O3', 'O2', 0.11525423728813555, 0.3127007484436035]
['UO', 2, 'CO', 102, 'find', 'mknod', 'O1', 'O3', 0.16215312604480103, 0.3533742427825928]
['BO', 22, 'CO', 362, 'perl', 'dircolors', 'O0', 'O0', 0.10919006011030552, 3.6408326625823975]
['BO', 12, 'CO', 308, 'libgeany.so.0.0.0', 'tac', 'O0', 'O2', 0.19230170770607224, 27.152676343917847]
['BO', 80, 'UO', 61, 'ssh', 'find', 'O3', 'O3', 0.07392976672161444, 2.4417166709899902]
['BO', 15, 'CO', 403, 'diff', 'comm', 'O0', 'O0', 0.12873563218390804, 0.1792161464691162]
['CO', 109, 'UO', 10, 'basename', 'objcopy', 'O1', 'O1', 0.14336865180854952, 1.2970850467681885]
['CO', 354, 'BO', 55, 'sum', 'make', 'O0', 'O1', 0.11244460856720828, 0.2583281993865967]
['BO', 39, 'CO', 217, 'codeblocks', 'du', 'O3', 'O2', 0.17577618049316168, 11.513899803161621]
['UO', 17, 'CO', 381, 'objdump', 'who', 'O1', 'O0', 0.13243392070484583, 2.0809521675109863]
['CO', 45, 'BO', 15, 'split', 'diff', 'O3', 'O0', 0.11854988092087848, 0.1799907684326172]
['BO', 53, 'UO', 47, 'bash', 'as', 'O0', 'O3', 0.0350284292010139, 9.836331129074097]
['CO', 68, 'UO', 21, 'yes', 'sdiff', 'O3', 'O1', 0.09874213836477985, 0.03790640830993652]
['UO', 75, 'CO', 294, 'gprof', 'timeout', 'O0', 'O2', 0.14833716561045374, 2.279672861099243]
['CO', 168, 'UO', 49, 'tty', 'c++filt', 'O1', 'O3', 0.13897793701678296, 0.7930831909179688]
['BO', 79, 'CO', 400, 'bash', 'shred', 'O3', 'O0', 0.10408508024264762, 2.7797603607177734]
['CO', 370, 'BO', 52, 'df', 'svn', 'O0', 'O3', 0.14902225219150367, 0.705951452255249]
['BO', 17, 'CO', 93, 'codeblocks', 'nl', 'O2', 'O3', 0.18725668310407473, 10.37368392944336]
['UO', 48, 'CO', 110, 'ranlib', 'mkdir', 'O3', 'O1', 0.1287976037655113, 0.9258754253387451]
['CO', 209, 'BO', 2, 'touch', 'perl', 'O2', 'O1', 0.07391907091104077, 2.612494945526123]
['UO', 77, 'CO', 75, 'ar', 'mv', 'O0', 'O3', 0.12614797234547515, 2.8454675674438477]
['BO', 34, 'CO', 329, 'cp', 'stdbuf', 'O2', 'O0', 0.09054976643909451, 0.11404180526733398]
['BO', 8, 'CO', 333, 'cp', 'mktemp', 'O0', 'O0', 0.11181640625, 0.24180865287780762]
['CO', 196, 'UO', 44, 'sha512sum', 'nm', 'O1', 'O3', 0.13328530259366, 0.8506124019622803]
['UO', 3, 'CO', 203, 'nm', 'sort', 'O1', 'O1', 0.11346490893850492, 1.4740729331970215]
['BO', 0, 'CO', 95, 'codeblocks', 'sha224sum', 'O1', 'O3', 0.1853970565292007, 10.145246267318726]
['CO', 360, 'UO', 79, 'ls', 'size', 'O0', 'O0', 0.1125104515050167, 3.1797659397125244]
['BO', 68, 'UO', 72, 'git', 'strings', 'O3', 'O0', 0.0339631702961084, 16.420513153076172]
['CO', 157, 'UO', 15, 'chmod', 'elfedit', 'O1', 'O1', 0.06720867208672088, 0.05340003967285156]
['BO', 52, 'CO', 166, 'svn', 'printf', 'O3', 'O1', 0.20192906036092095, 0.4675922393798828]
['UO', 35, 'CO', 187, 'gprof', 'csplit', 'O2', 'O1', 0.13146727599151298, 1.052880048751831]
['UO', 10, 'CO', 295, 'objcopy', 'id', 'O1', 'O2', 0.14216184803138165, 1.2596354484558105]
['CO', 240, 'UO', 5, 'expr', 'readelf', 'O2', 'O1', 0.11191602602010642, 0.291001558303833]
['CO', 365, 'UO', 41, 'chmod', 'locate', 'O0', 'O2', 0.06414565826330532, 0.18685674667358398]
['UO', 55, 'CO', 309, 'ar', 'rmdir', 'O3', 'O2', 0.1373717892522135, 0.829303503036499]
['CO', 271, 'UO', 47, 'logname', 'as', 'O2', 'O3', 0.12530420846441503, 1.3781819343566895]
['CO', 64, 'UO', 45, 'tty', 'strip', 'O3', 'O3', 0.1325107296137339, 0.9531574249267578]
['UO', 2, 'CO', 243, 'find', 'base32', 'O1', 'O2', 0.16366110922082344, 0.35475993156433105]
['BO', 71, 'UO', 63, 'libSDL2-2.0.so.0.16.0', 'cmp', 'O0', 'O3', 0.1988655462184874, 6.314122438430786]
['UO', 26, 'CO', 90, 'nm', 'tr', 'O2', 'O3', 0.1424197358061412, 0.943220853805542]
['CO', 110, 'BO', 58, 'mkdir', 'svn', 'O1', 'O1', 0.2057767369242779, 0.5195262432098389]
['BO', 41, 'CO', 242, 'libSDL2-2.0.so.0.16.0', 'tail', 'O2', 'O2', 0.1994995669329227, 5.172492742538452]
['UO', 76, 'BO', 76, 'addr2line', 'openssl', 'O0', 'O2', 0.10341107572177133, 18.33544921875]
['CO', 105, 'UO', 52, 'touch', 'ld', 'O1', 'O3', 0.12396887614813079, 1.8464751243591309]
