['CO', 327, 'BO', 11, 'join', 'ssh', 'O0', 'O1', 0.13824457227686027, 2.0908620357513428]
['UO', 43, 'CO', 361, 'find', 'nice', 'O2', 'O0', 0.15468940316686963, 0.2982494831085205]
['CO', 371, 'UO', 49, 'tsort', 'c++filt', 'O0', 'O3', 0.1306797192463982, 0.6340789794921875]
['UO', 50, 'CO', 370, 'strings', 'df', 'O3', 'O0', 0.10474507824331147, 0.8398869037628174]
['UO', 84, 'CO', 64, 'sdiff', 'tty', 'O0', 'O3', 0.12676853423882284, 0.03854799270629883]
['CO', 126, 'BO', 67, 'pwd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.20403728207852412, 4.769324779510498]
['CO', 148, 'UO', 29, 'seq', 'as', 'O1', 'O2', 0.12758285158262261, 1.6509487628936768]
['UO', 50, 'CO', 57, 'strings', 'od', 'O3', 'O3', 0.12752693917534952, 0.8035836219787598]
['CO', 295, 'BO', 3, 'id', 'openssl', 'O2', 'O1', 0.2796249301045206, 7.276300668716431]
['BO', 41, 'CO', 73, 'libSDL2-2.0.so.0.16.0', 'hostid', 'O2', 'O3', 0.2101860533978187, 4.887114763259888]
['BO', 55, 'CO', 37, 'make', 'truncate', 'O1', 'O3', 0.13314121037463977, 0.20708322525024414]
['CO', 402, 'UO', 76, 'tr', 'addr2line', 'O0', 'O0', 0.14431554524361956, 2.2258903980255127]
['BO', 27, 'CO', 364, 'perl', 'sha256sum', 'O3', 'O0', 0.08010260595814145, 2.3599681854248047]
['CO', 325, 'BO', 37, 'printenv', 'gvmap', 'O0', 'O2', 0.12130862767805439, 0.1305091381072998]
['CO', 111, 'UO', 60, 'fmt', 'xargs', 'O1', 'O3', 0.09651741293532334, 0.07728457450866699]
['CO', 342, 'UO', 71, 'expand', 'c++filt', 'O0', 'O0', 0.1480035492457853, 2.1417429447174072]
['UO', 1, 'CO', 367, 'xargs', 'cp', 'O1', 'O0', 0.09289980092899797, 0.2779405117034912]
['CO', 0, 'UO', 18, 'sha384sum', 'diff3', 'O3', 'O1', 0.06729699666295885, 0.0458831787109375]
['UO', 86, 'CO', 364, 'xargs', 'sha256sum', 'O0', 'O0', 0.089622641509434, 0.11795783042907715]
['BO', 71, 'CO', 391, 'libSDL2-2.0.so.0.16.0', 'link', 'O0', 'O0', 0.19974646101838156, 6.2121922969818115]
['CO', 139, 'UO', 80, 'base32', 'objdump', 'O1', 'O0', 0.14111498257839727, 3.862393617630005]
['CO', 267, 'BO', 21, 'tsort', 'cp', 'O2', 'O1', 0.13078393881453154, 0.09630179405212402]
['UO', 56, 'BO', 72, 'elfedit', 'make', 'O3', 'O2', 0.12314730100640436, 0.23441624641418457]
['CO', 28, 'UO', 75, 'factor', 'gprof', 'O3', 'O0', 0.14475570751075328, 2.2710721492767334]
['UO', 73, 'CO', 301, 'objcopy', 'nl', 'O0', 'O2', 0.14616040527662133, 2.570305585861206]
['CO', 149, 'UO', 7, 'split', 'ranlib', 'O1', 'O1', 0.13801626534842926, 1.208369493484497]
['CO', 54, 'UO', 3, 'true', 'nm', 'O3', 'O1', 0.1534364261168385, 1.0129354000091553]
['UO', 82, 'CO', 412, 'cmp', 'tac', 'O0', 'O0', 0.028745163073521263, 0.061472415924072266]
['BO', 51, 'CO', 151, 'lua', 'numfmt', 'O1', 'O1', 0.12105586249232658, 0.44664931297302246]
['UO', 64, 'CO', 247, 'diff', 'paste', 'O3', 'O2', 0.1275528484414188, 0.08083200454711914]
['BO', 39, 'CO', 21, 'codeblocks', 'mktemp', 'O3', 'O3', 0.183653674349746, 10.371571779251099]
['UO', 79, 'BO', 46, 'size', 'ruby', 'O0', 'O3', 0.053313801762765234, 26.3957736492157]
['BO', 73, 'CO', 31, 'cluster', 'date', 'O1', 'O3', 0.09958826556870815, 0.14749646186828613]
['CO', 3, 'BO', 63, 'unlink', 'cluster', 'O3', 'O0', 0.13692768506632436, 0.17603397369384766]
['CO', 24, 'BO', 20, 'tee', 'sort', 'O3', 'O1', 0.1276978417266187, 0.10137677192687988]
['CO', 69, 'UO', 56, 'who', 'elfedit', 'O3', 'O3', 0.04737516005121645, 0.03541231155395508]
['CO', 185, 'UO', 42, 'cat', 'xargs', 'O1', 'O2', 0.10608424336973477, 0.06995964050292969]
['UO', 25, 'CO', 39, 'sdiff', 'paste', 'O2', 'O3', 0.08394160583941601, 0.03751015663146973]
['UO', 70, 'CO', 117, 'ranlib', 'printenv', 'O0', 'O1', 0.15357488197485925, 2.244866371154785]
['CO', 293, 'BO', 60, '[', 'openssl', 'O2', 'O0', 0.27012926335461773, 8.633878231048584]
['CO', 113, 'BO', 67, 'du', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.18409142857142857, 6.179535150527954]
['CO', 56, 'UO', 44, 'cut', 'nm', 'O3', 'O3', 0.1351351351351351, 0.8410797119140625]
['UO', 62, 'CO', 13, 'diff3', 'printenv', 'O3', 'O3', 0.08067542213883683, 0.03229379653930664]
['BO', 63, 'UO', 27, 'cluster', 'strip', 'O0', 'O2', 0.08098276581787822, 1.9647705554962158]
['CO', 205, 'UO', 36, 'rmdir', 'addr2line', 'O1', 'O2', 0.14328196809948635, 0.9265401363372803]
['UO', 48, 'CO', 266, 'ranlib', 'df', 'O3', 'O2', 0.11737704918032787, 1.0298655033111572]
['CO', 187, 'BO', 38, 'csplit', 'acyclic', 'O1', 'O2', 0.18500407497962512, 0.02741241455078125]
