['UO', 2, 'CO', 257, 'find', 'nice', 'O1', 'O2', 0.16925734024179617, 0.749030590057373]
['CO', 310, 'UO', 3, 'mknod', 'nm', 'O2', 'O1', 0.15197934595524953, 1.1100242137908936]
['UO', 46, 'CO', 155, 'readelf', 'realpath', 'O3', 'O1', 0.09358569926393268, 0.2778294086456299]
['BO', 58, 'CO', 93, 'svn', 'nl', 'O1', 'O3', 0.21759185621122956, 0.5172326564788818]
['BO', 22, 'CO', 69, 'perl', 'who', 'O0', 'O3', 0.1102418207681366, 3.889457941055298]
['CO', 125, 'BO', 19, 'mktemp', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.15942086790044674, 4.940737009048462]
['BO', 83, 'CO', 182, 'lua', 'chcon', 'O2', 'O1', 0.10747147589252848, 0.5008506774902344]
['BO', 17, 'CO', 397, 'codeblocks', '[', 'O2', 'O0', 0.18421596486695946, 10.873691320419312]
['CO', 89, 'UO', 20, 'pathchk', 'diff', 'O3', 'O1', 0.13965341488277272, 0.1051785945892334]
['BO', 6, 'UO', 49, 'codeblocks', 'c++filt', 'O0', 'O3', 0.1546161874940697, 39.19159507751465]
['UO', 18, 'CO', 150, 'diff3', 'whoami', 'O1', 'O1', 0.08354271356783916, 0.047069549560546875]
['CO', 81, 'BO', 14, 'cat', 'cmp', 'O3', 'O0', 0.08030112923462984, 0.04308199882507324]
['CO', 70, 'BO', 27, 'b2sum', 'perl', 'O3', 'O3', 0.08154581487526236, 2.4515340328216553]
['CO', 312, 'UO', 54, 'sha384sum', 'addr2line', 'O0', 'O3', 0.12741034420616326, 0.927191972732544]
['BO', 25, 'UO', 67, 'dot', 'strip', 'O3', 'O0', 0.1536260029641744, 2.632481813430786]
['UO', 60, 'BO', 78, 'xargs', 'ssh', 'O3', 'O0', 0.12735641188855706, 2.623236656188965]
['CO', 5, 'BO', 11, 'basename', 'ssh', 'O3', 'O1', 0.14903724347605773, 1.4790174961090088]
