['BO', 81, 'CO', 15, 'sort', 'join', 'O3', 'O3', 0.08713826366559485, 0.20587944984436035]
['UO', 2, 'CO', 344, 'find', 'expr', 'O1', 'O0', 0.13744674136026513, 0.7260401248931885]
['CO', 110, 'BO', 29, 'mkdir', 'libvlc.so.12.0.0', 'O1', 'O2', 0.20139675349188368, 0.8590795993804932]
['CO', 110, 'BO', 65, 'mkdir', 'gvmap', 'O1', 'O0', 0.11589271417133706, 0.4995722770690918]
['BO', 12, 'CO', 46, 'libgeany.so.0.0.0', 'whoami', 'O0', 'O3', 0.19296605713618042, 28.881781816482544]
['CO', 397, 'BO', 2, '[', 'perl', 'O0', 'O1', 0.07388658658133562, 2.6795871257781982]
['BO', 38, 'CO', 389, 'acyclic', 'env', 'O2', 'O0', 0.18584070796460184, 0.02562093734741211]
['CO', 286, 'UO', 20, 'chcon', 'diff', 'O2', 'O1', 0.09015421115065247, 0.14769744873046875]
['UO', 28, 'CO', 191, 'readelf', 'id', 'O2', 'O1', 0.10397033832844116, 0.2712981700897217]
['UO', 25, 'BO', 6, 'sdiff', 'codeblocks', 'O2', 'O0', 0.2042802274909521, 28.913135290145874]
['CO', 368, 'UO', 62, 'cut', 'diff3', 'O0', 'O3', 0.04450261780104714, 0.06052851676940918]
['CO', 274, 'UO', 15, 'runcon', 'elfedit', 'O2', 'O1', 0.08702928870292892, 0.026907920837402344]
['CO', 72, 'BO', 15, 'head', 'diff', 'O3', 'O0', 0.14666284732168433, 0.15856051445007324]
['CO', 188, 'BO', 2, 'vdir', 'perl', 'O1', 'O1', 0.06649531758957661, 3.2189197540283203]
['BO', 2, 'CO', 75, 'perl', 'mv', 'O1', 'O3', 0.06678463094034381, 3.124570369720459]
['CO', 41, 'BO', 29, 'echo', 'libvlc.so.12.0.0', 'O3', 'O2', 0.22540820390282756, 0.3995702266693115]
['UO', 46, 'CO', 113, 'readelf', 'du', 'O3', 'O1', 0.05776736924277903, 0.4077732563018799]
['UO', 85, 'CO', 260, 'locate', 'sha256sum', 'O0', 'O2', 0.15334420880913546, 0.19332361221313477]
['CO', 304, 'BO', 39, 'fold', 'codeblocks', 'O2', 'O3', 0.18603454044732715, 10.8681161403656]
['UO', 56, 'CO', 64, 'elfedit', 'tty', 'O3', 'O3', 0.0673374613003096, 0.028022289276123047]
['CO', 384, 'BO', 18, 'head', 'libvlc.so.12.0.0', 'O0', 'O1', 0.19340138534451334, 0.5026106834411621]
['UO', 33, 'CO', 413, 'objcopy', 'rmdir', 'O2', 'O0', 0.1340098492762274, 1.2241861820220947]
['UO', 62, 'BO', 62, 'diff3', 'bash', 'O3', 'O1', 0.1216750391171868, 2.898582935333252]
['CO', 368, 'BO', 36, 'cut', 'cluster', 'O0', 'O2', 0.10155148095909727, 0.15909504890441895]
['BO', 49, 'CO', 211, 'svn', 'unlink', 'O0', 'O2', 0.220100045475216, 0.5160858631134033]
['BO', 46, 'CO', 348, 'ruby', 'pinky', 'O3', 'O0', 0.10277617295587926, 13.436399936676025]
['CO', 168, 'UO', 26, 'tty', 'nm', 'O1', 'O2', 0.14678817117841514, 0.992795467376709]
['CO', 305, 'BO', 57, 'uniq', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.15377887329543194, 4.541858911514282]
['UO', 29, 'CO', 8, 'as', 'dir', 'O2', 'O3', 0.10734343541379676, 2.216360330581665]
['BO', 50, 'UO', 47, 'perl', 'as', 'O2', 'O3', 0.018416055860674962, 7.818964004516602]
['CO', 351, 'BO', 58, 'paste', 'svn', 'O0', 'O1', 0.21013341804320207, 0.5368783473968506]
['CO', 352, 'UO', 55, 'sync', 'ar', 'O0', 'O3', 0.13273643949930458, 0.9400439262390137]
['UO', 11, 'CO', 399, 'ld', 'id', 'O1', 'O0', 0.13946144571395758, 2.183976173400879]
