['CO', 109, 'BO', 51, 'basename', 'lua', 'O1', 'O1', 0.13076629813190999, 0.8907520771026611]
['CO', 162, 'UO', 51, 'df', 'objcopy', 'O1', 'O3', 0.11112709487161043, 2.6126441955566406]
['UO', 66, 'CO', 158, 'nm', 'true', 'O0', 'O1', 0.15395868687459768, 2.2977042198181152]
['CO', 93, 'UO', 58, 'nl', 'objdump', 'O3', 'O3', 0.1249495007791308, 1.6412501335144043]
['UO', 41, 'CO', 124, 'locate', 'mkfifo', 'O2', 'O1', 0.13869132290184916, 0.11765408515930176]
['CO', 212, 'BO', 47, 'test', 'libvlc.so.12.0.0', 'O2', 'O0', 0.23023295357932327, 0.593958854675293]
['UO', 7, 'CO', 371, 'ranlib', 'tsort', 'O1', 'O0', 0.14269508143586418, 1.2065298557281494]
['CO', 254, 'BO', 74, 'whoami', 'dot', 'O2', 'O1', 0.16353111432706224, 0.013570070266723633]
['CO', 279, 'UO', 13, 'readlink', 'addr2line', 'O2', 'O1', 0.14781557589362804, 1.071047067642212]
['CO', 235, 'BO', 1, 'wc', 'ssh', 'O2', 'O2', 0.14212910532276335, 1.5127406120300293]
['UO', 69, 'CO', 274, 'as', 'runcon', 'O0', 'O2', 0.14141819495164332, 3.6603169441223145]
['CO', 372, 'UO', 77, 'base64', 'ar', 'O0', 'O0', 0.146173640635489, 2.4618210792541504]
['CO', 291, 'UO', 75, 'csplit', 'gprof', 'O2', 'O0', 0.14544545100872563, 2.409449815750122]
['BO', 4, 'CO', 344, 'libgeany.so.0.0.0', 'expr', 'O2', 'O0', 0.1754139059757428, 29.477111339569092]
['CO', 142, 'BO', 7, 'sha1sum', 'sort', 'O1', 'O0', 0.14375000000000004, 0.1770169734954834]
['CO', 114, 'BO', 72, 'users', 'make', 'O1', 'O2', 0.12681294161398293, 0.2379150390625]
['BO', 78, 'CO', 243, 'ssh', 'base32', 'O0', 'O2', 0.14169587969313624, 2.053601026535034]
['BO', 28, 'CO', 338, 'ruby', 'kill', 'O0', 'O0', 0.10394824556087512, 13.373643159866333]
['UO', 8, 'CO', 8, 'c++filt', 'dir', 'O1', 'O3', 0.11475155279503102, 1.4666423797607422]
['UO', 78, 'BO', 75, 'elfedit', 'gvmap', 'O0', 'O1', 0.10732492621411327, 0.15312600135803223]
['CO', 95, 'BO', 80, 'sha224sum', 'ssh', 'O3', 'O3', 0.13784619266923226, 1.3747692108154297]
['UO', 16, 'CO', 294, 'size', 'timeout', 'O1', 'O2', 0.14704617765930006, 1.0883159637451172]
['UO', 34, 'CO', 351, 'ld', 'paste', 'O2', 'O0', 0.1384002852388876, 1.9038422107696533]
['UO', 22, 'CO', 129, 'diff3', 'chgrp', 'O2', 'O1', 0.057710501419110716, 0.06923508644104004]
['UO', 17, 'CO', 162, 'objdump', 'df', 'O1', 'O1', 0.12489944763232685, 2.3933300971984863]
['BO', 60, 'CO', 191, 'openssl', 'id', 'O0', 'O1', 0.26880341880341874, 9.002541065216064]
['CO', 6, 'BO', 26, 'mkdir', 'gvmap', 'O3', 'O3', 0.10953780390061452, 0.1369152069091797]
['UO', 84, 'BO', 26, 'sdiff', 'gvmap', 'O0', 'O3', 0.0814356435643564, 0.18018388748168945]
['BO', 77, 'CO', 269, 'libSDL2-2.0.so.0.16.0', 'cksum', 'O3', 'O2', 0.19216787078367314, 5.007000207901001]
['UO', 67, 'CO', 77, 'strip', 'env', 'O0', 'O3', 0.14635854341736698, 2.672074317932129]
['CO', 393, 'BO', 57, 'cat', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.1521247470539222, 4.699113130569458]
['CO', 292, 'UO', 73, 'vdir', 'objcopy', 'O2', 'O0', 0.12615066691715193, 3.4420154094696045]
['CO', 285, 'UO', 31, 'env', 'c++filt', 'O2', 'O2', 0.14803513638465093, 0.9232475757598877]
['BO', 67, 'CO', 323, 'libSDL2-2.0.so.0.16.0', 'groups', 'O1', 'O0', 0.2027046537369459, 5.523386478424072]
['BO', 49, 'CO', 121, 'svn', 'stdbuf', 'O0', 'O1', 0.2030250145433392, 0.567859411239624]
['BO', 68, 'CO', 310, 'git', 'mknod', 'O3', 'O2', 0.0933443311926786, 6.479686737060547]
['UO', 39, 'CO', 176, 'size', 'head', 'O2', 'O1', 0.14044444444444448, 0.987330436706543]
['BO', 40, 'CO', 116, 'lua', 'ptx', 'O0', 'O1', 0.12640421998632412, 0.8317732810974121]
['CO', 406, 'BO', 26, 'rm', 'gvmap', 'O0', 'O3', 0.05546678840447383, 0.21927094459533691]
['UO', 15, 'CO', 202, 'elfedit', 'sleep', 'O1', 'O1', 0.050557620817843874, 0.034925222396850586]
['CO', 369, 'UO', 59, 'od', 'locate', 'O0', 'O3', 0.07426810477657941, 0.15977239608764648]
['BO', 74, 'CO', 331, 'dot', 'dd', 'O1', 'O0', 0.21206581352833642, 0.04781031608581543]
['UO', 85, 'CO', 284, 'locate', 'md5sum', 'O0', 'O2', 0.15567715458276332, 0.19273996353149414]
['CO', 194, 'UO', 44, 'tr', 'nm', 'O1', 'O3', 0.1332614942528736, 0.8845076560974121]
['CO', 349, 'UO', 49, 'truncate', 'c++filt', 'O0', 'O3', 0.13137400333765992, 0.8597776889801025]
['CO', 304, 'UO', 30, 'fold', 'ranlib', 'O2', 'O2', 0.146268143949154, 1.0157036781311035]
['CO', 158, 'BO', 10, 'true', 'openssl', 'O1', 'O3', 0.2797634464301131, 7.673583745956421]
['CO', 97, 'BO', 77, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.1865341165838229, 5.2295081615448]
['CO', 234, 'BO', 9, 'kill', 'git', 'O2', 'O0', 0.09326658814291322, 6.598345756530762]
['UO', 44, 'CO', 281, 'nm', 'hostid', 'O3', 'O2', 0.14273843597082447, 0.8221023082733154]
['BO', 49, 'UO', 25, 'svn', 'sdiff', 'O0', 'O2', 0.19370255833567618, 0.5929028987884521]
['CO', 257, 'UO', 59, 'nice', 'locate', 'O2', 'O3', 0.14567233384853173, 0.09918475151062012]
['CO', 21, 'UO', 14, 'mktemp', 'ar', 'O3', 'O1', 0.14275373974585814, 1.2233238220214844]
['CO', 130, 'UO', 82, 'kill', 'cmp', 'O1', 'O0', 0.0731391585760518, 0.048956871032714844]
['CO', 377, 'UO', 56, 'false', 'elfedit', 'O0', 'O3', 0.03993855606758834, 0.0359499454498291]
['UO', 17, 'CO', 194, 'objdump', 'tr', 'O1', 'O1', 0.1364825015300729, 2.0764694213867188]
['BO', 83, 'CO', 321, 'lua', 'du', 'O2', 'O0', 0.07017735931683822, 0.7274811267852783]
['CO', 179, 'UO', 1, 'mv', 'xargs', 'O1', 'O1', 0.06029882604055492, 0.20501041412353516]
['BO', 49, 'CO', 116, 'svn', 'ptx', 'O0', 'O1', 0.18590539235967452, 0.656653881072998]
['BO', 8, 'UO', 12, 'cp', 'gprof', 'O0', 'O1', 0.09114197114736422, 1.9545557498931885]
['BO', 2, 'CO', 53, 'perl', 'chmod', 'O1', 'O3', 0.07446836268754076, 2.594999313354492]
['UO', 54, 'CO', 203, 'addr2line', 'sort', 'O3', 'O1', 0.10035988876165547, 1.2153868675231934]
['BO', 24, 'CO', 375, 'cluster', 'logname', 'O3', 'O0', 0.11880887268307505, 0.12598490715026855]
['BO', 29, 'UO', 20, 'libvlc.so.12.0.0', 'diff', 'O2', 'O1', 0.1283653131042689, 0.6984958648681641]
