['CO', 271, 'UO', 75, 'logname', 'gprof', 'O2', 'O0', 0.15289632411517018, 4.538359880447388]
['BO', 28, 'CO', 294, 'ruby', 'timeout', 'O0', 'O2', 0.10415750943510615, 13.46133804321289]
['CO', 81, 'BO', 44, 'cat', 'cmp', 'O3', 'O2', 0.047222222222222276, 0.034264326095581055]
['UO', 28, 'CO', 375, 'readelf', 'logname', 'O2', 'O0', 0.10626574307304781, 0.26283788681030273]
['UO', 83, 'BO', 0, 'diff', 'codeblocks', 'O0', 'O1', 0.16780152029118278, 12.994263172149658]
['BO', 23, 'UO', 30, 'git', 'ranlib', 'O2', 'O2', 0.05093428306581449, 12.866796493530273]
['CO', 383, 'UO', 79, 'readlink', 'size', 'O0', 'O0', 0.14410809556947346, 2.5227487087249756]
['BO', 48, 'CO', 394, 'libvlccore.so.9.0.0', 'shuf', 'O0', 'O0', 0.1731117044182241, 12.08956503868103]
['BO', 71, 'CO', 172, 'libSDL2-2.0.so.0.16.0', 'yes', 'O0', 'O1', 0.2016945562380852, 6.557423114776611]
['CO', 388, 'UO', 70, 'md5sum', 'ranlib', 'O0', 'O0', 0.1459031033712882, 2.5582656860351562]
['CO', 156, 'BO', 57, 'sha256sum', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.15319182764925676, 4.573158502578735]
['CO', 268, 'UO', 58, 'base64', 'objdump', 'O2', 'O3', 0.1262808570097811, 1.5969648361206055]
['CO', 264, 'UO', 54, 'cut', 'addr2line', 'O2', 'O3', 0.13688002216680517, 0.8449087142944336]
['BO', 39, 'CO', 268, 'codeblocks', 'base64', 'O3', 'O2', 0.1857223679473332, 10.620390892028809]
['UO', 47, 'CO', 243, 'as', 'base32', 'O3', 'O2', 0.12301797819039195, 1.489729642868042]
['UO', 75, 'CO', 99, 'gprof', 'sort', 'O0', 'O3', 0.1272339983374896, 2.8113768100738525]
['UO', 18, 'BO', 68, 'diff3', 'git', 'O1', 'O3', 0.09052193528313623, 6.966682434082031]
['UO', 17, 'CO', 1, 'objdump', 'touch', 'O1', 'O3', 0.13188729631042562, 2.172124147415161]
['UO', 64, 'CO', 302, 'diff', 'rm', 'O3', 'O2', 0.06936416184971095, 0.1337876319885254]
['UO', 59, 'CO', 169, 'locate', 'false', 'O3', 'O1', 0.13882532418001525, 0.10074663162231445]
['CO', 22, 'BO', 69, 'pwd', 'cmp', 'O3', 'O3', 0.04644808743169404, 0.03394508361816406]
['BO', 71, 'CO', 27, 'libSDL2-2.0.so.0.16.0', 'wc', 'O0', 'O3', 0.19741681992977766, 6.685965538024902]
['BO', 16, 'CO', 313, 'make', 'touch', 'O0', 'O0', 0.0891630231105559, 0.3648667335510254]
['CO', 116, 'BO', 67, 'ptx', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.19671898638426621, 6.002962827682495]
['CO', 369, 'BO', 47, 'od', 'libvlc.so.12.0.0', 'O0', 'O0', 0.1932049475497104, 0.7610394954681396]
['CO', 153, 'UO', 3, 'nice', 'nm', 'O1', 'O1', 0.14979445015416237, 1.122741937637329]
['UO', 61, 'CO', 231, 'find', 'pr', 'O3', 'O2', 0.12346715941542086, 0.35834741592407227]
['BO', 2, 'CO', 312, 'perl', 'sha384sum', 'O1', 'O0', 0.07410419180525685, 2.627661943435669]
['CO', 332, 'BO', 27, 'mkfifo', 'perl', 'O0', 'O3', 0.07460938615784518, 3.0455660820007324]
