['CO', 248, 'UO', 57, 'sync', 'size', 'O2', 'O3', 0.14065708418891165, 1.4100711345672607]
['UO', 17, 'CO', 5, 'objdump', 'basename', 'O1', 'O3', 0.14088459811405474, 2.305307626724243]
['CO', 190, 'BO', 0, 'timeout', 'codeblocks', 'O1', 'O1', 0.1841907086655068, 11.985790729522705]
['CO', 120, 'BO', 38, 'dirname', 'acyclic', 'O1', 'O2', 0.15796019900497515, 0.017700910568237305]
['BO', 16, 'CO', 380, 'make', 'yes', 'O0', 'O0', 0.1212068666551066, 0.26114797592163086]
['BO', 70, 'CO', 6, 'diff', 'mkdir', 'O3', 'O3', 0.09647730879086003, 0.10415387153625488]
['CO', 390, 'BO', 37, 'chcon', 'gvmap', 'O0', 'O2', 0.057251908396946605, 0.23263978958129883]
['CO', 249, 'UO', 71, 'echo', 'c++filt', 'O2', 'O0', 0.15633293124246084, 2.074491262435913]
['BO', 38, 'CO', 280, 'acyclic', 'head', 'O2', 'O2', 0.15335463258785942, 0.017520666122436523]
['BO', 38, 'UO', 64, 'acyclic', 'diff', 'O2', 'O3', 0.1821073558648112, 0.06781649589538574]
['BO', 79, 'CO', 366, 'bash', 'true', 'O3', 'O0', 0.1131375335543976, 2.4617714881896973]
['BO', 65, 'CO', 127, 'gvmap', 'pr', 'O0', 'O1', 0.10001890716581585, 0.274381160736084]
['UO', 25, 'CO', 376, 'sdiff', 'tty', 'O2', 'O0', 0.06683322923173018, 0.04879117012023926]
['CO', 173, 'BO', 31, 'who', 'bash', 'O1', 'O2', 0.12104275456919056, 2.912761688232422]
['BO', 63, 'CO', 384, 'cluster', 'head', 'O0', 'O0', 0.10632810950208293, 0.24099087715148926]
['UO', 82, 'CO', 256, 'cmp', 'ls', 'O0', 'O2', 0.09587123862841151, 0.11975908279418945]
['UO', 26, 'BO', 77, 'nm', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.08177540777917192, 10.632747173309326]
['CO', 331, 'UO', 17, 'dd', 'objdump', 'O0', 'O1', 0.12485238862050452, 2.4343655109405518]
['CO', 246, 'UO', 57, 'sha1sum', 'size', 'O2', 'O3', 0.13701789998154634, 0.8382182121276855]
['BO', 51, 'CO', 43, 'lua', 'chroot', 'O1', 'O3', 0.1274461233589299, 0.4353466033935547]
['UO', 65, 'CO', 224, 'sdiff', 'dirname', 'O3', 'O2', 0.09938733832539137, 0.03527641296386719]
['CO', 115, 'UO', 2, 'groups', 'find', 'O1', 'O1', 0.15948855989232835, 0.39670825004577637]
['UO', 51, 'CO', 269, 'objcopy', 'cksum', 'O3', 'O2', 0.13315846320012348, 0.9784228801727295]
['UO', 43, 'CO', 222, 'find', 'stty', 'O2', 'O2', 0.1541495198902606, 0.3670506477355957]
['BO', 21, 'CO', 131, 'cp', 'wc', 'O1', 'O1', 0.09684210526315784, 0.12156105041503906]
['CO', 149, 'UO', 62, 'split', 'diff3', 'O1', 'O3', 0.03326713008937443, 0.058866262435913086]
['UO', 14, 'CO', 82, 'ar', 'shuf', 'O1', 'O3', 0.13825652415324818, 1.2344462871551514]
['CO', 229, 'BO', 52, 'mktemp', 'svn', 'O2', 'O3', 0.2032786885245902, 0.4958157539367676]
['BO', 28, 'CO', 210, 'ruby', 'stat', 'O0', 'O2', 0.10211633049050128, 14.340540885925293]
['CO', 291, 'BO', 10, 'csplit', 'openssl', 'O2', 'O3', 0.2732877003528762, 7.893634796142578]
['UO', 3, 'CO', 33, 'nm', 'chown', 'O1', 'O3', 0.13595068137573008, 1.1987409591674805]
['CO', 308, 'BO', 21, 'tac', 'cp', 'O2', 'O1', 0.1227544910179641, 0.1030435562133789]
['CO', 221, 'UO', 37, 'printenv', 'ar', 'O2', 'O2', 0.1494193101057375, 1.0047738552093506]
['BO', 60, 'CO', 258, 'openssl', 'dircolors', 'O0', 'O2', 0.2708178801483505, 9.152580261230469]
['UO', 70, 'CO', 166, 'ranlib', 'printf', 'O0', 'O1', 0.14967705700645884, 2.4035370349884033]
['BO', 39, 'UO', 31, 'codeblocks', 'c++filt', 'O3', 'O2', 0.11866359447004604, 18.396275281906128]
['CO', 313, 'BO', 31, 'touch', 'bash', 'O0', 'O2', 0.11504743605139911, 3.3363568782806396]
['CO', 101, 'UO', 45, 'rmdir', 'strip', 'O3', 'O3', 0.12920367418203904, 1.064112901687622]
['CO', 369, 'UO', 62, 'od', 'diff3', 'O0', 'O3', 0.06227106227106227, 0.07146096229553223]
['CO', 178, 'BO', 47, 'unexpand', 'libvlc.so.12.0.0', 'O1', 'O0', 0.22490298633372707, 0.624434232711792]
['CO', 26, 'UO', 42, 'kill', 'xargs', 'O3', 'O2', 0.11524732279449257, 0.06824970245361328]
['CO', 193, 'BO', 21, 'pathchk', 'cp', 'O1', 'O1', 0.13015017327685796, 0.10020923614501953]
['UO', 82, 'CO', 181, 'cmp', 'env', 'O0', 'O1', 0.07920792079207917, 0.045948028564453125]
['BO', 72, 'CO', 170, 'make', 'runcon', 'O2', 'O1', 0.13287904599659284, 0.2213149070739746]
['CO', 67, 'UO', 9, 'nohup', 'strings', 'O3', 'O1', 0.149319698414074, 1.0557246208190918]
['BO', 80, 'CO', 138, 'ssh', 'tail', 'O3', 'O1', 0.12814842118196335, 1.5171618461608887]
['UO', 0, 'CO', 212, 'locate', 'test', 'O1', 'O2', 0.13863404689092762, 0.12372922897338867]
['BO', 66, 'CO', 186, 'svn', 'shuf', 'O2', 'O1', 0.19292168674698795, 0.5930557250976562]
['BO', 36, 'UO', 66, 'cluster', 'nm', 'O2', 'O0', 0.12031599189231335, 3.092557907104492]
['BO', 35, 'CO', 299, 'make', 'comm', 'O3', 'O2', 0.12865933246317363, 0.2332754135131836]
['CO', 110, 'BO', 18, 'mkdir', 'libvlc.so.12.0.0', 'O1', 'O1', 0.20290394638868203, 0.4857966899871826]
['BO', 1, 'CO', 111, 'ssh', 'fmt', 'O2', 'O1', 0.1437042644461266, 1.4389758110046387]
['UO', 11, 'CO', 318, 'ld', 'mkdir', 'O1', 'O0', 0.12291325695581012, 2.6392314434051514]
['UO', 16, 'CO', 334, 'size', 'pwd', 'O1', 'O0', 0.14217279726261767, 1.149742841720581]
['CO', 152, 'BO', 29, 'ls', 'libvlc.so.12.0.0', 'O1', 'O2', 0.13277182235834606, 0.6843841075897217]
['UO', 30, 'CO', 186, 'ranlib', 'shuf', 'O2', 'O1', 0.13045981738915846, 1.1798298358917236]
['CO', 254, 'BO', 61, 'whoami', 'git', 'O2', 'O1', 0.09375307234009078, 6.598043441772461]
