['CO', 194, 'UO', 71, 'tr', 'c++filt', 'O1', 'O0', 0.1501302391664694, 3.4208905696868896]
['BO', 62, 'CO', 64, 'bash', 'tty', 'O1', 'O3', 0.12768100734522558, 2.7495949268341064]
['BO', 69, 'CO', 26, 'cmp', 'kill', 'O3', 'O3', 0.05151729004940009, 0.0334162712097168]
['CO', 332, 'UO', 59, 'mkfifo', 'locate', 'O0', 'O3', 0.040744738262277425, 0.21435832977294922]
['CO', 358, 'BO', 19, 'whoami', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.16199051370688966, 5.060750246047974]
['CO', 132, 'UO', 85, 'factor', 'locate', 'O1', 'O0', 0.12330121077341238, 0.2324066162109375]
['CO', 35, 'UO', 38, 'base32', 'elfedit', 'O3', 'O2', 0.0482758620689655, 0.0319216251373291]
['BO', 48, 'CO', 354, 'libvlccore.so.9.0.0', 'sum', 'O0', 'O0', 0.178549611658958, 11.41275668144226]
['CO', 168, 'BO', 78, 'tty', 'ssh', 'O1', 'O0', 0.14176712955898063, 2.1057498455047607]
['CO', 123, 'UO', 34, 'dd', 'ld', 'O1', 'O2', 0.13060068219922527, 2.218251943588257]
['CO', 373, 'UO', 75, 'cksum', 'gprof', 'O0', 'O0', 0.1467812605325245, 2.3767218589782715]
['UO', 4, 'CO', 404, 'strip', 'sha512sum', 'O1', 'O0', 0.13463184931506844, 1.4164173603057861]
['BO', 50, 'CO', 295, 'perl', 'id', 'O2', 'O2', 0.0861835574406642, 2.4374282360076904]
['BO', 10, 'UO', 60, 'openssl', 'xargs', 'O3', 'O3', 0.2634390651085141, 8.448754787445068]
['BO', 1, 'CO', 69, 'ssh', 'who', 'O2', 'O3', 0.14194676996126454, 1.4463460445404053]
['CO', 275, 'UO', 70, 'nohup', 'ranlib', 'O2', 'O0', 0.1533041650093755, 2.349095106124878]
['CO', 257, 'BO', 11, 'nice', 'ssh', 'O2', 'O1', 0.1501212198545362, 1.448462724685669]
['UO', 45, 'CO', 158, 'strip', 'true', 'O3', 'O1', 0.1316964285714286, 0.9947953224182129]
['BO', 35, 'CO', 70, 'make', 'b2sum', 'O3', 'O3', 0.11643109540636043, 0.24121689796447754]
['UO', 56, 'BO', 17, 'elfedit', 'codeblocks', 'O3', 'O2', 0.1867487083625412, 11.034884691238403]
['UO', 25, 'CO', 286, 'sdiff', 'chcon', 'O2', 'O2', 0.04042348411934549, 0.0695798397064209]
['BO', 24, 'CO', 292, 'cluster', 'vdir', 'O3', 'O2', 0.04350649350649349, 0.25530242919921875]
['CO', 200, 'BO', 47, 'fold', 'libvlc.so.12.0.0', 'O1', 'O0', 0.22705642420122363, 0.6358461380004883]
['CO', 118, 'BO', 21, 'stty', 'cp', 'O1', 'O1', 0.09982668977469666, 0.1255481243133545]
['CO', 172, 'UO', 85, 'yes', 'locate', 'O1', 'O0', 0.15981100611450805, 0.19626164436340332]
['UO', 51, 'CO', 15, 'objcopy', 'join', 'O3', 'O3', 0.12395895300416415, 1.0786895751953125]
['BO', 9, 'CO', 380, 'git', 'yes', 'O0', 'O0', 0.09248407643312107, 6.591289520263672]
['CO', 332, 'BO', 35, 'mkfifo', 'make', 'O0', 'O3', 0.0747207802422526, 0.4006640911102295]
['CO', 17, 'BO', 83, 'stdbuf', 'lua', 'O3', 'O2', 0.12522804274172528, 0.39847850799560547]
