['CO', 292, 'UO', 16, 'vdir', 'size', 'O2', 'O1', 0.11644900497512434, 2.165431499481201]
['CO', 74, 'BO', 12, 'unexpand', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19217545018356996, 31.61296033859253]
['UO', 38, 'CO', 250, 'elfedit', 'sum', 'O2', 'O2', 0.04637681159420293, 0.03668785095214844]
['CO', 110, 'UO', 23, 'mkdir', 'cmp', 'O1', 'O2', 0.05378361475922455, 0.046228647232055664]
['BO', 68, 'CO', 272, 'git', 'tty', 'O3', 'O2', 0.09378564405113077, 6.321758031845093]
['BO', 23, 'CO', 67, 'git', 'nohup', 'O2', 'O3', 0.09281700894692535, 6.415849208831787]
['BO', 80, 'CO', 45, 'ssh', 'split', 'O3', 'O3', 0.1314310419368785, 1.3962109088897705]
['UO', 24, 'CO', 398, 'diff', 'timeout', 'O2', 'O0', 0.08922289734569877, 0.1418914794921875]
['BO', 58, 'CO', 281, 'svn', 'hostid', 'O1', 'O2', 0.23162620552045232, 0.45511531829833984]
['BO', 80, 'CO', 329, 'ssh', 'stdbuf', 'O3', 'O0', 0.13391064257028118, 1.374891757965088]
['CO', 319, 'UO', 74, 'fmt', 'ld', 'O0', 'O0', 0.14594281458186786, 4.218461275100708]
['CO', 292, 'UO', 62, 'vdir', 'diff3', 'O2', 'O3', 0.09367681498829039, 0.11697530746459961]
['BO', 65, 'UO', 48, 'gvmap', 'ranlib', 'O0', 'O3', 0.07137615902875061, 1.6361753940582275]
['CO', 296, 'UO', 35, 'shred', 'gprof', 'O2', 'O2', 0.13016545765751086, 1.1381897926330566]
['UO', 16, 'CO', 201, 'size', 'uniq', 'O1', 'O1', 0.14295456482823288, 1.1233654022216797]
['UO', 2, 'CO', 13, 'find', 'printenv', 'O1', 'O3', 0.16871374957352436, 0.3584911823272705]
['BO', 63, 'CO', 349, 'cluster', 'truncate', 'O0', 'O0', 0.11632737847943497, 0.22058916091918945]
['BO', 80, 'UO', 11, 'ssh', 'ld', 'O3', 'O1', 0.027897267206477783, 6.574212551116943]
['CO', 393, 'UO', 41, 'cat', 'locate', 'O0', 'O2', 0.11140671765879617, 0.14586353302001953]
['CO', 4, 'BO', 66, 'test', 'svn', 'O3', 'O2', 0.21625039519443567, 0.49157047271728516]
['UO', 28, 'BO', 81, 'readelf', 'sort', 'O2', 'O3', 0.06320742719063976, 0.4150562286376953]
['CO', 5, 'UO', 83, 'basename', 'diff', 'O3', 'O0', 0.1655508216676811, 0.14430904388427734]
