['CO', 180, 'UO', 58, 'md5sum', 'objdump', 'O1', 'O3', 0.12337549818055793, 2.2093071937561035]
['BO', 83, 'CO', 224, 'lua', 'dirname', 'O2', 'O2', 0.13525980192646858, 0.25942254066467285]
['CO', 248, 'BO', 71, 'sync', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.2029311809685641, 5.240617752075195]
['UO', 43, 'BO', 25, 'find', 'dot', 'O2', 'O3', 0.19818799546998866, 0.3487718105316162]
['CO', 261, 'BO', 12, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O0', 0.18998493103048575, 27.622403383255005]
['BO', 20, 'CO', 131, 'sort', 'wc', 'O1', 'O1', 0.10185509275463778, 0.12366938591003418]
['CO', 128, 'UO', 43, 'tee', 'find', 'O1', 'O2', 0.15680832610581097, 0.364910364151001]
['CO', 274, 'BO', 41, 'runcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.21191493590380606, 4.889028072357178]
['UO', 83, 'CO', 335, 'diff', 'pr', 'O0', 'O0', 0.07831474597273858, 0.24207663536071777]
['CO', 298, 'BO', 68, 'tr', 'git', 'O2', 'O3', 0.09275180666261917, 6.283258676528931]
['CO', 244, 'BO', 44, 'pinky', 'cmp', 'O2', 'O2', 0.04326241134751774, 0.03755307197570801]
['BO', 31, 'CO', 129, 'bash', 'chgrp', 'O2', 'O1', 0.11689094195621608, 2.920628309249878]
['CO', 70, 'UO', 20, 'b2sum', 'diff', 'O3', 'O1', 0.11450141553947779, 0.11899638175964355]
['CO', 318, 'UO', 20, 'mkdir', 'diff', 'O0', 'O1', 0.03799019607843135, 0.23141002655029297]
['CO', 377, 'UO', 22, 'false', 'diff3', 'O0', 'O2', 0.05932762030323002, 0.041762351989746094]
['CO', 295, 'BO', 35, 'id', 'make', 'O2', 'O3', 0.12823834196891193, 0.2248823642730713]
['UO', 9, 'CO', 100, 'strings', 'tac', 'O1', 'O3', 0.14621589153938563, 1.0069246292114258]
['UO', 86, 'BO', 60, 'xargs', 'openssl', 'O0', 'O0', 0.2508727805097789, 10.237205982208252]
['BO', 12, 'CO', 132, 'libgeany.so.0.0.0', 'factor', 'O0', 'O1', 0.18986363811951945, 27.23395609855652]
['UO', 86, 'CO', 153, 'xargs', 'nice', 'O0', 'O1', 0.1379775280898876, 0.09452176094055176]
['CO', 144, 'BO', 61, 'sync', 'git', 'O1', 'O1', 0.09298128604496059, 6.260839462280273]
['CO', 178, 'BO', 0, 'unexpand', 'codeblocks', 'O1', 'O1', 0.18531832864436804, 10.253824472427368]
['CO', 182, 'UO', 31, 'chcon', 'c++filt', 'O1', 'O2', 0.12706942879431393, 1.0694360733032227]
['CO', 88, 'BO', 78, 'shred', 'ssh', 'O3', 'O0', 0.1331490894734244, 2.219630718231201]
['UO', 25, 'CO', 242, 'sdiff', 'tail', 'O2', 'O2', 0.037234042553191515, 0.06302404403686523]
['CO', 220, 'BO', 78, 'ptx', 'ssh', 'O2', 'O0', 0.13497145693720525, 2.1962013244628906]
['BO', 66, 'CO', 368, 'svn', 'cut', 'O2', 'O0', 0.20065075921908893, 0.522200345993042]
['UO', 78, 'CO', 164, 'elfedit', 'base64', 'O0', 'O1', 0.04524284763805719, 0.041002511978149414]
['BO', 12, 'CO', 387, 'libgeany.so.0.0.0', 'mv', 'O0', 'O0', 0.1753810820321906, 32.04911470413208]
['CO', 175, 'BO', 57, 'readlink', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.15279926992818316, 4.394638538360596]
['CO', 267, 'BO', 4, 'tsort', 'libgeany.so.0.0.0', 'O2', 'O2', 0.17816705151684054, 27.410287380218506]
['UO', 28, 'CO', 286, 'readelf', 'chcon', 'O2', 'O2', 0.09029708766281286, 0.29878854751586914]
['CO', 118, 'BO', 0, 'stty', 'codeblocks', 'O1', 'O1', 0.18382429208588325, 10.368452787399292]
['UO', 74, 'CO', 203, 'ld', 'sort', 'O0', 'O1', 0.13152400835073075, 4.753744125366211]
['CO', 189, 'UO', 84, '[', 'sdiff', 'O1', 'O0', 0.08608608608608614, 0.0663139820098877]
['BO', 75, 'CO', 27, 'gvmap', 'wc', 'O1', 'O3', 0.11263518860458976, 0.14243626594543457]
['CO', 71, 'BO', 66, 'readlink', 'svn', 'O3', 'O2', 0.2123491615734211, 0.5037620067596436]
['UO', 51, 'CO', 75, 'objcopy', 'mv', 'O3', 'O3', 0.09810276146107622, 1.3727290630340576]
['BO', 58, 'CO', 403, 'svn', 'comm', 'O1', 'O0', 0.20578980490874765, 0.5089859962463379]
['CO', 96, 'UO', 77, 'fold', 'ar', 'O3', 'O0', 0.15240460600587036, 2.2529754638671875]
['UO', 47, 'CO', 103, 'as', 'ln', 'O3', 'O3', 0.11005724548209672, 1.6566627025604248]
['BO', 48, 'CO', 97, 'libvlccore.so.9.0.0', 'uniq', 'O0', 'O3', 0.18023019240830085, 10.4591703414917]
['UO', 57, 'CO', 54, 'size', 'true', 'O3', 'O3', 0.14097325408618122, 0.7583363056182861]
['CO', 280, 'BO', 54, 'head', 'lua', 'O2', 'O3', 0.11537943119018734, 0.3182694911956787]
['CO', 391, 'UO', 80, 'link', 'objdump', 'O0', 'O0', 0.14130866354323834, 3.95100736618042]
['CO', 106, 'UO', 61, 'stat', 'find', 'O1', 'O3', 0.10492436433859031, 0.4084048271179199]
['UO', 41, 'CO', 133, 'locate', 'nproc', 'O2', 'O1', 0.13095238095238093, 0.11701154708862305]
['CO', 168, 'UO', 66, 'tty', 'nm', 'O1', 'O0', 0.15351363981540977, 2.176889181137085]
['CO', 63, 'UO', 62, 'logname', 'diff3', 'O3', 'O3', 0.07982673267326734, 0.033351898193359375]
['CO', 228, 'UO', 11, 'mkfifo', 'ld', 'O2', 'O1', 0.14820042342978124, 1.942742109298706]
['CO', 335, 'UO', 17, 'pr', 'objdump', 'O0', 'O1', 0.12550498249394026, 2.385254144668579]
['BO', 29, 'CO', 374, 'libvlc.so.12.0.0', 'printf', 'O2', 'O0', 0.19814709775004724, 0.44666147232055664]
['BO', 17, 'CO', 110, 'codeblocks', 'mkdir', 'O2', 'O1', 0.18559821983026292, 10.441164255142212]
['CO', 85, 'BO', 77, '[', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.18816106042035496, 5.070774793624878]
['CO', 59, 'UO', 58, 'tsort', 'objdump', 'O3', 'O3', 0.1249495007791308, 1.556947946548462]
['CO', 310, 'BO', 79, 'mknod', 'bash', 'O2', 'O3', 0.11459322570433683, 2.3865089416503906]
['CO', 128, 'BO', 36, 'tee', 'cluster', 'O1', 'O2', 0.1232917409387998, 0.13067364692687988]
['CO', 346, 'UO', 45, 'tail', 'strip', 'O0', 'O3', 0.10675195451314856, 1.3334541320800781]
['CO', 273, 'UO', 74, 'false', 'ld', 'O2', 'O0', 0.1528887393827264, 3.8125269412994385]
['CO', 65, 'UO', 7, 'false', 'ranlib', 'O3', 'O1', 0.15220800660338418, 1.0980689525604248]
['UO', 39, 'CO', 386, 'size', 'unexpand', 'O2', 'O0', 0.13854351687388988, 0.9514064788818359]
['CO', 103, 'BO', 51, 'ln', 'lua', 'O3', 'O1', 0.1068072427228971, 0.5359981060028076]
['UO', 6, 'CO', 269, 'as', 'cksum', 'O1', 'O2', 0.13552602188965823, 1.778890609741211]
['CO', 327, 'BO', 73, 'join', 'cluster', 'O0', 'O1', 0.09452201933404947, 0.16120624542236328]
['UO', 50, 'BO', 80, 'strings', 'ssh', 'O3', 'O3', 0.031342869596227785, 3.8467001914978027]
['UO', 46, 'CO', 81, 'readelf', 'cat', 'O3', 'O3', 0.10250917992656061, 0.2259058952331543]
['CO', 289, 'UO', 65, 'cat', 'sdiff', 'O2', 'O3', 0.0848445595854922, 0.03792858123779297]
['BO', 19, 'CO', 10, 'libvlccore.so.9.0.0', 'users', 'O1', 'O3', 0.1630622316735546, 4.56617546081543]
['CO', 106, 'BO', 14, 'stat', 'cmp', 'O1', 'O0', 0.06730331969076853, 0.08309006690979004]
['BO', 9, 'CO', 71, 'git', 'readlink', 'O0', 'O3', 0.09240266463498015, 6.313596725463867]
['UO', 64, 'CO', 380, 'diff', 'yes', 'O3', 'O0', 0.11061182163843764, 0.10114526748657227]
['CO', 343, 'UO', 60, 'date', 'xargs', 'O0', 'O3', 0.030060882800608812, 0.18007588386535645]
['UO', 61, 'CO', 411, 'find', 'sort', 'O3', 'O0', 0.057501652346331755, 0.6317117214202881]
['CO', 343, 'BO', 72, 'date', 'make', 'O0', 'O2', 0.08939468909780635, 0.3220939636230469]
['BO', 49, 'CO', 317, 'svn', 'basename', 'O0', 'O0', 0.20415072122460998, 0.535635232925415]
['UO', 68, 'CO', 106, 'readelf', 'stat', 'O0', 'O1', 0.10489943269726665, 0.6652450561523438]
['CO', 183, 'UO', 25, 'link', 'sdiff', 'O1', 'O2', 0.08721311475409832, 0.03990793228149414]
['CO', 198, 'UO', 33, 'rm', 'objcopy', 'O1', 'O2', 0.12311324129050716, 1.38787841796875]
['BO', 70, 'CO', 336, 'diff', 'tee', 'O3', 'O0', 0.09410990457387303, 0.1106119155883789]
['BO', 31, 'CO', 66, 'bash', 'runcon', 'O2', 'O3', 0.12592714686006268, 2.521975517272949]
['UO', 82, 'CO', 396, 'cmp', 'vdir', 'O0', 'O0', 0.13157185225128065, 0.2147986888885498]
['UO', 15, 'CO', 150, 'elfedit', 'whoami', 'O1', 'O1', 0.055386949924127515, 0.03205704689025879]
['CO', 199, 'BO', 14, 'sha224sum', 'cmp', 'O1', 'O0', 0.05810397553516822, 0.05096578598022461]
['UO', 58, 'BO', 2, 'objdump', 'perl', 'O3', 'O1', 0.015719355617904496, 7.878049612045288]
['CO', 229, 'BO', 39, 'mktemp', 'codeblocks', 'O2', 'O3', 0.18437700089640163, 10.597172498703003]
['UO', 16, 'CO', 259, 'size', 'realpath', 'O1', 'O2', 0.14647984182927876, 1.0550525188446045]
['BO', 62, 'UO', 57, 'bash', 'size', 'O1', 'O3', 0.04741984641587238, 6.121319055557251]
['BO', 1, 'CO', 122, 'ssh', 'uptime', 'O2', 'O1', 0.13996870109546167, 1.4702317714691162]
['BO', 63, 'CO', 57, 'cluster', 'od', 'O0', 'O3', 0.10986460348162475, 0.2128129005432129]
['CO', 334, 'UO', 36, 'pwd', 'addr2line', 'O0', 'O2', 0.13749442710655368, 0.9810881614685059]
['BO', 30, 'CO', 283, 'libvlccore.so.9.0.0', 'mv', 'O2', 'O2', 0.14057519967002885, 5.440331697463989]
['BO', 29, 'CO', 72, 'libvlc.so.12.0.0', 'head', 'O2', 'O3', 0.21121673003802277, 0.4015686511993408]
['CO', 402, 'UO', 9, 'tr', 'strings', 'O0', 'O1', 0.13837062051498528, 1.141491174697876]
['CO', 203, 'UO', 41, 'sort', 'locate', 'O1', 'O2', 0.028832630098452938, 0.25859642028808594]
['BO', 60, 'CO', 370, 'openssl', 'df', 'O0', 'O0', 0.25079460045619406, 9.988720178604126]
['CO', 307, 'UO', 30, 'sort', 'ranlib', 'O2', 'O2', 0.1122213681783244, 1.3853542804718018]
['UO', 41, 'CO', 364, 'locate', 'sha256sum', 'O2', 'O0', 0.10070108349267048, 0.14470815658569336]
['CO', 76, 'BO', 1, 'md5sum', 'ssh', 'O3', 'O2', 0.14377277868543414, 1.404675006866455]
['UO', 80, 'CO', 89, 'objdump', 'pathchk', 'O0', 'O3', 0.1428288431061806, 3.764798641204834]
['CO', 183, 'BO', 51, 'link', 'lua', 'O1', 'O1', 0.1319143512617894, 0.4160478115081787]
['UO', 79, 'CO', 74, 'size', 'unexpand', 'O0', 'O3', 0.15256921633036136, 2.089935541152954]
['CO', 337, 'BO', 22, 'chgrp', 'perl', 'O0', 'O0', 0.103266980702021, 4.308454275131226]
['CO', 214, 'BO', 2, 'mkdir', 'perl', 'O2', 'O1', 0.07547269184178651, 2.5035135746002197]
['UO', 76, 'CO', 289, 'addr2line', 'cat', 'O0', 'O2', 0.15446960667461263, 2.0722155570983887]
['CO', 11, 'BO', 68, 'groups', 'git', 'O3', 'O3', 0.09309021113243765, 6.332473039627075]
['CO', 173, 'BO', 58, 'who', 'svn', 'O1', 'O1', 0.20889657340458978, 0.5218613147735596]
['UO', 45, 'CO', 256, 'strip', 'ls', 'O3', 'O2', 0.10208044382801662, 1.3491790294647217]
['BO', 59, 'CO', 345, 'libgeany.so.0.0.0', 'chown', 'O3', 'O0', 0.16340112050020117, 26.799997091293335]
['CO', 77, 'UO', 79, 'env', 'size', 'O3', 'O0', 0.15360612304974974, 2.1417782306671143]
['BO', 60, 'CO', 177, 'openssl', 'hostid', 'O0', 'O1', 0.27206889802309653, 8.726541757583618]
['BO', 58, 'CO', 24, 'svn', 'tee', 'O1', 'O3', 0.2168330955777461, 0.4783804416656494]
['CO', 107, 'UO', 59, 'unlink', 'locate', 'O1', 'O3', 0.13665534163835413, 0.09914493560791016]
['CO', 93, 'UO', 66, 'nl', 'nm', 'O3', 'O0', 0.15161327628079102, 2.179234504699707]
['UO', 74, 'CO', 370, 'ld', 'df', 'O0', 'O0', 0.1335404963945659, 4.6362340450286865]
['BO', 20, 'CO', 317, 'sort', 'basename', 'O1', 'O0', 0.1280238183848158, 0.11567854881286621]
['UO', 20, 'CO', 237, 'diff', 'nproc', 'O1', 'O2', 0.14490161001788904, 0.10103535652160645]
['BO', 58, 'CO', 200, 'svn', 'fold', 'O1', 'O1', 0.21767171880038694, 0.48572301864624023]
['UO', 49, 'CO', 266, 'c++filt', 'df', 'O3', 'O2', 0.11731207289293843, 0.9451706409454346]
['BO', 28, 'CO', 414, 'ruby', 'mknod', 'O0', 'O0', 0.09964136282127911, 14.385186433792114]
['BO', 40, 'CO', 96, 'lua', 'fold', 'O0', 'O3', 0.1412389019287682, 0.6745655536651611]
['CO', 290, 'UO', 14, 'shuf', 'ar', 'O2', 'O1', 0.1392911432914633, 1.212463617324829]
['CO', 367, 'BO', 52, 'cp', 'svn', 'O0', 'O3', 0.10341308538383043, 0.9367682933807373]
['CO', 68, 'UO', 66, 'yes', 'nm', 'O3', 'O0', 0.15436632855310717, 2.111795663833618]
['UO', 39, 'CO', 350, 'size', 'sha1sum', 'O2', 'O0', 0.13579485371871702, 0.9698643684387207]
['UO', 19, 'CO', 256, 'cmp', 'ls', 'O1', 'O2', 0.11160220994475134, 0.10273218154907227]
['CO', 144, 'UO', 47, 'sync', 'as', 'O1', 'O3', 0.12240810556079174, 1.4391453266143799]
['BO', 28, 'CO', 84, 'ruby', 'vdir', 'O0', 'O3', 0.09876250111285867, 14.420430183410645]
['CO', 0, 'BO', 43, 'sha384sum', 'diff', 'O3', 'O1', 0.12553542009884677, 0.11531496047973633]
['CO', 92, 'BO', 46, 'sha512sum', 'ruby', 'O3', 'O3', 0.10405689397861906, 12.81641149520874]
['BO', 37, 'UO', 31, 'gvmap', 'c++filt', 'O2', 'O2', 0.09539748953974891, 1.3762164115905762]
['CO', 229, 'BO', 61, 'mktemp', 'git', 'O2', 'O1', 0.09204709932324062, 6.421428918838501]
['BO', 17, 'CO', 245, 'codeblocks', 'truncate', 'O2', 'O2', 0.1885615884363503, 10.332086563110352]
['BO', 63, 'CO', 113, 'cluster', 'du', 'O0', 'O1', 0.068435282189929, 0.3454110622406006]
['CO', 52, 'UO', 2, 'sha256sum', 'find', 'O3', 'O1', 0.1566782235430081, 0.3851921558380127]
['BO', 36, 'CO', 187, 'cluster', 'csplit', 'O2', 'O1', 0.10150891632373116, 0.1453840732574463]
['CO', 228, 'UO', 34, 'mkfifo', 'ld', 'O2', 'O2', 0.1439430501930502, 1.746541976928711]
['UO', 7, 'BO', 21, 'ranlib', 'cp', 'O1', 'O1', 0.114340372305202, 1.5250678062438965]
['CO', 413, 'UO', 85, 'rmdir', 'locate', 'O0', 'O0', 0.13771976558337773, 0.2106020450592041]
['CO', 363, 'UO', 32, 'realpath', 'strings', 'O0', 'O2', 0.1316716575656156, 1.05269455909729]
['BO', 52, 'CO', 359, 'svn', 'numfmt', 'O3', 'O0', 0.17920094007050524, 0.5535821914672852]
['UO', 32, 'CO', 248, 'strings', 'sync', 'O2', 'O2', 0.14875045938993015, 0.8525185585021973]
['UO', 64, 'CO', 3, 'diff', 'unlink', 'O3', 'O3', 0.1287267625394598, 0.08024382591247559]
['BO', 47, 'CO', 125, 'libvlc.so.12.0.0', 'mktemp', 'O0', 'O1', 0.2153338829348722, 0.6237947940826416]
['UO', 71, 'CO', 232, 'c++filt', 'tee', 'O0', 'O2', 0.15328074578702044, 2.017798662185669]
['BO', 67, 'CO', 355, 'libSDL2-2.0.so.0.16.0', 'chroot', 'O1', 'O0', 0.20031575925748735, 5.2953832149505615]
['CO', 385, 'UO', 20, 'hostid', 'diff', 'O0', 'O1', 0.13127814340145483, 0.12605738639831543]
['UO', 54, 'BO', 77, 'addr2line', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.08754851434752176, 9.82828950881958]
['BO', 46, 'CO', 19, 'ruby', 'dd', 'O3', 'O3', 0.10176042515928374, 12.874743700027466]
['CO', 244, 'BO', 57, 'pinky', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.1545820544505122, 4.414175033569336]
['CO', 215, 'UO', 35, 'fmt', 'gprof', 'O2', 'O2', 0.14194308806196332, 0.9962062835693359]
['CO', 291, 'BO', 52, 'csplit', 'svn', 'O2', 'O3', 0.19810600274935086, 0.4949183464050293]
['CO', 412, 'UO', 78, 'tac', 'elfedit', 'O0', 'O0', 0.05597667638483961, 0.05400705337524414]
