['UO', 30, 'CO', 406, 'ranlib', 'rm', 'O2', 'O0', 0.1179730799683294, 2.0272254943847656]
['UO', 19, 'CO', 106, 'cmp', 'stat', 'O1', 'O1', 0.08706225680933855, 0.0777742862701416]
['CO', 373, 'UO', 80, 'cksum', 'objdump', 'O0', 'O0', 0.14033976161248174, 4.3128063678741455]
['CO', 202, 'BO', 10, 'sleep', 'openssl', 'O1', 'O3', 0.2786913473956092, 7.654053688049316]
['UO', 10, 'CO', 375, 'objcopy', 'logname', 'O1', 'O0', 0.14132809086937526, 1.3427157402038574]
['UO', 76, 'CO', 370, 'addr2line', 'df', 'O0', 'O0', 0.12973153243288316, 2.722478151321411]
['BO', 82, 'CO', 315, 'cp', 'unlink', 'O3', 'O0', 0.10477255779269201, 0.09333157539367676]
['UO', 63, 'CO', 310, 'cmp', 'mknod', 'O3', 'O2', 0.06006240249609984, 0.030678510665893555]
['BO', 41, 'CO', 13, 'libSDL2-2.0.so.0.16.0', 'printenv', 'O2', 'O3', 0.21027160493827157, 5.0987303256988525]
['CO', 394, 'UO', 21, 'shuf', 'sdiff', 'O0', 'O1', 0.08358466178371393, 0.09964179992675781]
['UO', 15, 'CO', 50, 'elfedit', 'dircolors', 'O1', 'O3', 0.048192771084337394, 0.03455758094787598]
['CO', 245, 'BO', 81, 'truncate', 'sort', 'O2', 'O3', 0.1212349397590361, 0.08294463157653809]
['CO', 174, 'UO', 81, 'b2sum', 'diff3', 'O1', 'O0', 0.07199999999999995, 0.07808661460876465]
['CO', 59, 'UO', 24, 'tsort', 'diff', 'O3', 'O2', 0.12238601302708263, 0.09889483451843262]
['BO', 56, 'CO', 129, 'libvlc.so.12.0.0', 'chgrp', 'O3', 'O1', 0.17224223709040998, 0.5125699043273926]
['BO', 21, 'CO', 189, 'cp', '[', 'O1', 'O1', 0.10836569008118602, 0.10914492607116699]
['BO', 69, 'CO', 241, 'cmp', 'chown', 'O3', 'O2', 0.06902002107481564, 0.05397534370422363]
['BO', 65, 'UO', 79, 'gvmap', 'size', 'O0', 'O0', 0.10202089231670408, 3.3807265758514404]
['CO', 408, 'UO', 52, 'fold', 'ld', 'O0', 'O3', 0.12969711452297028, 1.7412772178649902]
['CO', 398, 'UO', 48, 'timeout', 'ranlib', 'O0', 'O3', 0.12609323257196237, 1.0445561408996582]
['UO', 63, 'CO', 117, 'cmp', 'printenv', 'O3', 'O1', 0.05512422360248448, 0.03127551078796387]
['CO', 325, 'BO', 83, 'printenv', 'lua', 'O0', 'O2', 0.12514962096023408, 0.4068284034729004]
['UO', 17, 'CO', 125, 'objdump', 'mktemp', 'O1', 'O1', 0.1343904196928536, 2.09417986869812]
['BO', 61, 'CO', 14, 'git', 'stty', 'O1', 'O3', 0.09186638326085683, 6.530826568603516]
['UO', 28, 'CO', 186, 'readelf', 'shuf', 'O2', 'O1', 0.08868591632292278, 0.32450079917907715]
['UO', 6, 'BO', 28, 'as', 'ruby', 'O1', 'O0', 0.055552867752001744, 26.750105619430542]
['CO', 370, 'BO', 80, 'df', 'ssh', 'O0', 'O3', 0.11662015319755359, 1.8927452564239502]
['BO', 17, 'CO', 370, 'codeblocks', 'df', 'O2', 'O0', 0.17677252958430256, 12.183693408966064]
['CO', 378, 'BO', 25, 'runcon', 'dot', 'O0', 'O3', 0.22314049586776863, 0.02620077133178711]
['UO', 16, 'CO', 368, 'size', 'cut', 'O1', 'O0', 0.140263046245227, 1.1723456382751465]
['CO', 189, 'UO', 68, '[', 'readelf', 'O1', 'O0', 0.12069901226527735, 0.5637500286102295]
['BO', 15, 'UO', 7, 'diff', 'ranlib', 'O0', 'O1', 0.09992281243421519, 1.857886791229248]
['UO', 27, 'CO', 121, 'strip', 'stdbuf', 'O2', 'O1', 0.13474860335195538, 1.230473279953003]
['UO', 58, 'CO', 104, 'objdump', 'sha384sum', 'O3', 'O1', 0.12292953194436429, 1.6338117122650146]
['CO', 132, 'UO', 8, 'factor', 'c++filt', 'O1', 'O1', 0.13941816944538954, 1.130488634109497]
['BO', 69, 'CO', 69, 'cmp', 'who', 'O3', 'O3', 0.03433208489388262, 0.038983821868896484]
['UO', 78, 'CO', 107, 'elfedit', 'unlink', 'O0', 'O1', 0.07116654438738079, 0.03592085838317871]
['CO', 163, 'UO', 40, 'tsort', 'objdump', 'O1', 'O2', 0.1333333333333333, 1.8554742336273193]
['CO', 391, 'BO', 9, 'link', 'git', 'O0', 'O0', 0.0925700842971966, 6.654745101928711]
['CO', 204, 'UO', 62, 'tac', 'diff3', 'O1', 'O3', 0.03774647887323945, 0.050229787826538086]
['CO', 401, 'BO', 75, 'pathchk', 'gvmap', 'O0', 'O1', 0.11636971046770606, 0.14835190773010254]
['BO', 80, 'CO', 93, 'ssh', 'nl', 'O3', 'O3', 0.13916450736269992, 1.3333642482757568]
['BO', 25, 'CO', 87, 'dot', 'id', 'O3', 'O3', 0.16632860040567954, 0.01777052879333496]
['CO', 281, 'UO', 59, 'hostid', 'locate', 'O2', 'O3', 0.1511354737666406, 0.0946955680847168]
['CO', 391, 'BO', 53, 'link', 'bash', 'O0', 'O0', 0.12496877564857434, 3.8378043174743652]
['UO', 66, 'BO', 63, 'nm', 'cluster', 'O0', 'O0', 0.10291055256913162, 3.434105396270752]
['BO', 80, 'CO', 346, 'ssh', 'tail', 'O3', 'O0', 0.11919022520364164, 1.6722795963287354]
['BO', 52, 'CO', 255, 'svn', 'numfmt', 'O3', 'O2', 0.20379589296826384, 0.47807741165161133]
['UO', 35, 'CO', 130, 'gprof', 'kill', 'O2', 'O1', 0.13968120805369133, 1.0113437175750732]
['BO', 19, 'CO', 191, 'libvlccore.so.9.0.0', 'id', 'O1', 'O1', 0.1610579808731143, 4.904014348983765]
['BO', 27, 'UO', 20, 'perl', 'diff', 'O3', 'O1', 0.07080985619376001, 3.0808026790618896]
['CO', 373, 'BO', 53, 'cksum', 'bash', 'O0', 'O0', 0.12406550373798508, 3.8501198291778564]
['BO', 22, 'CO', 343, 'perl', 'date', 'O0', 'O0', 0.10426193524785077, 4.298236846923828]
['CO', 55, 'UO', 26, 'cp', 'nm', 'O3', 'O2', 0.11216939546599491, 1.3506801128387451]
['CO', 359, 'UO', 12, 'numfmt', 'gprof', 'O0', 'O1', 0.13195040162208538, 1.368044137954712]
