['CV', 273, 'BV', 46, 'stty', 'cluster', 'V1', 'V3', 0.13508612873980053, 0.10851812362670898]
['BV', 22, 'CV', 57, 'cmp', 'who', 'V3', 'V2', 0.043507362784471204, 0.03440546989440918]
['CV', 36, 'UV', 68, 'chroot', 'diff', 'V2', 'V0', 0.11378901619913073, 0.06889009475708008]
['BV', 59, 'CV', 312, 'make', 'printf', 'V1', 'V1', 0.13482233502538077, 0.192763090133667]
['BV', 4, 'CV', 296, 'geany', 'sum', 'V3', 'V1', 0.18213016514528602, 26.391274213790894]
['BV', 17, 'CV', 253, 'codeblocks', 'fold', 'V2', 'V0', 0.18770994401492935, 9.435627937316895]
['CV', 239, 'UV', 69, 'env', 'sdiff', 'V0', 'V0', 0.12490869247626002, 0.0283353328704834]
['BV', 28, 'CV', 283, 'openssl', 'kill', 'V1', 'V1', 0.10398037685360684, 5.968933582305908]
['CV', 98, 'UV', 61, 'printenv', 'addr2line', 'V3', 'V1', 0.14460719041278292, 0.8738610744476318]
['CV', 152, 'BV', 22, 'env', 'cmp', 'V3', 'V3', 0.05626780626780625, 0.02982926368713379]
['CV', 157, 'UV', 79, 'vdir', 'strings', 'V3', 'V0', 0.10535757971132675, 1.1184415817260742]
['CV', 35, 'BV', 45, 'sum', 'svn', 'V2', 'V3', 0.21717312517424037, 0.571218729019165]
['CV', 41, 'UV', 34, 'nice', 'elfedit', 'V2', 'V3', 0.08346581875993642, 0.024533987045288086]
['CV', 332, 'BV', 72, '[', 'perl', 'V1', 'V1', 0.09248265741728923, 2.0485310554504395]
['CV', 271, 'UV', 87, 'ptx', 'objdump', 'V1', 'V0', 0.12389046270066095, 2.4094126224517822]
['CV', 8, 'BV', 61, 'du', 'cmp', 'V2', 'V0', 0.13841524573721165, 0.04700946807861328]
['UV', 9, 'CV', 222, 'readelf', 'df', 'V2', 'V0', 0.08551401869158881, 0.1279757022857666]
['CV', 62, 'UV', 58, 'unexpand', 'objcopy', 'V2', 'V1', 0.1362875087229588, 1.1521642208099365]
['UV', 76, 'BV', 49, 'as', 'make', 'V0', 'V3', 0.07525842913728142, 2.4371471405029297]
['CV', 342, 'UV', 18, 'sleep', 'ar', 'V1', 'V2', 0.1499572284003422, 0.9230830669403076]
['BV', 46, 'UV', 0, 'cluster', 'locate', 'V3', 'V2', 0.0816977428851815, 0.17845511436462402]
['CV', 20, 'UV', 32, 'tee', 'addr2line', 'V2', 'V3', 0.14902925895542796, 0.8650720119476318]
['BV', 62, 'CV', 238, 'diff', 'md5sum', 'V0', 'V0', 0.10848240046162727, 0.04195284843444824]
['BV', 61, 'CV', 114, 'cmp', 'expr', 'V0', 'V3', 0.09395424836601307, 0.021356821060180664]
['UV', 40, 'CV', 249, 'diff3', 'tr', 'V3', 'V0', 0.0816070307595731, 0.03204655647277832]
['UV', 33, 'CV', 229, 'ar', 'nohup', 'V3', 'V0', 0.15003900494062583, 0.9142789840698242]
['BV', 32, 'CV', 218, 'perl', 'true', 'V0', 'V0', 0.11229199305584958, 1.7698211669921875]
['BV', 17, 'CV', 344, 'codeblocks', 'tac', 'V2', 'V1', 0.18150506210207706, 9.937549591064453]
['BV', 37, 'CV', 220, 'geany', 'cut', 'V1', 'V0', 0.18502763947151757, 18.252569913864136]
['UV', 63, 'CV', 9, 'elfedit', 'users', 'V1', 'V2', 0.06204081632653058, 0.023512840270996094]
['BV', 15, 'UV', 85, 'libvlccore.so', 'elfedit', 'V3', 'V0', 0.1617479055597868, 3.243414878845215]
['UV', 43, 'CV', 245, 'sdiff', '[', 'V3', 'V0', 0.10628342245989308, 0.031581878662109375]
['UV', 25, 'CV', 26, 'as', 'date', 'V3', 'V2', 0.1283679423373949, 1.6358842849731445]
['BV', 48, 'CV', 77, 'gvmap', 'nl', 'V3', 'V2', 0.09073724007561434, 0.1529684066772461]
['UV', 55, 'CV', 117, 'ranlib', 'pinky', 'V1', 'V3', 0.13762750904902932, 0.9790217876434326]
['UV', 69, 'CV', 183, 'sdiff', 'users', 'V0', 'V0', 0.10859106529209628, 0.030444860458374023]
['UV', 72, 'CV', 53, 'find', 'tty', 'V0', 'V2', 0.15606012152222581, 0.10688090324401855]
['CV', 130, 'UV', 85, 'chmod', 'elfedit', 'V3', 'V0', 0.05938375350140057, 0.03937530517578125]
['CV', 321, 'BV', 2, 'hostid', 'cmp', 'V1', 'V1', 0.10621062106210621, 0.02046966552734375]
['CV', 125, 'BV', 13, 'split', 'cp', 'V3', 'V2', 0.06405693950177938, 0.08678126335144043]
['CV', 21, 'UV', 60, 'chgrp', 'gprof', 'V2', 'V1', 0.12968551461245237, 1.020099401473999]
['BV', 37, 'CV', 104, 'geany', 'mkfifo', 'V1', 'V3', 0.18425529418666042, 18.620880365371704]
['CV', 218, 'BV', 62, 'true', 'diff', 'V0', 'V0', 0.14874436574372185, 0.03344297409057617]
['CV', 137, 'UV', 58, 'cksum', 'objcopy', 'V3', 'V1', 0.1337165016273112, 1.2057032585144043]
['CV', 2, 'UV', 61, 'unlink', 'addr2line', 'V2', 'V1', 0.14767441860465114, 0.839531660079956]
['CV', 325, 'BV', 77, 'md5sum', 'perl', 'V1', 'V2', 0.09156351791530948, 2.153825521469116]
['CV', 288, 'BV', 13, 'expr', 'cp', 'V1', 'V2', 0.06812816188870152, 0.08272957801818848]
['CV', 77, 'BV', 3, 'nl', 'diff', 'V2', 'V1', 0.05829457364341084, 0.09421253204345703]
['UV', 15, 'CV', 91, 'ld', 'basename', 'V2', 'V3', 0.1342837994272832, 1.4992730617523193]
['CV', 84, 'UV', 41, 'rmdir', 'cmp', 'V2', 'V3', 0.06415929203539827, 0.028392791748046875]
['CV', 233, 'BV', 38, 'head', 'ruby', 'V0', 'V2', 0.21815286624203822, 0.007084846496582031]
['CV', 273, 'BV', 57, 'stty', 'svn', 'V1', 'V2', 0.21355685131195334, 0.35894203186035156]
['BV', 6, 'CV', 171, 'libvlc.so', 'rmdir', 'V0', 'V3', 0.17744533947065588, 0.23376154899597168]
['BV', 66, 'CV', 216, 'lua', 'dircolors', 'V1', 'V0', 0.13592233009708732, 0.2835502624511719]
['CV', 229, 'BV', 72, 'nohup', 'perl', 'V0', 'V1', 0.09278695099939838, 2.097480058670044]
['BV', 3, 'CV', 272, 'diff', 'printenv', 'V1', 'V1', 0.14431164231961047, 0.053792476654052734]
['CV', 123, 'BV', 41, 'chroot', 'libvlccore.so', 'V3', 'V1', 0.16059479553903344, 2.605952501296997]
['CV', 255, 'BV', 46, 'sleep', 'cluster', 'V0', 'V3', 0.15239616613418527, 0.09800529479980469]
['CV', 253, 'UV', 19, 'fold', 'elfedit', 'V0', 'V2', 0.08018433179723505, 0.020466089248657227]
['CV', 310, 'UV', 23, 'tsort', 'strip', 'V1', 'V3', 0.14378238341968919, 1.0841598510742188]
['CV', 291, 'UV', 41, 'pinky', 'cmp', 'V1', 'V3', 0.06661619984859957, 0.030469179153442383]
['CV', 117, 'UV', 32, 'pinky', 'addr2line', 'V3', 'V3', 0.1416118128446895, 0.9221339225769043]
['CV', 150, 'BV', 41, 'mv', 'libvlccore.so', 'V3', 'V1', 0.13651073845248596, 3.309546947479248]
['CV', 270, 'UV', 7, 'users', 'nm', 'V1', 'V2', 0.15039530958514702, 0.9022324085235596]
['CV', 332, 'BV', 43, '[', 'lua', 'V1', 'V0', 0.14046434494195692, 0.26336026191711426]
