['UV', 63, 'CV', 300, 'elfedit', 'whoami', 'V1', 'V1', 0.09404990403071012, 0.017650365829467773]
['BV', 69, 'CV', 0, 'gvmap', 'touch', 'V0', 'V2', 0.11707612981498328, 0.10856986045837402]
['CV', 232, 'BV', 66, 'readlink', 'lua', 'V0', 'V1', 0.14014621247472392, 0.5153708457946777]
['UV', 19, 'CV', 210, 'elfedit', 'chroot', 'V2', 'V0', 0.09510086455331412, 0.039350271224975586]
['BV', 72, 'UV', 66, 'perl', 'diff3', 'V1', 'V0', 0.08826426741971494, 4.908630132675171]
['BV', 72, 'UV', 22, 'perl', 'nm', 'V1', 'V3', 0.029834006280843428, 6.5182836055755615]
['CV', 191, 'BV', 72, 'mkfifo', 'perl', 'V0', 'V1', 0.09359407963031174, 2.048346996307373]
['UV', 49, 'CV', 122, 'xargs', 'sum', 'V1', 'V3', 0.02361199744735165, 0.03368353843688965]
['UV', 17, 'CV', 248, 'addr2line', 'pathchk', 'V2', 'V0', 0.15255932357487045, 0.8075168132781982]
['UV', 46, 'CV', 267, 'diff', 'fmt', 'V1', 'V1', 0.125, 0.07870054244995117]
['UV', 57, 'CV', 149, 'strings', 'unexpand', 'V1', 'V3', 0.14023372287145242, 0.8567440509796143]
['BV', 31, 'CV', 74, 'codeblocks', 'pathchk', 'V0', 'V2', 0.18784576233680017, 8.791455507278442]
['UV', 25, 'CV', 343, 'as', 'sort', 'V3', 'V1', 0.12217118530136684, 1.7006967067718506]
['CV', 267, 'UV', 87, 'fmt', 'objdump', 'V1', 'V0', 0.13766043758728475, 1.2851486206054688]
['CV', 302, 'UV', 25, 'nice', 'as', 'V1', 'V3', 0.13482293915174148, 1.5497336387634277]
['BV', 9, 'CV', 148, 'dot', 'ginstall', 'V2', 'V3', 0.19801980198019797, 0.07151436805725098]
['CV', 27, 'BV', 72, 'expr', 'perl', 'V2', 'V1', 0.08669302566761727, 2.2803502082824707]
['CV', 226, 'BV', 65, 'logname', 'ssh', 'V0', 'V1', 0.11999460698395581, 3.317354679107666]
['UV', 36, 'CV', 313, 'objdump', 'logname', 'V3', 'V1', 0.14079188056883218, 1.5672848224639893]
['CV', 88, 'UV', 25, 'stat', 'as', 'V3', 'V3', 0.11992005329780142, 1.860506534576416]
['BV', 34, 'UV', 59, 'svn', 'ld', 'V0', 'V1', 0.07959514567876969, 2.9257969856262207]
['CV', 19, 'BV', 72, 'pr', 'perl', 'V2', 'V1', 0.08945634266886326, 2.1728944778442383]
['BV', 14, 'UV', 81, 'openssl', 'ld', 'V3', 'V0', 0.10751403655477243, 13.454006910324097]
['UV', 31, 'CV', 124, 'gprof', 'seq', 'V3', 'V3', 0.13903654485049832, 0.96065354347229]
['UV', 40, 'CV', 5, 'diff3', 'mkdir', 'V3', 'V2', 0.045154185022026394, 0.04262042045593262]
['CV', 160, 'BV', 76, 'shred', 'diff', 'V3', 'V2', 0.07562776957163964, 0.12158799171447754]
['UV', 62, 'CV', 65, 'ar', 'env', 'V1', 'V2', 0.14700406228842244, 0.887728214263916]
['UV', 70, 'CV', 61, 'locate', 'ginstall', 'V0', 'V2', 0.04115099009900991, 0.12559866905212402]
['UV', 25, 'CV', 46, 'as', 'cut', 'V3', 'V2', 0.12966894256698602, 1.6079447269439697]
['UV', 61, 'BV', 55, 'addr2line', 'codeblocks', 'V1', 'V3', 0.11864022429290011, 17.815423250198364]
['UV', 11, 'CV', 45, 'ranlib', 'cp', 'V2', 'V2', 0.11867149572320257, 1.251145601272583]
['BV', 38, 'UV', 4, 'ruby', 'cmp', 'V2', 'V2', 0.2517647058823529, 0.012490510940551758]
