['UV', 78, 'CV', 211, 'c++filt', 'seq', 'V0', 'V0', 0.14933511910456332, 1.275573968887329]
['BV', 12, 'CV', 251, 'sort', 'nl', 'V2', 'V0', 0.05892857142857144, 0.16656064987182617]
['UV', 8, 'CV', 325, 'strip', 'md5sum', 'V2', 'V1', 0.14030497832261923, 2.4775447845458984]
['CV', 307, 'BV', 68, 'cut', 'dot', 'V1', 'V0', 0.15089163237311387, 0.027402639389038086]
['UV', 17, 'CV', 76, 'addr2line', 'comm', 'V2', 'V2', 0.14639800285306703, 0.876903772354126]
['UV', 16, 'CV', 227, 'gprof', 'tty', 'V2', 'V0', 0.1489289645245957, 0.7770297527313232]
['UV', 49, 'CV', 327, 'xargs', 'link', 'V1', 'V1', 0.0870322019147084, 0.019074201583862305]
['CV', 204, 'UV', 63, 'pinky', 'elfedit', 'V0', 'V1', 0.055464926590538366, 0.023473262786865234]
['CV', 54, 'UV', 15, 'false', 'ld', 'V2', 'V2', 0.13765082491997038, 1.3000073432922363]
['CV', 221, 'UV', 85, 'od', 'elfedit', 'V0', 'V0', 0.04915514592933945, 0.024956464767456055]
['CV', 15, 'UV', 4, 'uptime', 'cmp', 'V2', 'V2', 0.059116809116809166, 0.028509140014648438]
['CV', 252, 'UV', 26, 'rm', 'ranlib', 'V0', 'V3', 0.14119531315856026, 0.9034726619720459]
['BV', 53, 'CV', 119, 'ssh', 'paste', 'V2', 'V3', 0.11876618633375391, 3.265491008758545]
['CV', 57, 'BV', 53, 'who', 'ssh', 'V2', 'V2', 0.11735674064259682, 3.520836591720581]
['BV', 51, 'CV', 298, 'cp', 'seq', 'V0', 'V1', 0.11002604166666663, 0.0325930118560791]
['BV', 1, 'UV', 84, 'libSDL2-2.0.so', 'ar', 'V3', 'V0', 0.0843735480873471, 10.050254821777344]
['BV', 70, 'CV', 312, 'ssh', 'printf', 'V0', 'V1', 0.11739896982058284, 3.1418704986572266]
['BV', 30, 'CV', 272, 'bash', 'printenv', 'V0', 'V1', 0.13292597415606533, 1.833275318145752]
['BV', 3, 'CV', 152, 'diff', 'env', 'V1', 'V3', 0.10859375000000004, 0.06626105308532715]
['UV', 78, 'BV', 9, 'c++filt', 'dot', 'V0', 'V2', 0.15619214654584423, 0.6983842849731445]
['UV', 58, 'BV', 83, 'objcopy', 'git', 'V1', 'V2', 0.04535374043417151, 13.155165195465088]
['CV', 104, 'BV', 26, 'mkfifo', 'geany', 'V3', 'V2', 0.18281504807962667, 19.94585156440735]
['CV', 278, 'BV', 71, 'mkfifo', 'ruby', 'V1', 'V1', 0.2275574112734864, 0.005591154098510742]
['UV', 41, 'CV', 88, 'cmp', 'stat', 'V3', 'V3', 0.07559288537549402, 0.05575919151306152]
['CV', 109, 'UV', 35, 'kill', 'size', 'V3', 'V3', 0.14494836102379882, 0.9016280174255371]
['CV', 90, 'BV', 42, 'test', 'libvlc.so', 'V3', 'V1', 0.16435233160621765, 0.2454690933227539]
['BV', 25, 'CV', 293, 'git', 'paste', 'V3', 'V1', 0.08803485296405789, 8.246187210083008]
['UV', 80, 'CV', 75, 'objcopy', 'tr', 'V0', 'V2', 0.13282650792512374, 1.088207721710205]
['CV', 7, 'UV', 82, 'dir', 'gprof', 'V2', 'V0', 0.11421359835936262, 1.1449344158172607]
['BV', 76, 'CV', 61, 'diff', 'ginstall', 'V2', 'V2', 0.04375804375804371, 0.16526007652282715]
['CV', 337, 'BV', 16, 'comm', 'libvlc.so', 'V1', 'V3', 0.19592233009708737, 0.3046128749847412]
['CV', 159, 'UV', 80, 'id', 'objcopy', 'V3', 'V0', 0.13067655236329934, 1.134460210800171]
['UV', 23, 'CV', 164, 'strip', 'nl', 'V3', 'V3', 0.13724466974802452, 1.10628342628479]
['CV', 150, 'UV', 48, 'mv', 'locate', 'V3', 'V1', 0.044587505960896556, 0.16697072982788086]
['UV', 21, 'BV', 76, 'objdump', 'diff', 'V2', 'V2', 0.11012665754890882, 1.8203024864196777]
['UV', 36, 'CV', 83, 'objdump', 'tac', 'V3', 'V2', 0.1253138425486805, 1.833616018295288]
['BV', 17, 'UV', 10, 'codeblocks', 'as', 'V2', 'V2', 0.09108293262536438, 20.383310079574585]
['CV', 251, 'UV', 87, 'nl', 'objdump', 'V0', 'V0', 0.12597377921337638, 1.4490718841552734]
['BV', 62, 'CV', 236, 'diff', 'unexpand', 'V0', 'V0', 0.12971985383678442, 0.037261009216308594]
['UV', 19, 'CV', 208, 'elfedit', 'echo', 'V2', 'V0', 0.09892262487757097, 0.01827383041381836]
['BV', 55, 'CV', 281, 'codeblocks', 'tee', 'V3', 'V1', 0.18963307790883177, 10.149813413619995]
['CV', 341, 'BV', 12, 'uniq', 'sort', 'V1', 'V2', 0.1058495821727019, 0.055181264877319336]
['CV', 273, 'BV', 39, 'stty', 'svn', 'V1', 'V1', 0.21363470652570182, 0.36605048179626465]
['UV', 44, 'BV', 36, 'diff3', 'libvlc.so', 'V1', 'V2', 0.16651951262581677, 0.3738069534301758]
['CV', 333, 'BV', 44, 'id', 'make', 'V1', 'V0', 0.13448735019973368, 0.15398907661437988]
['CV', 97, 'BV', 35, 'ptx', 'libvlccore.so', 'V3', 'V2', 0.15650387524512088, 4.410589694976807]
['BV', 17, 'CV', 325, 'codeblocks', 'md5sum', 'V2', 'V1', 0.187052656786313, 9.723550081253052]
['BV', 16, 'CV', 165, 'libvlc.so', 'rm', 'V3', 'V3', 0.15362659503022158, 0.3928947448730469]
['BV', 51, 'CV', 180, 'cp', 'fmt', 'V0', 'V0', 0.10556994818652854, 0.0333864688873291]
['CV', 327, 'UV', 68, 'link', 'diff', 'V1', 'V0', 0.1432967032967033, 0.05518317222595215]
['BV', 11, 'UV', 18, 'bash', 'ar', 'V1', 'V2', 0.0343891402714932, 6.078131914138794]
['BV', 83, 'CV', 63, 'git', 'mv', 'V2', 'V2', 0.08822905620360555, 7.135776042938232]
['CV', 130, 'BV', 59, 'chmod', 'make', 'V3', 'V1', 0.10446137105549513, 0.22828078269958496]
['CV', 145, 'UV', 40, 'readlink', 'diff3', 'V3', 'V3', 0.047359825802939626, 0.041600704193115234]
['UV', 22, 'CV', 27, 'nm', 'expr', 'V3', 'V2', 0.13099201065246335, 1.0108635425567627]
