['CV', 266, 'BV', 32, 'mkdir', 'perl', 'V1', 'V0', 0.10852810588925188, 3.6637251377105713]
['CV', 224, 'BV', 53, 'cksum', 'ssh', 'V0', 'V2', 0.12147025286739555, 5.607269048690796]
['CV', 57, 'UV', 4, 'who', 'cmp', 'V2', 'V2', 0.0433911882510013, 0.036383628845214844]
['BV', 64, 'UV', 1, 'openssl', 'xargs', 'V2', 'V2', 0.26880603542532255, 5.002439022064209]
['CV', 114, 'BV', 27, 'expr', 'libSDL2-2.0.so', 'V3', 'V1', 0.18865464029558798, 3.7250354290008545]
['UV', 21, 'CV', 20, 'objdump', 'tee', 'V2', 'V2', 0.13915343915343914, 1.381056308746338]
['CV', 186, 'UV', 16, 'stty', 'gprof', 'V0', 'V2', 0.1428809186985105, 1.0106720924377441]
['CV', 13, 'UV', 65, 'join', 'objdump', 'V2', 'V1', 0.1324753974261923, 1.5012342929840088]
['CV', 207, 'BV', 12, 'sync', 'sort', 'V0', 'V2', 0.14359238291302112, 0.0455784797668457]
['BV', 46, 'CV', 232, 'cluster', 'readlink', 'V3', 'V0', 0.15036403925292818, 0.10175442695617676]
['CV', 266, 'BV', 64, 'mkdir', 'openssl', 'V1', 'V2', 0.2858766695083831, 4.686655521392822]
['CV', 298, 'BV', 81, 'seq', 'dot', 'V1', 'V1', 0.14241960183767222, 0.011202812194824219]
['CV', 46, 'UV', 27, 'cut', 'c++filt', 'V2', 'V3', 0.14456076467910783, 0.9164128303527832]
['BV', 63, 'CV', 158, 'ruby', '[', 'V0', 'V3', 0.11504213231339266, 9.397197246551514]
['BV', 14, 'UV', 44, 'openssl', 'diff3', 'V3', 'V1', 0.2789867998572957, 5.729324817657471]
['CV', 74, 'UV', 30, 'pathchk', 'ld', 'V2', 'V3', 0.14512048192771088, 1.7832307815551758]
['CV', 278, 'BV', 0, 'mkfifo', 'bash', 'V1', 'V2', 0.13004585093949472, 2.2927842140197754]
['UV', 35, 'CV', 336, 'size', 'tr', 'V3', 'V1', 0.14804747666938478, 0.8926522731781006]
['BV', 75, 'UV', 27, 'cmp', 'c++filt', 'V2', 'V3', 0.14173299565846598, 0.9475092887878418]
['UV', 11, 'BV', 42, 'ranlib', 'libvlc.so', 'V2', 'V1', 0.07618613138686126, 1.9449689388275146]
['BV', 16, 'CV', 268, 'libvlc.so', 'dir', 'V3', 'V1', 0.14397080776248128, 0.46335744857788086]
['CV', 106, 'BV', 41, 'pr', 'libvlccore.so', 'V3', 'V1', 0.15390625000000002, 2.8331830501556396]
['UV', 20, 'CV', 59, 'size', 'head', 'V2', 'V2', 0.14522123893805317, 0.9065225124359131]
['UV', 33, 'CV', 123, 'ar', 'chroot', 'V3', 'V3', 0.14212343184305798, 1.017850637435913]
['BV', 67, 'CV', 40, 'cluster', 'ls', 'V0', 'V2', 0.05680414917263521, 0.1914045810699463]
['BV', 19, 'CV', 60, 'cp', 'hostid', 'V3', 'V2', 0.13987391646966119, 0.0701150894165039]
['BV', 42, 'CV', 316, 'libvlc.so', 'nohup', 'V1', 'V1', 0.18117854001759015, 0.2348945140838623]
['CV', 115, 'BV', 42, 'chown', 'libvlc.so', 'V3', 'V1', 0.13820985332831892, 0.31070947647094727]
['CV', 170, 'UV', 13, 'tac', 'strings', 'V3', 'V2', 0.14043114826220848, 0.9688193798065186]
['BV', 46, 'UV', 42, 'cluster', 'diff', 'V3', 'V3', 0.04579084183163362, 0.2519824504852295]
['BV', 32, 'CV', 186, 'perl', 'stty', 'V0', 'V0', 0.10942478618145235, 1.9071979522705078]
['UV', 31, 'BV', 23, 'gprof', 'diff', 'V3', 'V3', 0.10766504209127159, 1.36482834815979]
['CV', 109, 'UV', 27, 'kill', 'c++filt', 'V3', 'V3', 0.1452422224249612, 0.9093074798583984]
['UV', 52, 'CV', 97, 'strip', 'ptx', 'V1', 'V3', 0.12307178631051752, 1.3545551300048828]
['CV', 162, 'BV', 79, 'tr', 'bash', 'V3', 'V3', 0.12402771284056613, 3.567196846008301]
['CV', 87, 'BV', 25, 'touch', 'git', 'V3', 'V3', 0.08510376444164114, 9.549030542373657]
['UV', 18, 'CV', 94, 'ar', 'dir', 'V2', 'V3', 0.1101985963864417, 1.402216911315918]
['UV', 9, 'CV', 261, 'readelf', 'touch', 'V2', 'V1', 0.09225621414913954, 0.11629509925842285]
['BV', 49, 'UV', 64, 'make', 'size', 'V3', 'V1', 0.06586594343277796, 1.7794036865234375]
['UV', 70, 'BV', 22, 'locate', 'cmp', 'V0', 'V3', 0.08197424892703864, 0.07190752029418945]
['CV', 24, 'BV', 46, 'factor', 'cluster', 'V2', 'V3', 0.1394216133942161, 0.10991406440734863]
['UV', 9, 'CV', 173, 'readelf', 'ln', 'V2', 'V3', 0.056078509913879415, 0.17722511291503906]
['BV', 29, 'CV', 38, 'perl', 'split', 'V3', 'V2', 0.10011551790527529, 2.5382940769195557]
['UV', 82, 'CV', 101, 'gprof', 'dirname', 'V0', 'V3', 0.1406478219778331, 1.0014891624450684]
['UV', 29, 'CV', 236, 'objcopy', 'unexpand', 'V3', 'V0', 0.1446896235779186, 1.10894775390625]
['CV', 73, 'UV', 8, 'shred', 'strip', 'V2', 'V2', 0.12893195458818418, 1.2991054058074951]
['CV', 16, 'BV', 67, 'dd', 'cluster', 'V2', 'V0', 0.10143652887716215, 0.1273975372314453]
['CV', 105, 'BV', 22, 'pwd', 'cmp', 'V3', 'V3', 0.04644808743169404, 0.033269643783569336]
['CV', 29, 'BV', 51, 'tail', 'cp', 'V2', 'V0', 0.037387600567912904, 0.056058406829833984]
['UV', 34, 'CV', 229, 'elfedit', 'nohup', 'V3', 'V0', 0.09144792548687553, 0.025011777877807617]
['CV', 178, 'UV', 20, 'basename', 'size', 'V0', 'V2', 0.1531818181818182, 0.8896510601043701]
['CV', 302, 'UV', 47, 'nice', 'sdiff', 'V1', 'V1', 0.11647727272727271, 0.030562400817871094]
['CV', 230, 'UV', 51, 'yes', 'nm', 'V0', 'V1', 0.15117003292107833, 0.8985564708709717]
['CV', 44, 'UV', 21, 'true', 'objdump', 'V2', 'V2', 0.14186805139471403, 1.398961067199707]
['BV', 76, 'CV', 303, 'diff', 'dircolors', 'V2', 'V1', 0.13482733284349746, 0.08294534683227539]
['CV', 239, 'BV', 55, 'env', 'codeblocks', 'V0', 'V3', 0.19036011951564713, 10.661190748214722]
['CV', 210, 'BV', 75, 'chroot', 'cmp', 'V0', 'V2', 0.11111111111111116, 0.023180007934570312]
['CV', 30, 'BV', 40, 'pinky', 'lua', 'V2', 'V2', 0.12788230301315606, 0.3668375015258789]
['BV', 81, 'CV', 209, 'dot', 'sum', 'V1', 'V0', 0.1587078651685393, 0.01307058334350586]
['UV', 81, 'CV', 85, 'ld', 'mknod', 'V0', 'V2', 0.1357816054598635, 1.3750169277191162]
['BV', 83, 'UV', 78, 'git', 'c++filt', 'V2', 'V0', 0.05501161632924001, 12.161136865615845]
['UV', 75, 'CV', 240, 'readelf', 'link', 'V0', 'V0', 0.11646837820914213, 0.0719611644744873]
['CV', 163, 'BV', 39, 'comm', 'svn', 'V3', 'V1', 0.20478957562951228, 0.4008026123046875]
['UV', 37, 'BV', 7, 'locate', 'libSDL2-2.0.so', 'V3', 'V0', 0.17864733091636453, 3.9213571548461914]
['BV', 4, 'UV', 26, 'geany', 'ranlib', 'V3', 'V3', 0.12973855248066346, 37.13751769065857]
['BV', 35, 'CV', 286, 'libvlccore.so', 'expand', 'V2', 'V1', 0.16777939042089984, 3.3897669315338135]
['UV', 10, 'CV', 155, 'as', 'cat', 'V2', 'V3', 0.12945558739255014, 1.6811060905456543]
['CV', 12, 'UV', 83, 'stty', 'addr2line', 'V2', 'V0', 0.13981151065971265, 0.8969988822937012]
['BV', 41, 'CV', 202, 'libvlccore.so', 'chown', 'V1', 'V0', 0.15984281238383513, 2.753185749053955]
['UV', 4, 'CV', 338, 'cmp', 'nl', 'V2', 'V1', 0.042966751918158574, 0.045356035232543945]
['UV', 58, 'CV', 24, 'objcopy', 'factor', 'V1', 'V2', 0.13580935126472027, 1.220691442489624]
['CV', 256, 'UV', 50, 'sort', 'find', 'V0', 'V1', 0.1168447374403273, 0.19741225242614746]
['BV', 12, 'UV', 72, 'sort', 'find', 'V2', 'V0', 0.0707902163687677, 0.21033596992492676]
['CV', 134, 'UV', 51, 'od', 'nm', 'V3', 'V1', 0.13220933144144897, 1.0476152896881104]
['CV', 192, 'BV', 52, 'pwd', 'libSDL2-2.0.so', 'V0', 'V2', 0.19478079331941545, 4.1074371337890625]
['BV', 27, 'CV', 295, 'libSDL2-2.0.so', 'echo', 'V1', 'V1', 0.19774200760116256, 3.5647904872894287]
['CV', 244, 'BV', 60, 'vdir', 'codeblocks', 'V0', 'V1', 0.17898064006321612, 11.473850011825562]
['CV', 245, 'BV', 31, '[', 'codeblocks', 'V0', 'V0', 0.18798782175477446, 9.581508159637451]
['CV', 186, 'BV', 12, 'stty', 'sort', 'V0', 'V2', 0.10709318497913767, 0.05913877487182617]
['UV', 77, 'CV', 328, 'ranlib', 'uname', 'V0', 'V1', 0.15016973378595677, 0.8791992664337158]
['CV', 282, 'BV', 51, 'chgrp', 'cp', 'V1', 'V0', 0.051551814834297716, 0.051671743392944336]
['UV', 13, 'CV', 302, 'strings', 'nice', 'V2', 'V1', 0.15162850104917436, 0.8849210739135742]
['BV', 28, 'UV', 43, 'openssl', 'sdiff', 'V1', 'V3', 0.10054168318139778, 6.873093843460083]
['BV', 36, 'CV', 172, 'libvlc.so', 'mknod', 'V2', 'V3', 0.18419577806837284, 0.3475310802459717]
['BV', 49, 'CV', 156, 'make', 'csplit', 'V3', 'V3', 0.11120749479528103, 0.2599930763244629]
['CV', 241, 'BV', 65, 'uname', 'ssh', 'V0', 'V1', 0.12006201968450858, 3.6121981143951416]
['CV', 327, 'UV', 65, 'link', 'objdump', 'V1', 'V1', 0.14013068512647986, 1.4564037322998047]
['BV', 28, 'CV', 326, 'openssl', 'env', 'V1', 'V1', 0.10452128847786268, 6.303471803665161]
['BV', 76, 'CV', 91, 'diff', 'basename', 'V2', 'V3', 0.1261038502296008, 0.08809089660644531]
['CV', 185, 'UV', 61, 'printenv', 'addr2line', 'V0', 'V1', 0.15104591143710944, 0.8854553699493408]
['CV', 130, 'BV', 63, 'chmod', 'ruby', 'V3', 'V0', 0.1132930812629912, 10.088183879852295]
['CV', 58, 'UV', 47, 'readlink', 'sdiff', 'V2', 'V1', 0.07710843373493981, 0.03888082504272461]
['BV', 54, 'CV', 51, 'lua', 'printf', 'V3', 'V2', 0.12496725176840451, 0.4038541316986084]
['CV', 224, 'UV', 12, 'cksum', 'c++filt', 'V0', 'V2', 0.1532644780523792, 0.888077974319458]
['UV', 69, 'BV', 42, 'sdiff', 'libvlc.so', 'V0', 'V1', 0.1486274509803922, 0.3050405979156494]
['BV', 50, 'CV', 346, 'sort', 'mknod', 'V0', 'V1', 0.09009679821295613, 0.029074430465698242]
['BV', 58, 'CV', 324, 'ruby', 'mv', 'V3', 'V1', 0.24167872648335742, 0.026862621307373047]
['UV', 24, 'CV', 1, 'readelf', 'stat', 'V3', 'V2', 0.11421359835936262, 0.24908828735351562]
['CV', 115, 'UV', 34, 'chown', 'elfedit', 'V3', 'V3', 0.06464646464646462, 0.051178932189941406]
['CV', 4, 'UV', 44, 'basename', 'diff3', 'V2', 'V1', 0.09614082599864593, 0.030099868774414062]
