['CV', 130, 'UV', 63, 'chmod', 'elfedit', 'V3', 'V1', 0.060810810810810856, 0.04068875312805176]
['BV', 51, 'UV', 23, 'cp', 'strip', 'V0', 'V3', 0.12779992750996738, 2.010885715484619]
['BV', 76, 'CV', 325, 'diff', 'md5sum', 'V2', 'V1', 0.13343162550681908, 0.07088708877563477]
['BV', 11, 'UV', 5, 'bash', 'diff', 'V1', 'V2', 0.1070311142012863, 2.0709421634674072]
['UV', 39, 'CV', 277, 'find', 'dd', 'V3', 'V1', 0.14138413142257955, 0.24105620384216309]
['BV', 78, 'CV', 139, 'make', 'logname', 'V2', 'V3', 0.13292514319573379, 0.14888906478881836]
['BV', 75, 'UV', 56, 'cmp', 'c++filt', 'V2', 'V1', 0.1381015452538632, 0.7422258853912354]
['UV', 25, 'CV', 292, 'as', 'sha1sum', 'V3', 'V1', 0.13251683306245643, 1.3970928192138672]
['BV', 56, 'CV', 53, 'ssh', 'tty', 'V3', 'V2', 0.14910720168676284, 1.0661835670471191]
['CV', 326, 'BV', 82, 'env', 'gvmap', 'V1', 'V1', 0.15074763503204147, 0.08947634696960449]
['UV', 44, 'CV', 24, 'diff3', 'factor', 'V1', 'V2', 0.0821917808219178, 0.027235031127929688]
['UV', 80, 'CV', 88, 'objcopy', 'stat', 'V0', 'V3', 0.11949642267473859, 1.1685352325439453]
['CV', 226, 'UV', 18, 'logname', 'ar', 'V0', 'V2', 0.1523891519586742, 0.871314287185669]
['UV', 80, 'CV', 41, 'objcopy', 'nice', 'V0', 'V2', 0.1362844702467344, 0.9988391399383545]
['CV', 278, 'UV', 52, 'mkfifo', 'strip', 'V1', 'V1', 0.13849947164494547, 1.114466667175293]
['UV', 81, 'BV', 31, 'ld', 'codeblocks', 'V0', 'V0', 0.09673842010416456, 18.158514976501465]
['CV', 38, 'BV', 47, 'split', 'dot', 'V2', 'V3', 0.16265560165975101, 0.021138668060302734]
['BV', 33, 'CV', 345, 'openssl', 'rmdir', 'V0', 'V1', 0.10408009066868151, 5.2219557762146]
