['BV', 25, 'CV', 178, 'git', 'basename', 'V3', 'V0', 0.088239415785622, 9.382687330245972]
['CV', 215, 'BV', 61, 'nice', 'cmp', 'V0', 'V0', 0.04312668463611857, 0.013729095458984375]
['CV', 278, 'UV', 18, 'mkfifo', 'ar', 'V1', 'V2', 0.15091424156579958, 0.8927216529846191]
['CV', 111, 'UV', 78, 'factor', 'c++filt', 'V3', 'V0', 0.1330499276410999, 0.8179817199707031]
['UV', 6, 'CV', 109, 'sdiff', 'kill', 'V2', 'V3', 0.0757304710793083, 0.038641929626464844]
['UV', 78, 'CV', 141, 'c++filt', 'false', 'V0', 'V3', 0.14538069147931232, 0.7381079196929932]
['BV', 36, 'CV', 174, 'libvlc.so', 'touch', 'V2', 'V0', 0.18510799545282297, 0.321453332901001]
['CV', 208, 'UV', 26, 'echo', 'ranlib', 'V0', 'V3', 0.15331527911243126, 0.8949029445648193]
['BV', 28, 'UV', 16, 'openssl', 'gprof', 'V1', 'V2', 0.05370088606462009, 12.116076707839966]
['BV', 20, 'UV', 86, 'sort', 'size', 'V1', 'V0', 0.11115384615384616, 0.9001679420471191]
['CV', 214, 'UV', 23, 'ls', 'strip', 'V0', 'V3', 0.12280325760822974, 1.351909875869751]
['CV', 175, 'UV', 73, 'stat', 'nm', 'V0', 'V0', 0.1454027739505832, 0.8216376304626465]
['UV', 27, 'CV', 246, 'c++filt', 'id', 'V3', 'V0', 0.1516843476642471, 0.8070452213287354]
['CV', 62, 'BV', 36, 'unexpand', 'libvlc.so', 'V2', 'V2', 0.1934552454282965, 0.3061482906341553]
['UV', 73, 'CV', 89, 'nm', 'unlink', 'V0', 'V3', 0.1446563840467281, 0.7925546169281006]
['BV', 2, 'CV', 306, 'cmp', 'cp', 'V1', 'V1', 0.06720000000000004, 0.04878664016723633]
['UV', 4, 'CV', 226, 'cmp', 'logname', 'V2', 'V0', 0.11431143114311437, 0.020932435989379883]
['CV', 329, 'UV', 39, 'cat', 'find', 'V1', 'V3', 0.16569930724583415, 0.26448988914489746]
['BV', 36, 'UV', 47, 'libvlc.so', 'sdiff', 'V2', 'V1', 0.16525871172122497, 0.3638026714324951]
['BV', 41, 'CV', 221, 'libvlccore.so', 'od', 'V1', 'V0', 0.16277575497965302, 2.4613351821899414]
['UV', 68, 'CV', 223, 'diff', 'tsort', 'V0', 'V0', 0.1327054794520548, 0.057811737060546875]
['BV', 50, 'CV', 295, 'sort', 'echo', 'V0', 'V1', 0.10633307271305703, 0.024126291275024414]
['BV', 6, 'CV', 57, 'libvlc.so', 'who', 'V0', 'V2', 0.1750342309447741, 0.2365705966949463]
['UV', 11, 'CV', 174, 'ranlib', 'touch', 'V2', 'V0', 0.14333867026207125, 0.9719412326812744]
['BV', 34, 'CV', 203, 'svn', 'tail', 'V0', 'V0', 0.20116782821623658, 0.32335758209228516]
['UV', 82, 'BV', 44, 'gprof', 'make', 'V0', 'V0', 0.07470884065643202, 2.460805892944336]
['BV', 4, 'CV', 168, 'geany', 'sleep', 'V3', 'V3', 0.18176918529851527, 23.02056121826172]
['UV', 51, 'CV', 342, 'nm', 'sleep', 'V1', 'V1', 0.14839678473633078, 0.8531520366668701]
['UV', 35, 'BV', 30, 'size', 'bash', 'V3', 'V0', 0.034564126424939334, 5.4383485317230225]
['BV', 72, 'CV', 64, 'perl', 'md5sum', 'V1', 'V2', 0.09162564852999866, 2.0712859630584717]
