['CV', 43, 'UV', 5, 'chmod', 'diff', 'V2', 'V2', 0.0956907477820026, 0.1075754165649414]
['BV', 31, 'CV', 197, 'codeblocks', 'wc', 'V0', 'V0', 0.1884282864109954, 10.446719646453857]
['CV', 15, 'UV', 66, 'uptime', 'diff3', 'V2', 'V0', 0.06547251389746755, 0.03869462013244629]
['BV', 72, 'CV', 81, 'perl', 'sleep', 'V1', 'V2', 0.09252657181887847, 2.0582022666931152]
['CV', 60, 'UV', 28, 'hostid', 'strings', 'V2', 'V3', 0.1517717441325357, 0.86549973487854]
['CV', 163, 'UV', 27, 'comm', 'c++filt', 'V3', 'V3', 0.14297341291372767, 1.3292431831359863]
['UV', 81, 'CV', 50, 'ld', 'cksum', 'V0', 'V2', 0.13695949911954608, 1.3585386276245117]
['UV', 46, 'CV', 72, 'diff', 'id', 'V1', 'V2', 0.1197754210854648, 0.08625960350036621]
['UV', 63, 'CV', 222, 'elfedit', 'df', 'V1', 'V0', 0.04978354978354982, 0.03196382522583008]
['CV', 143, 'UV', 13, 'yes', 'strings', 'V3', 'V2', 0.1470087003318683, 0.8765716552734375]
['CV', 281, 'BV', 55, 'tee', 'codeblocks', 'V1', 'V3', 0.18963307790883177, 10.334068059921265]
['CV', 193, 'BV', 0, 'pr', 'bash', 'V0', 'V2', 0.12421043332302661, 2.3776609897613525]
['BV', 63, 'UV', 43, 'ruby', 'sdiff', 'V0', 'V3', 0.11346912870148163, 9.303131341934204]
['BV', 35, 'CV', 164, 'libvlccore.so', 'nl', 'V2', 'V3', 0.16317094098579465, 3.1744136810302734]
['UV', 52, 'BV', 78, 'strip', 'make', 'V1', 'V2', 0.07390401224445176, 2.010101556777954]
['CV', 116, 'BV', 54, 'tail', 'lua', 'V3', 'V3', 0.11127578115351366, 0.427703857421875]
['BV', 78, 'CV', 79, 'make', 'fold', 'V2', 'V2', 0.13657176985865016, 0.18214178085327148]
['CV', 186, 'BV', 5, 'stty', 'libvlccore.so', 'V0', 'V0', 0.16969663782718214, 2.5880796909332275]
['UV', 10, 'CV', 313, 'as', 'logname', 'V2', 'V1', 0.1351588042970575, 1.4769983291625977]
['BV', 11, 'UV', 46, 'bash', 'diff', 'V1', 'V1', 0.10403143149982919, 2.683589458465576]
['CV', 336, 'UV', 10, 'tr', 'as', 'V1', 'V2', 0.13174447458018346, 1.5922112464904785]
['CV', 70, 'BV', 65, 'vdir', 'ssh', 'V2', 'V1', 0.10711976202793583, 4.097553491592407]
['UV', 26, 'CV', 334, 'ranlib', 'shred', 'V3', 'V1', 0.1367600201240986, 1.0114068984985352]
['CV', 167, 'BV', 32, 'uniq', 'perl', 'V3', 'V0', 0.1059246702774217, 1.974273920059204]
['CV', 310, 'BV', 39, 'tsort', 'svn', 'V1', 'V1', 0.22367438386855865, 1.2969624996185303]
['BV', 46, 'CV', 248, 'cluster', 'pathchk', 'V3', 'V0', 0.1535508637236085, 0.09294891357421875]
['BV', 53, 'CV', 270, 'ssh', 'users', 'V2', 'V1', 0.12047628603919991, 3.359461784362793]
['UV', 29, 'CV', 14, 'objcopy', 'dirname', 'V3', 'V2', 0.14349707691139624, 1.0434651374816895]
['UV', 3, 'CV', 68, 'diff3', 'cat', 'V2', 'V2', 0.028002154011847025, 0.042645931243896484]
['CV', 237, 'BV', 61, 'mv', 'cmp', 'V0', 'V0', 0.1393939393939394, 0.03765988349914551]
['CV', 222, 'BV', 29, 'df', 'perl', 'V0', 'V3', 0.10175599759742782, 2.40817928314209]
['CV', 335, 'BV', 51, 'pathchk', 'cp', 'V1', 'V0', 0.11377245508982037, 0.03132152557373047]
['BV', 56, 'CV', 97, 'ssh', 'ptx', 'V3', 'V3', 0.13549281572977057, 1.3311145305633545]
['UV', 36, 'CV', 176, 'objdump', 'unlink', 'V3', 'V0', 0.14121190644932669, 1.554534673690796]
['CV', 293, 'BV', 6, 'paste', 'libvlc.so', 'V1', 'V0', 0.20054401582591497, 0.20986580848693848]
['BV', 83, 'CV', 130, 'git', 'chmod', 'V2', 'V3', 0.09119778678304236, 6.382218599319458]
['CV', 112, 'UV', 33, 'expand', 'ar', 'V3', 'V3', 0.14405558850944833, 0.9947853088378906]
['CV', 155, 'UV', 47, 'cat', 'sdiff', 'V3', 'V1', 0.07256637168141589, 0.0380091667175293]
['CV', 211, 'BV', 42, 'seq', 'libvlc.so', 'V0', 'V1', 0.18478985990660446, 0.2266707420349121]
['BV', 0, 'CV', 37, 'bash', 'seq', 'V2', 'V2', 0.12715785726997686, 2.235668420791626]
['CV', 207, 'UV', 86, 'sync', 'size', 'V0', 'V0', 0.13015042511445385, 0.7412011623382568]
['UV', 84, 'CV', 288, 'ar', 'expr', 'V0', 'V1', 0.13104304635761588, 0.9227805137634277]
['CV', 326, 'UV', 7, 'env', 'nm', 'V1', 'V2', 0.15307492614806195, 0.8706834316253662]
['CV', 68, 'UV', 86, 'cat', 'size', 'V2', 'V0', 0.1177669750666458, 0.8426127433776855]
['BV', 76, 'CV', 132, 'diff', 'cp', 'V2', 'V3', 0.029589934762348502, 0.18599891662597656]
['CV', 324, 'BV', 3, 'mv', 'diff', 'V1', 'V1', 0.05218750000000005, 0.11259198188781738]
['UV', 52, 'CV', 288, 'strip', 'expr', 'V1', 'V1', 0.12445211847522908, 1.248669147491455]
['CV', 128, 'BV', 67, 'nice', 'cluster', 'V3', 'V0', 0.13013473545842924, 0.09557175636291504]
