['CV', 71, 'UV', 66, '[', 'diff3', 'V2', 'V0', 0.07174323473882949, 0.03445148468017578]
['UV', 0, 'CV', 305, 'locate', 'true', 'V2', 'V1', 0.15846338535414162, 0.07532119750976562]
['CV', 265, 'BV', 3, 'basename', 'diff', 'V1', 'V1', 0.1388767958206356, 0.10822415351867676]
['UV', 13, 'CV', 238, 'strings', 'md5sum', 'V2', 'V0', 0.14806110458284372, 1.668869972229004]
['CV', 215, 'BV', 62, 'nice', 'diff', 'V0', 'V0', 0.13456790123456797, 0.0850534439086914]
['UV', 14, 'CV', 257, 'objcopy', 'tac', 'V2', 'V0', 0.12691326530612246, 2.7216618061065674]
['CV', 241, 'UV', 9, 'uname', 'readelf', 'V0', 'V2', 0.11182027061526678, 0.19305920600891113]
['BV', 26, 'CV', 88, 'geany', 'stat', 'V2', 'V3', 0.17842923017092915, 22.38497567176819]
['CV', 340, 'BV', 40, 'fold', 'lua', 'V1', 'V2', 0.13778950454412198, 0.31052422523498535]
['UV', 14, 'CV', 80, 'objcopy', 'uniq', 'V2', 'V2', 0.13709736861502175, 1.123033046722412]
['CV', 259, 'UV', 37, 'mknod', 'locate', 'V0', 'V3', 0.16328963051251488, 0.08714818954467773]
['BV', 80, 'CV', 270, 'cluster', 'users', 'V1', 'V1', 0.1460815047021944, 0.10280919075012207]
['CV', 217, 'BV', 50, 'chmod', 'sort', 'V0', 'V0', 0.05269761606022583, 0.03595399856567383]
['BV', 67, 'CV', 310, 'cluster', 'tsort', 'V0', 'V1', 0.14375217542638352, 0.08617830276489258]
['CV', 53, 'BV', 7, 'tty', 'libSDL2-2.0.so', 'V2', 'V0', 0.22032837066926392, 2.8052027225494385]
['UV', 54, 'CV', 300, 'as', 'whoami', 'V1', 'V1', 0.1333137657763428, 1.4696106910705566]
['CV', 94, 'BV', 58, 'dir', 'ruby', 'V3', 'V3', 0.21897482014388492, 0.05169272422790527]
['CV', 345, 'UV', 21, 'rmdir', 'objdump', 'V1', 'V2', 0.14249448860979363, 1.342902421951294]
['UV', 3, 'CV', 237, 'diff3', 'mv', 'V2', 'V0', 0.0607252075141983, 0.06517887115478516]
['CV', 173, 'BV', 6, 'ln', 'libvlc.so', 'V3', 'V0', 0.13232104121475052, 0.32354235649108887]
['CV', 129, 'BV', 72, 'dircolors', 'perl', 'V3', 'V1', 0.0904818639131586, 2.116816997528076]
['BV', 66, 'CV', 72, 'lua', 'id', 'V1', 'V2', 0.13409263477600608, 0.2921333312988281]
['CV', 134, 'UV', 61, 'od', 'addr2line', 'V3', 'V1', 0.13168828966335966, 0.949246883392334]
['UV', 18, 'CV', 131, 'ar', 'true', 'V2', 'V3', 0.14699407281964438, 0.9118285179138184]
['CV', 89, 'UV', 36, 'unlink', 'objdump', 'V3', 'V3', 0.13688500727802033, 2.636312246322632]
['UV', 31, 'CV', 293, 'gprof', 'paste', 'V3', 'V1', 0.14839537869062902, 0.8841488361358643]
['UV', 32, 'CV', 56, 'addr2line', 'yes', 'V3', 'V2', 0.15215196843167844, 0.8222613334655762]
['UV', 30, 'BV', 21, 'ld', 'cp', 'V3', 'V1', 0.13260920074349447, 1.8201689720153809]
['CV', 281, 'UV', 82, 'tee', 'gprof', 'V1', 'V0', 0.1435777024089051, 0.8539502620697021]
['CV', 86, 'UV', 66, 'ln', 'diff3', 'V2', 'V0', 0.034519956850053934, 0.04401254653930664]
['CV', 295, 'UV', 70, 'echo', 'locate', 'V1', 'V0', 0.13753877973112716, 0.04594850540161133]
['BV', 76, 'CV', 205, 'diff', 'sha1sum', 'V2', 'V0', 0.13260073260073257, 0.0786430835723877]
['CV', 309, 'BV', 7, 'df', 'libSDL2-2.0.so', 'V1', 'V0', 0.2129813282265235, 2.9258384704589844]
['BV', 48, 'CV', 101, 'gvmap', 'dirname', 'V3', 'V3', 0.13405900887997713, 0.111236572265625]
['BV', 71, 'CV', 210, 'ruby', 'chroot', 'V1', 'V0', 0.2287581699346405, 0.00521087646484375]
['UV', 67, 'CV', 220, 'cmp', 'cut', 'V0', 'V0', 0.07475884244372988, 0.024989843368530273]
['CV', 12, 'BV', 36, 'stty', 'libvlc.so', 'V2', 'V2', 0.1789861751152073, 0.3371579647064209]
['UV', 72, 'CV', 325, 'find', 'md5sum', 'V0', 'V1', 0.1496012759170654, 0.11290669441223145]
['UV', 38, 'CV', 262, 'xargs', 'stat', 'V3', 'V1', 0.14238773274917849, 0.05807232856750488]
['CV', 224, 'BV', 14, 'cksum', 'openssl', 'V0', 'V3', 0.29401547449865784, 5.210355520248413]
['CV', 235, 'UV', 35, 'ginstall', 'size', 'V0', 'V3', 0.12937451869598693, 1.0761418342590332]
['CV', 54, 'BV', 14, 'false', 'openssl', 'V2', 'V3', 0.29222618548048684, 5.152498006820679]
['CV', 213, 'BV', 20, 'whoami', 'sort', 'V0', 'V1', 0.12780421481985038, 0.0306093692779541]
['CV', 199, 'UV', 70, 'expand', 'locate', 'V0', 'V0', 0.13054435483870974, 0.04748702049255371]
['CV', 247, 'UV', 22, 'shred', 'nm', 'V0', 'V3', 0.14156095842142358, 0.9600880146026611]
['CV', 234, 'UV', 39, 'hostid', 'find', 'V0', 'V3', 0.17204097116843697, 0.24902844429016113]
['BV', 23, 'CV', 242, 'diff', 'cat', 'V3', 'V0', 0.14516129032258063, 0.07322001457214355]
['CV', 136, 'UV', 47, 'tsort', 'sdiff', 'V3', 'V1', 0.06394009216589858, 0.03887343406677246]
['UV', 18, 'CV', 243, 'ar', 'csplit', 'V2', 'V0', 0.1275136030281523, 1.0714941024780273]
['UV', 45, 'CV', 328, 'cmp', 'uname', 'V1', 'V1', 0.10931899641577059, 0.020893573760986328]
['CV', 67, 'UV', 44, 'uname', 'diff3', 'V2', 'V1', 0.09598366235534372, 0.027399539947509766]
['UV', 6, 'CV', 12, 'sdiff', 'stty', 'V2', 'V2', 0.0634201585503964, 0.04028773307800293]
['CV', 294, 'UV', 59, 'sync', 'ld', 'V1', 'V1', 0.13787756620976244, 1.4191837310791016]
['BV', 8, 'CV', 310, 'cluster', 'tsort', 'V2', 'V1', 0.14627241270839886, 0.10003232955932617]
['CV', 47, 'BV', 18, 'od', 'sort', 'V2', 'V3', 0.09462151394422313, 0.09247064590454102]
['CV', 122, 'BV', 14, 'sum', 'openssl', 'V3', 'V3', 0.2836097661481405, 5.422898769378662]
['BV', 63, 'CV', 23, 'ruby', 'wc', 'V0', 'V2', 0.11534315486884661, 8.915242671966553]
['UV', 55, 'CV', 321, 'ranlib', 'hostid', 'V1', 'V1', 0.14957739264065562, 0.8948476314544678]
['CV', 102, 'UV', 50, 'uptime', 'find', 'V3', 'V1', 0.12107208872458408, 0.18083596229553223]
['BV', 14, 'CV', 68, 'openssl', 'cat', 'V3', 'V2', 0.2822775070530905, 5.47260594367981]
['CV', 200, 'UV', 53, 'date', 'readelf', 'V0', 'V1', 0.08779149519890261, 0.0976097583770752]
['CV', 147, 'UV', 38, 'hostid', 'xargs', 'V3', 'V3', 0.12916887241926944, 0.05854654312133789]
['BV', 7, 'CV', 180, 'libSDL2-2.0.so', 'fmt', 'V0', 'V0', 0.22115250453467283, 2.8210113048553467]
['BV', 61, 'UV', 17, 'cmp', 'addr2line', 'V0', 'V2', 0.15224724222809738, 0.8552384376525879]
['CV', 20, 'UV', 14, 'tee', 'objcopy', 'V2', 'V2', 0.13980336660211523, 1.1094996929168701]
['CV', 202, 'UV', 30, 'chown', 'ld', 'V0', 'V3', 0.1387670420865441, 1.8407855033874512]
['UV', 42, 'BV', 20, 'diff', 'sort', 'V3', 'V1', 0.07509646779459778, 0.11779522895812988]
['UV', 19, 'BV', 43, 'elfedit', 'lua', 'V2', 'V0', 0.1275600709562974, 0.2857234477996826]
['BV', 52, 'CV', 68, 'libSDL2-2.0.so', 'cat', 'V2', 'V2', 0.18733077905491702, 3.972465753555298]
['BV', 1, 'UV', 67, 'libSDL2-2.0.so', 'cmp', 'V3', 'V0', 0.18913807079167788, 5.081209897994995]
['CV', 0, 'UV', 34, 'touch', 'elfedit', 'V2', 'V3', 0.0463215258855586, 0.03359818458557129]
['UV', 76, 'CV', 97, 'as', 'ptx', 'V0', 'V3', 0.12150952214043698, 1.553664207458496]
['CV', 2, 'UV', 8, 'unlink', 'strip', 'V2', 'V2', 0.14204502954596454, 1.0901319980621338]
['UV', 34, 'CV', 33, 'elfedit', 'sync', 'V3', 'V2', 0.09348914858096824, 0.022613048553466797]
['BV', 43, 'CV', 11, 'lua', 'printenv', 'V0', 'V2', 0.14355027605822324, 0.24869680404663086]
['CV', 67, 'UV', 6, 'uname', 'sdiff', 'V2', 'V2', 0.10917615539182857, 0.030458688735961914]
