['CV', 150, 'BV', 57, 'mv', 'svn', 'V3', 'V2', 0.1315064720462682, 1.1882102489471436]
['BV', 60, 'CV', 240, 'codeblocks', 'link', 'V1', 'V0', 0.18777021184608733, 11.634610891342163]
['CV', 250, 'UV', 39, 'comm', 'find', 'V0', 'V3', 0.16381554481219784, 0.39913368225097656]
['BV', 83, 'UV', 65, 'git', 'objdump', 'V2', 'V1', 0.04155311265578587, 14.60854697227478]
['UV', 73, 'CV', 56, 'nm', 'yes', 'V0', 'V2', 0.14894206781853458, 0.8161749839782715]
['CV', 117, 'BV', 22, 'pinky', 'cmp', 'V3', 'V3', 0.036608863198458574, 0.03885388374328613]
['CV', 85, 'BV', 23, 'mknod', 'diff', 'V2', 'V3', 0.13400214976710856, 0.08199501037597656]
['UV', 71, 'CV', 40, 'xargs', 'ls', 'V0', 'V2', 0.11460674157303374, 0.07259273529052734]
['CV', 66, 'BV', 71, 'link', 'ruby', 'V2', 'V1', 0.20175438596491224, 0.006425142288208008]
['BV', 10, 'UV', 30, 'gvmap', 'ld', 'V2', 'V3', 0.10659230809701692, 2.6259500980377197]
['UV', 35, 'BV', 66, 'size', 'lua', 'V3', 'V1', 0.05393108468818253, 1.9943604469299316]
['UV', 23, 'CV', 295, 'strip', 'echo', 'V3', 'V1', 0.1457263319279417, 1.079495906829834]
['CV', 152, 'UV', 56, 'env', 'c++filt', 'V3', 'V1', 0.14201658197378975, 0.8924047946929932]
['BV', 44, 'CV', 295, 'make', 'echo', 'V0', 'V1', 0.14120317820658346, 0.1446394920349121]
['UV', 44, 'CV', 194, 'diff3', 'tee', 'V1', 'V0', 0.09695682944090589, 0.030085086822509766]
['BV', 48, 'UV', 31, 'gvmap', 'gprof', 'V3', 'V3', 0.09422535211267602, 1.5190739631652832]
['UV', 35, 'CV', 284, 'size', 'wc', 'V3', 'V1', 0.1486707938820102, 0.9043161869049072]
['BV', 2, 'CV', 110, 'cmp', 'wc', 'V1', 'V3', 0.04051565377532229, 0.0411677360534668]
['CV', 136, 'BV', 76, 'tsort', 'diff', 'V3', 'V2', 0.1119756427604871, 0.09247875213623047]
['UV', 0, 'CV', 343, 'locate', 'sort', 'V2', 'V1', 0.05196399345335512, 0.0817708969116211]
['CV', 156, 'UV', 36, 'csplit', 'objdump', 'V3', 'V3', 0.12946124119117985, 1.8503599166870117]
['CV', 193, 'BV', 26, 'pr', 'geany', 'V0', 'V2', 0.1814274234240969, 22.794920206069946]
['BV', 14, 'CV', 194, 'openssl', 'tee', 'V3', 'V0', 0.29216962317623596, 5.422398567199707]
['BV', 22, 'CV', 147, 'cmp', 'hostid', 'V3', 'V3', 0.07008289374529009, 0.02804112434387207]
['UV', 67, 'CV', 216, 'cmp', 'dircolors', 'V0', 'V0', 0.07654723127035834, 0.02589893341064453]
['CV', 128, 'UV', 6, 'nice', 'sdiff', 'V3', 'V2', 0.08513263417643424, 0.03783249855041504]
['BV', 22, 'UV', 32, 'cmp', 'addr2line', 'V3', 'V3', 0.14178504422406868, 0.9934196472167969]
['UV', 84, 'BV', 33, 'ar', 'openssl', 'V0', 'V0', 0.05357853070964569, 11.606317281723022]
['UV', 67, 'CV', 315, 'cmp', 'false', 'V0', 'V1', 0.1117266851338874, 0.020788908004760742]
['CV', 34, 'UV', 15, 'echo', 'ld', 'V2', 'V2', 0.13716569320627114, 1.575430154800415]
['CV', 154, 'BV', 78, 'uname', 'make', 'V3', 'V2', 0.13286024048886258, 0.20064616203308105]
['CV', 174, 'UV', 53, 'touch', 'readelf', 'V0', 'V1', 0.09153952843273228, 0.09836816787719727]
['BV', 81, 'CV', 2, 'dot', 'unlink', 'V1', 'V2', 0.11857142857142855, 0.01054692268371582]
['CV', 307, 'UV', 21, 'cut', 'objdump', 'V1', 'V2', 0.13974291015107343, 1.4392383098602295]
['UV', 44, 'CV', 250, 'diff3', 'comm', 'V1', 'V0', 0.09273356401384081, 0.03089427947998047]
['UV', 44, 'CV', 55, 'diff3', 'nohup', 'V1', 'V2', 0.0758354755784062, 0.03351426124572754]
['CV', 132, 'BV', 77, 'cp', 'perl', 'V3', 'V2', 0.0792465689767341, 2.955838441848755]
['CV', 290, 'BV', 38, 'tail', 'ruby', 'V1', 'V2', 0.23372093023255813, 0.012104988098144531]
['CV', 103, 'UV', 54, 'dd', 'as', 'V3', 'V1', 0.11869304289842186, 1.7981081008911133]
['BV', 78, 'CV', 311, 'make', 'cksum', 'V2', 'V1', 0.14614594039054474, 0.18025565147399902]
['UV', 42, 'BV', 45, 'diff', 'svn', 'V3', 'V3', 0.15383742052679383, 0.9177045822143555]
['BV', 69, 'CV', 86, 'gvmap', 'ln', 'V0', 'V2', 0.10654313839027219, 0.1258406639099121]
['UV', 4, 'CV', 265, 'cmp', 'basename', 'V2', 'V1', 0.10305676855895196, 0.023764610290527344]
['BV', 24, 'CV', 177, 'git', 'test', 'V0', 'V0', 0.09590496689643901, 3.4414689540863037]
['BV', 14, 'CV', 90, 'openssl', 'test', 'V3', 'V3', 0.2849695468153195, 5.559556245803833]
['CV', 292, 'UV', 0, 'sha1sum', 'locate', 'V1', 'V2', 0.12252747252747254, 0.05063056945800781]
['UV', 18, 'CV', 83, 'ar', 'tac', 'V2', 'V2', 0.1288684335819711, 1.120643138885498]
['CV', 133, 'UV', 48, 'cut', 'locate', 'V3', 'V1', 0.09184845005740527, 0.0784463882446289]
['CV', 111, 'UV', 77, 'factor', 'ranlib', 'V3', 'V0', 0.13310263335584072, 0.9941465854644775]
['BV', 9, 'CV', 126, 'dot', 'whoami', 'V2', 'V3', 0.14320987654320994, 0.013328790664672852]
['CV', 75, 'UV', 33, 'tr', 'ar', 'V2', 'V3', 0.14468880020378705, 1.0201144218444824]
['BV', 28, 'CV', 152, 'openssl', 'env', 'V1', 'V3', 0.10287654814222935, 6.388906002044678]
['CV', 343, 'UV', 29, 'sort', 'objcopy', 'V1', 'V3', 0.12756396318040153, 1.3304336071014404]
['CV', 234, 'UV', 75, 'hostid', 'readelf', 'V0', 'V0', 0.11696456569457514, 0.07289600372314453]
['CV', 295, 'UV', 30, 'echo', 'ld', 'V1', 'V3', 0.14747720364741645, 1.75929594039917]
['BV', 68, 'CV', 320, 'dot', 'head', 'V0', 'V1', 0.14248704663212441, 0.01287698745727539]
['UV', 57, 'CV', 62, 'strings', 'unexpand', 'V1', 'V2', 0.14593386952636278, 0.8775424957275391]
['BV', 45, 'CV', 54, 'svn', 'false', 'V3', 'V2', 0.22815812088226872, 0.5520815849304199]
['UV', 66, 'CV', 85, 'diff3', 'mknod', 'V0', 'V2', 0.08106312292358808, 0.0316922664642334]
['CV', 67, 'UV', 33, 'uname', 'ar', 'V2', 'V3', 0.1503584074617843, 0.9750759601593018]
['CV', 95, 'UV', 74, 'du', 'strip', 'V3', 'V0', 0.10947939405966789, 1.5276031494140625]
['CV', 121, 'UV', 64, 'echo', 'size', 'V3', 'V1', 0.14401981599433822, 0.915799617767334]
['BV', 5, 'CV', 83, 'libvlccore.so', 'tac', 'V0', 'V2', 0.15798592880394835, 2.9180092811584473]
