['UV', 20, 'BV', 39, 'size', 'svn', 'V2', 'V1', 0.06592135697764068, 2.6155307292938232]
['UV', 2, 'CV', 157, 'find', 'vdir', 'V2', 'V3', 0.05251837246818425, 0.7037296295166016]
['UV', 47, 'CV', 114, 'sdiff', 'expr', 'V1', 'V3', 0.05268759978712079, 0.09571266174316406]
['BV', 78, 'CV', 160, 'make', 'shred', 'V2', 'V3', 0.09943282523927688, 0.2792685031890869]
['UV', 14, 'BV', 28, 'objcopy', 'openssl', 'V2', 'V1', 0.04972250340326012, 12.16055417060852]
['UV', 81, 'BV', 67, 'ld', 'cluster', 'V0', 'V0', 0.10295563653189888, 1.838796615600586]
['UV', 3, 'CV', 93, 'diff3', 'fmt', 'V2', 'V3', 0.05649388468258587, 0.03896522521972656]
['UV', 11, 'CV', 136, 'ranlib', 'tsort', 'V2', 'V3', 0.14229710568020693, 0.959428071975708]
['CV', 184, 'UV', 38, 'ptx', 'xargs', 'V0', 'V3', 0.06633435582822089, 0.08275818824768066]
['BV', 73, 'UV', 13, 'geany', 'strings', 'V0', 'V2', 0.12271976509451277, 22.537681818008423]
['CV', 342, 'UV', 81, 'sleep', 'ld', 'V1', 'V0', 0.1376873241280021, 1.3060073852539062]
['BV', 20, 'CV', 307, 'sort', 'cut', 'V1', 'V1', 0.09603469640644358, 0.037343502044677734]
['CV', 258, 'BV', 58, 'rmdir', 'ruby', 'V0', 'V3', 0.22421524663677128, 0.00520014762878418]
['BV', 6, 'CV', 227, 'libvlc.so', 'tty', 'V0', 'V0', 0.2046593186372745, 0.20101547241210938]
['BV', 3, 'CV', 301, 'diff', 'ls', 'V1', 'V1', 0.03377341111452259, 0.1246182918548584]
['CV', 29, 'BV', 32, 'tail', 'perl', 'V2', 'V0', 0.10456359820583516, 3.007280111312866]
['CV', 116, 'UV', 4, 'tail', 'cmp', 'V3', 'V2', 0.053380782918149516, 0.04778909683227539]
['CV', 336, 'BV', 41, 'tr', 'libvlccore.so', 'V1', 'V1', 0.16365882479321092, 2.4877212047576904]
['CV', 171, 'UV', 56, 'rmdir', 'c++filt', 'V3', 'V1', 0.14046140195208512, 0.8565065860748291]
['BV', 24, 'CV', 118, 'git', 'sha1sum', 'V0', 'V3', 0.09361909137590874, 3.3817696571350098]
['CV', 211, 'BV', 48, 'seq', 'gvmap', 'V0', 'V3', 0.14645858343337337, 0.10477519035339355]
['BV', 58, 'CV', 3, 'ruby', 'test', 'V3', 'V2', 0.21449704142011838, 0.007794618606567383]
['CV', 129, 'BV', 69, 'dircolors', 'gvmap', 'V3', 'V0', 0.11729141475211613, 0.10670113563537598]
['CV', 67, 'UV', 63, 'uname', 'elfedit', 'V2', 'V1', 0.0774586597040905, 0.020795345306396484]
['CV', 248, 'BV', 14, 'pathchk', 'openssl', 'V0', 'V3', 0.2934525374704181, 5.231714725494385]
['UV', 56, 'CV', 44, 'c++filt', 'true', 'V1', 'V2', 0.14863636363636368, 0.7965500354766846]
['UV', 83, 'CV', 318, 'addr2line', 'who', 'V0', 'V1', 0.1436279069767442, 0.7839574813842773]
['CV', 309, 'UV', 58, 'df', 'objcopy', 'V1', 'V1', 0.13027320900144512, 1.2313790321350098]
['UV', 39, 'CV', 93, 'find', 'fmt', 'V3', 'V3', 0.14786612360545426, 0.2839071750640869]
['CV', 341, 'UV', 31, 'uniq', 'gprof', 'V1', 'V3', 0.14405204460966536, 0.9238758087158203]
['BV', 74, 'CV', 135, 'git', 'df', 'V1', 'V3', 0.08876458586460645, 4.917899131774902]
['UV', 57, 'CV', 92, 'strings', 'mkdir', 'V1', 'V3', 0.135121107266436, 0.9164834022521973]
['CV', 0, 'UV', 8, 'touch', 'strip', 'V2', 'V2', 0.13511528858863264, 1.156679630279541]
['CV', 101, 'UV', 56, 'dirname', 'c++filt', 'V3', 'V1', 0.14424198904945695, 0.8461816310882568]
['CV', 157, 'BV', 0, 'vdir', 'bash', 'V3', 'V2', 0.10716518694510446, 2.940903425216675]
['UV', 24, 'CV', 236, 'readelf', 'unexpand', 'V3', 'V0', 0.12261846604787496, 0.21292495727539062]
['CV', 146, 'UV', 82, 'head', 'gprof', 'V3', 'V0', 0.1355289757412399, 0.882300615310669]
['UV', 62, 'BV', 19, 'ar', 'cp', 'V1', 'V3', 0.1096451997614788, 1.2665646076202393]
['UV', 2, 'CV', 126, 'find', 'whoami', 'V2', 'V3', 0.14360119047619047, 0.14887046813964844]
['CV', 143, 'BV', 5, 'yes', 'libvlccore.so', 'V3', 'V0', 0.16984638932925167, 2.626934766769409]
['CV', 214, 'BV', 63, 'ls', 'ruby', 'V0', 'V0', 0.11143533123028393, 10.133610248565674]
['CV', 162, 'UV', 5, 'tr', 'diff', 'V3', 'V2', 0.10599536270288179, 0.09285140037536621]
['CV', 287, 'UV', 24, 'date', 'readelf', 'V1', 'V3', 0.10999529264082852, 0.2509489059448242]
['BV', 10, 'CV', 58, 'gvmap', 'readlink', 'V2', 'V2', 0.128154795288839, 0.11500382423400879]
['CV', 53, 'UV', 57, 'tty', 'strings', 'V2', 'V1', 0.14752333094041636, 0.8389008045196533]
['CV', 199, 'UV', 76, 'expand', 'as', 'V0', 'V0', 0.13448254783299718, 1.4181458950042725]
['BV', 65, 'CV', 343, 'ssh', 'sort', 'V1', 'V1', 0.11204601479046838, 3.6562771797180176]
['UV', 61, 'BV', 66, 'addr2line', 'lua', 'V1', 'V1', 0.05258120476161987, 1.9637436866760254]
['CV', 33, 'UV', 22, 'sync', 'nm', 'V2', 'V3', 0.15205047318611986, 0.8844621181488037]
['CV', 12, 'UV', 26, 'stty', 'ranlib', 'V2', 'V3', 0.14225447181910222, 0.9831137657165527]
['CV', 292, 'BV', 0, 'sha1sum', 'bash', 'V1', 'V2', 0.12817185052584468, 2.30915904045105]
['CV', 294, 'BV', 25, 'sync', 'git', 'V1', 'V3', 0.08825773500879774, 8.532921075820923]
['CV', 281, 'BV', 3, 'tee', 'diff', 'V1', 'V1', 0.12883959044368598, 0.060793399810791016]
['CV', 265, 'BV', 0, 'basename', 'bash', 'V1', 'V2', 0.1300908028409602, 2.228705883026123]
['BV', 60, 'CV', 32, 'codeblocks', 'paste', 'V1', 'V2', 0.18647899453669559, 9.421451568603516]
['UV', 32, 'CV', 97, 'addr2line', 'ptx', 'V3', 'V3', 0.13260382560744444, 0.973017692565918]
