['BV', 82, 'CV', 83, 'gvmap', 'tac', 'V1', 'V2', 0.08883666274970625, 0.3326864242553711]
['BV', 38, 'CV', 340, 'ruby', 'fold', 'V2', 'V1', 0.23929961089494167, 0.013306140899658203]
['CV', 336, 'UV', 64, 'tr', 'size', 'V1', 'V1', 0.14415929203539823, 1.0469110012054443]
['CV', 272, 'UV', 84, 'printenv', 'ar', 'V1', 'V0', 0.15055013865283118, 0.942791223526001]
['UV', 81, 'CV', 128, 'ld', 'nice', 'V0', 'V3', 0.1340232858990944, 1.2276191711425781]
['CV', 66, 'UV', 32, 'link', 'addr2line', 'V2', 'V3', 0.15169002473206927, 0.6920931339263916]
['CV', 344, 'UV', 8, 'tac', 'strip', 'V1', 'V2', 0.1265670373255896, 1.0213041305541992]
['BV', 24, 'CV', 143, 'git', 'yes', 'V0', 'V3', 0.09486713172823757, 3.2171449661254883]
['CV', 324, 'UV', 5, 'mv', 'diff', 'V1', 'V2', 0.06706450696220512, 0.12798619270324707]
['CV', 207, 'UV', 65, 'sync', 'objdump', 'V0', 'V1', 0.14072826227808732, 1.2593884468078613]
['UV', 5, 'CV', 166, 'diff', 'fold', 'V2', 'V3', 0.11604683195592291, 0.08147764205932617]
['BV', 31, 'CV', 61, 'codeblocks', 'ginstall', 'V0', 'V2', 0.17772117962466494, 9.920473337173462]
['UV', 43, 'CV', 79, 'sdiff', 'fold', 'V3', 'V2', 0.09243697478991597, 0.04146313667297363]
['CV', 41, 'BV', 41, 'nice', 'libvlccore.so', 'V2', 'V1', 0.1650239672537297, 2.49533748626709]
['CV', 58, 'UV', 10, 'readlink', 'as', 'V2', 'V2', 0.13023255813953494, 1.5951063632965088]
['UV', 6, 'CV', 296, 'sdiff', 'sum', 'V2', 'V1', 0.08994708994709, 0.03437209129333496]
['CV', 177, 'UV', 33, 'test', 'ar', 'V0', 'V3', 0.15048921984587404, 0.9199056625366211]
['BV', 19, 'CV', 270, 'cp', 'users', 'V3', 'V1', 0.13898845081640787, 0.06896400451660156]
['BV', 62, 'CV', 234, 'diff', 'hostid', 'V0', 'V0', 0.14421252371916515, 0.03348255157470703]
['CV', 213, 'BV', 25, 'whoami', 'git', 'V0', 'V3', 0.0882000342524405, 8.384364128112793]
['CV', 45, 'BV', 29, 'cp', 'perl', 'V2', 'V3', 0.0928946829567947, 2.819573402404785]
['UV', 61, 'CV', 240, 'addr2line', 'link', 'V1', 'V0', 0.15082738041414234, 0.7985243797302246]
