['CV', 122, 'BV', 9, 'sum', 'dot', 'V3', 'V2', 0.16369047619047616, 0.030951738357543945]
['CV', 192, 'UV', 51, 'pwd', 'nm', 'V0', 'V1', 0.14724034561805677, 0.9825534820556641]
['BV', 15, 'CV', 249, 'libvlccore.so', 'tr', 'V3', 'V0', 0.16515826270171907, 3.5223946571350098]
['BV', 64, 'CV', 247, 'openssl', 'shred', 'V2', 'V0', 0.2814192238267148, 4.791591644287109]
['BV', 71, 'CV', 138, 'ruby', 'printf', 'V1', 'V3', 0.21452513966480447, 0.01202082633972168]
['CV', 227, 'BV', 10, 'tty', 'gvmap', 'V0', 'V2', 0.15252679938744262, 0.10483312606811523]
['UV', 29, 'BV', 32, 'objcopy', 'perl', 'V3', 'V0', 0.023149820748686878, 6.39234185218811]
['CV', 235, 'BV', 55, 'ginstall', 'codeblocks', 'V0', 'V3', 0.18301809421292736, 11.782108306884766]
['UV', 64, 'CV', 74, 'size', 'pathchk', 'V1', 'V2', 0.14622431735301966, 0.8730907440185547]
['BV', 78, 'CV', 32, 'make', 'paste', 'V2', 'V2', 0.13870515133293249, 0.18964266777038574]
['UV', 42, 'CV', 80, 'diff', 'uniq', 'V3', 'V2', 0.11732605729877221, 0.09058046340942383]
['BV', 48, 'CV', 125, 'gvmap', 'split', 'V3', 'V3', 0.10069790628115649, 0.15357327461242676]
['CV', 143, 'UV', 39, 'yes', 'find', 'V3', 'V3', 0.15607985480943742, 0.2898874282836914]
['CV', 123, 'BV', 78, 'chroot', 'make', 'V3', 'V2', 0.12217366520995632, 0.22289061546325684]
['BV', 14, 'CV', 135, 'openssl', 'df', 'V3', 'V3', 0.269374346722413, 6.169407844543457]
['BV', 24, 'CV', 170, 'git', 'tac', 'V0', 'V3', 0.09320776101681194, 3.595010995864868]
['UV', 62, 'CV', 45, 'ar', 'cp', 'V1', 'V2', 0.11654423018059379, 1.2603273391723633]
