['BV', 61, 'CV', 34, 'cmp', 'echo', 'V0', 'V2', 0.04702970297029707, 0.012633562088012695]
['CV', 199, 'UV', 83, 'expand', 'addr2line', 'V0', 'V0', 0.14983467170524323, 1.2403581142425537]
['UV', 49, 'CV', 96, 'xargs', 'users', 'V1', 'V3', 0.036351165980795574, 0.07131338119506836]
['BV', 78, 'CV', 213, 'make', 'whoami', 'V2', 'V0', 0.14751392613988035, 0.176849365234375]
['BV', 72, 'UV', 55, 'perl', 'ranlib', 'V1', 'V1', 0.028285252485673706, 6.430917263031006]
['CV', 106, 'UV', 32, 'pr', 'addr2line', 'V3', 'V3', 0.1334369066114276, 1.0300378799438477]
['CV', 192, 'UV', 11, 'pwd', 'ranlib', 'V0', 'V2', 0.14883442916915723, 0.9897303581237793]
['CV', 54, 'BV', 1, 'false', 'libSDL2-2.0.so', 'V2', 'V3', 0.1951297514619883, 5.0218987464904785]
['CV', 223, 'UV', 5, 'tsort', 'diff', 'V0', 'V2', 0.14500941619585683, 0.07729458808898926]
['UV', 82, 'BV', 71, 'gprof', 'ruby', 'V0', 'V1', 0.15631442143945506, 0.7734572887420654]
['BV', 53, 'UV', 76, 'ssh', 'as', 'V2', 'V0', 0.03295081606132022, 10.285151958465576]
['CV', 114, 'UV', 53, 'expr', 'readelf', 'V3', 'V1', 0.08139534883720934, 0.10499238967895508]
['BV', 59, 'CV', 144, 'make', 'who', 'V1', 'V3', 0.11548706240487061, 0.2175581455230713]
['CV', 301, 'BV', 73, 'ls', 'geany', 'V1', 'V0', 0.17850911098840416, 16.68572759628296]
['CV', 291, 'UV', 36, 'pinky', 'objdump', 'V1', 'V3', 0.13661807580174923, 1.772773027420044]
['CV', 76, 'BV', 57, 'comm', 'svn', 'V2', 'V2', 0.21387178558493303, 0.36496639251708984]
['CV', 167, 'BV', 53, 'uniq', 'ssh', 'V3', 'V2', 0.11650901420520088, 3.8376305103302]
['CV', 169, 'BV', 32, 'sort', 'perl', 'V3', 'V0', 0.09257511404750662, 3.4933032989501953]
['BV', 53, 'UV', 80, 'ssh', 'objcopy', 'V2', 'V0', 0.042185597902425265, 9.172031879425049]
['CV', 311, 'UV', 16, 'cksum', 'gprof', 'V1', 'V2', 0.14814189189189186, 0.9613354206085205]
['UV', 42, 'CV', 258, 'diff', 'rmdir', 'V3', 'V0', 0.1549942594718714, 0.07187461853027344]
['BV', 60, 'CV', 346, 'codeblocks', 'mknod', 'V1', 'V1', 0.18707519689286867, 9.722491025924683]
['CV', 335, 'BV', 26, 'pathchk', 'geany', 'V1', 'V2', 0.1842105263157895, 20.815269708633423]
