['CV', 182, 'UV', 39, 'du', 'find', 'V0', 'V3', 0.12184522814641485, 0.26297569274902344]
['UV', 49, 'CV', 240, 'xargs', 'link', 'V1', 'V0', 0.0913884007029877, 0.014857292175292969]
['CV', 191, 'UV', 72, 'mkfifo', 'find', 'V0', 'V0', 0.16650181338608638, 0.07676529884338379]
['CV', 293, 'UV', 55, 'paste', 'ranlib', 'V1', 'V1', 0.14827732879625688, 0.9510660171508789]
['CV', 148, 'BV', 6, 'ginstall', 'libvlc.so', 'V3', 'V0', 0.09441265567149104, 0.8982968330383301]
['CV', 264, 'UV', 16, 'test', 'gprof', 'V1', 'V2', 0.14580363880271652, 0.7351024150848389]
['BV', 44, 'CV', 272, 'make', 'printenv', 'V0', 'V1', 0.1419472247497725, 0.10915851593017578]
['CV', 282, 'UV', 3, 'chgrp', 'diff3', 'V1', 'V2', 0.04703247480403139, 0.03268790245056152]
['CV', 102, 'BV', 56, 'uptime', 'ssh', 'V3', 'V3', 0.1401196064561765, 1.0584514141082764]
['BV', 12, 'CV', 26, 'sort', 'date', 'V2', 'V2', 0.08333333333333337, 0.051290035247802734]
['UV', 67, 'CV', 13, 'cmp', 'join', 'V0', 'V2', 0.03639973527465257, 0.024379491806030273]
['BV', 19, 'CV', 119, 'cp', 'paste', 'V3', 'V3', 0.1142438667154888, 0.06222677230834961]
['BV', 16, 'CV', 33, 'libvlc.so', 'sync', 'V3', 'V2', 0.19781931464174451, 0.2395946979522705]
['BV', 26, 'CV', 115, 'geany', 'chown', 'V2', 'V3', 0.17909756323543036, 19.880563735961914]
['CV', 153, 'UV', 10, 'link', 'as', 'V3', 'V2', 0.1315819794907247, 1.5716214179992676]
['CV', 267, 'BV', 3, 'fmt', 'diff', 'V1', 'V1', 0.12770470937632583, 0.06036639213562012]
['CV', 6, 'UV', 70, 'fmt', 'locate', 'V2', 'V0', 0.10804490177736203, 0.05430030822753906]
['UV', 26, 'CV', 147, 'ranlib', 'hostid', 'V3', 'V3', 0.147434249978583, 0.9355330467224121]
['CV', 241, 'UV', 17, 'uname', 'addr2line', 'V0', 'V2', 0.15381108679795763, 0.8159561157226562]
['CV', 335, 'BV', 16, 'pathchk', 'libvlc.so', 'V1', 'V3', 0.20110301359070315, 0.2984347343444824]
['CV', 236, 'BV', 8, 'unexpand', 'cluster', 'V0', 'V2', 0.15069796954314718, 0.099090576171875]
['UV', 74, 'CV', 285, 'strip', 'factor', 'V0', 'V1', 0.13780763893960413, 1.042691946029663]
['CV', 147, 'BV', 25, 'hostid', 'git', 'V3', 'V3', 0.08742881085023513, 8.602879762649536]
['CV', 154, 'UV', 1, 'uname', 'xargs', 'V3', 'V2', 0.09344790547798065, 0.04320502281188965]
['UV', 46, 'CV', 125, 'diff', 'split', 'V1', 'V3', 0.0740343347639485, 0.11796116828918457]
['CV', 32, 'UV', 39, 'paste', 'find', 'V2', 'V3', 0.16255068190195354, 0.27293992042541504]
['CV', 128, 'UV', 54, 'nice', 'as', 'V3', 'V1', 0.12918355529820502, 1.5286335945129395]
['BV', 43, 'CV', 338, 'lua', 'nl', 'V0', 'V1', 0.11406900654372398, 0.3102750778198242]
['UV', 68, 'CV', 157, 'diff', 'vdir', 'V0', 'V3', 0.032657100445324105, 0.16376733779907227]
['UV', 53, 'CV', 245, 'readelf', '[', 'V1', 'V0', 0.10413080895008608, 0.08110761642456055]
['BV', 81, 'CV', 207, 'dot', 'sync', 'V1', 'V0', 0.1128747795414462, 0.008738994598388672]
['UV', 4, 'CV', 340, 'cmp', 'fold', 'V2', 'V1', 0.09237288135593225, 0.02418804168701172]
['BV', 38, 'CV', 26, 'ruby', 'date', 'V2', 'V2', 0.24428399518652233, 0.011563777923583984]
['UV', 61, 'CV', 53, 'addr2line', 'tty', 'V1', 'V2', 0.14757177354440565, 0.8275139331817627]
['BV', 39, 'UV', 53, 'svn', 'readelf', 'V1', 'V1', 0.11428210632655644, 0.584080696105957]
['CV', 300, 'BV', 57, 'whoami', 'svn', 'V1', 'V2', 0.22917060268278855, 0.3295626640319824]
['BV', 28, 'CV', 191, 'openssl', 'mkfifo', 'V1', 'V0', 0.10440762738355736, 5.76404333114624]
['UV', 4, 'BV', 27, 'cmp', 'libSDL2-2.0.so', 'V2', 'V1', 0.18888038486770176, 3.5869274139404297]
