['BV', 53, 'UV', 33, 'ssh', 'ar', 'V2', 'V3', 0.04779284833538844, 12.314060926437378]
['UV', 31, 'CV', 51, 'gprof', 'printf', 'V3', 'V2', 0.13991187962424145, 1.0071790218353271]
['BV', 53, 'CV', 256, 'ssh', 'sort', 'V2', 'V0', 0.11573540548549599, 3.8349809646606445]
['UV', 29, 'BV', 20, 'objcopy', 'sort', 'V3', 'V1', 0.12756396318040153, 1.2788639068603516]
['BV', 36, 'CV', 329, 'libvlc.so', 'cat', 'V2', 'V1', 0.1981928894126891, 0.3189260959625244]
['CV', 35, 'BV', 57, 'sum', 'svn', 'V2', 'V2', 0.21114316624594298, 0.37404894828796387]
['CV', 320, 'BV', 27, 'head', 'libSDL2-2.0.so', 'V1', 'V1', 0.19423704441126044, 3.5925939083099365]
['CV', 258, 'BV', 13, 'rmdir', 'cp', 'V0', 'V2', 0.14838086031899467, 0.052910804748535156]
['BV', 20, 'CV', 18, 'sort', 'pwd', 'V1', 'V2', 0.09149940968122783, 0.040056705474853516]
['CV', 93, 'BV', 22, 'fmt', 'cmp', 'V3', 'V3', 0.044654939106901215, 0.03288531303405762]
['CV', 311, 'BV', 18, 'cksum', 'sort', 'V1', 'V3', 0.15173237753882918, 0.06901240348815918]
['UV', 13, 'CV', 255, 'strings', 'sleep', 'V2', 'V0', 0.15242009132420087, 0.8565585613250732]
['CV', 1, 'UV', 63, 'stat', 'elfedit', 'V2', 'V1', 0.05164319248826288, 0.02764415740966797]
['CV', 26, 'UV', 69, 'date', 'sdiff', 'V2', 'V0', 0.05862265224815022, 0.043827056884765625]
['BV', 50, 'CV', 64, 'sort', 'md5sum', 'V0', 'V2', 0.06034482758620685, 0.03377532958984375]
['CV', 137, 'UV', 54, 'cksum', 'as', 'V3', 'V1', 0.1289893617021276, 1.5974273681640625]
['CV', 190, 'BV', 53, 'dd', 'ssh', 'V0', 'V2', 0.11694068609613284, 3.853452682495117]
['UV', 60, 'CV', 35, 'gprof', 'sum', 'V1', 'V2', 0.1385887360838245, 0.9854490756988525]
['UV', 64, 'CV', 196, 'size', 'kill', 'V1', 'V0', 0.14751455441110617, 0.8618230819702148]
['BV', 20, 'CV', 141, 'sort', 'false', 'V1', 'V3', 0.09831121833534384, 0.038056373596191406]
['CV', 333, 'UV', 40, 'id', 'diff3', 'V1', 'V3', 0.09612817089452608, 0.03256630897521973]
['CV', 216, 'UV', 70, 'dircolors', 'locate', 'V0', 'V0', 0.11836337067705793, 0.05505061149597168]
['CV', 11, 'UV', 12, 'printenv', 'c++filt', 'V2', 'V2', 0.1511074501189822, 0.8621635437011719]
['UV', 20, 'CV', 173, 'size', 'ln', 'V2', 'V3', 0.12439953619347355, 1.1197233200073242]
['CV', 119, 'BV', 79, 'paste', 'bash', 'V3', 'V3', 0.125998718222602, 2.541792869567871]
['CV', 86, 'BV', 0, 'ln', 'bash', 'V2', 'V2', 0.1232629727352682, 2.4954442977905273]
['CV', 67, 'BV', 18, 'uname', 'sort', 'V2', 'V3', 0.14170815779394874, 0.0726475715637207]
['CV', 175, 'BV', 59, 'stat', 'make', 'V0', 'V1', 0.132657200811359, 0.19640374183654785]
['UV', 26, 'CV', 85, 'ranlib', 'mknod', 'V3', 'V2', 0.14829779917469055, 0.9514451026916504]
['BV', 40, 'CV', 70, 'lua', 'vdir', 'V2', 'V2', 0.09222513415699485, 0.49713873863220215]
['UV', 29, 'CV', 293, 'objcopy', 'paste', 'V3', 'V1', 0.14477805791122322, 1.0944252014160156]
['CV', 150, 'UV', 78, 'mv', 'c++filt', 'V3', 'V0', 0.10259310121980769, 1.1779589653015137]
['UV', 28, 'CV', 41, 'strings', 'nice', 'V3', 'V2', 0.15012839325018346, 0.8750779628753662]
['BV', 43, 'CV', 79, 'lua', 'fold', 'V0', 'V2', 0.13885224274406327, 0.26744985580444336]
['CV', 146, 'BV', 42, 'head', 'libvlc.so', 'V3', 'V1', 0.16260994068316625, 0.2598550319671631]
['CV', 123, 'BV', 51, 'chroot', 'cp', 'V3', 'V0', 0.06525198938992038, 0.04835653305053711]
['BV', 23, 'CV', 168, 'diff', 'sleep', 'V3', 'V3', 0.1257401602229189, 0.08715033531188965]
['CV', 226, 'UV', 84, 'logname', 'ar', 'V0', 'V0', 0.15067513189662884, 0.8517670631408691]
['CV', 270, 'UV', 26, 'users', 'ranlib', 'V1', 'V3', 0.15015587114651885, 0.9664862155914307]
['UV', 11, 'CV', 109, 'ranlib', 'kill', 'V2', 'V3', 0.14356394129979033, 1.010249376296997]
['CV', 235, 'UV', 23, 'ginstall', 'strip', 'V0', 'V3', 0.1249460509279241, 1.3701250553131104]
['UV', 20, 'CV', 220, 'size', 'cut', 'V2', 'V0', 0.1488597593822949, 0.8927397727966309]
['UV', 19, 'CV', 305, 'elfedit', 'true', 'V2', 'V1', 0.10238568588469188, 0.018750905990600586]
['UV', 59, 'CV', 211, 'ld', 'seq', 'V1', 'V0', 0.13660797034291017, 1.4798643589019775]
['CV', 157, 'BV', 15, 'vdir', 'libvlccore.so', 'V3', 'V3', 0.14162325809180354, 4.35781455039978]
['CV', 159, 'UV', 32, 'id', 'addr2line', 'V3', 'V3', 0.14303571428571427, 0.9491848945617676]
['CV', 298, 'BV', 45, 'seq', 'svn', 'V1', 'V3', 0.2281783001289952, 0.5739049911499023]
['CV', 136, 'UV', 37, 'tsort', 'locate', 'V3', 'V3', 0.12557481429076756, 0.10705232620239258]
['CV', 202, 'UV', 15, 'chown', 'ld', 'V0', 'V2', 0.13014648260895778, 1.659682035446167]
['UV', 69, 'CV', 80, 'sdiff', 'uniq', 'V0', 'V2', 0.07037256061502073, 0.039034366607666016]
['BV', 33, 'CV', 340, 'openssl', 'fold', 'V0', 'V1', 0.10369636496591417, 5.580269813537598]
