['BV', 82, 'CV', 111, 'gvmap', 'factor', 'V1', 'V3', 0.10424612255275867, 0.30054569244384766]
['CV', 136, 'UV', 34, 'tsort', 'elfedit', 'V3', 'V3', 0.047586675730795336, 0.06623172760009766]
['CV', 344, 'UV', 30, 'tac', 'ld', 'V1', 'V3', 0.13287520933187036, 4.248049736022949]
['BV', 33, 'CV', 227, 'openssl', 'tty', 'V0', 'V0', 0.10429810259681949, 8.69170355796814]
['UV', 80, 'BV', 58, 'objcopy', 'ruby', 'V0', 'V3', 0.14762689025303188, 0.9934074878692627]
['CV', 14, 'UV', 63, 'dirname', 'elfedit', 'V2', 'V1', 0.0762564991334489, 0.021909236907958984]
['CV', 0, 'BV', 35, 'touch', 'libvlccore.so', 'V2', 'V2', 0.16243146603098924, 3.4341094493865967]
['BV', 19, 'UV', 74, 'cp', 'strip', 'V3', 'V0', 0.10561680474916824, 1.5562727451324463]
['UV', 7, 'CV', 104, 'nm', 'mkfifo', 'V2', 'V3', 0.14594452708023453, 0.9403109550476074]
['CV', 64, 'BV', 19, 'md5sum', 'cp', 'V2', 'V3', 0.11886792452830186, 0.08050131797790527]
['BV', 46, 'CV', 201, 'cluster', 'expr', 'V3', 'V0', 0.09647588102974258, 0.1407785415649414]
['CV', 318, 'BV', 4, 'who', 'geany', 'V1', 'V3', 0.1816489500513231, 24.59313464164734]
['UV', 71, 'CV', 268, 'xargs', 'dir', 'V0', 'V1', 0.10821847881572233, 0.06139397621154785]
['CV', 81, 'UV', 18, 'sleep', 'ar', 'V2', 'V2', 0.1477870103442428, 1.0002055168151855]
['BV', 30, 'CV', 156, 'bash', 'csplit', 'V0', 'V3', 0.12302472127968977, 2.0889999866485596]
['CV', 332, 'UV', 22, '[', 'nm', 'V1', 'V3', 0.1498564249820531, 0.9180457592010498]
['BV', 49, 'CV', 208, 'make', 'echo', 'V3', 'V0', 0.1488819144762652, 0.19147968292236328]
['CV', 111, 'BV', 12, 'factor', 'sort', 'V3', 'V2', 0.06834669721267661, 0.07435250282287598]
['CV', 42, 'UV', 67, 'dircolors', 'cmp', 'V2', 'V0', 0.0685670261941449, 0.026142597198486328]
['CV', 44, 'BV', 51, 'true', 'cp', 'V2', 'V0', 0.11291369240752758, 0.0325925350189209]
['UV', 9, 'CV', 179, 'readelf', 'mkdir', 'V2', 'V0', 0.09792935444579776, 0.10653090476989746]
['BV', 62, 'CV', 289, 'diff', 'chown', 'V0', 'V1', 0.06997084548104959, 0.05807352066040039]
['UV', 25, 'BV', 28, 'as', 'openssl', 'V3', 'V1', 0.03998626238838188, 16.635936498641968]
['UV', 65, 'CV', 254, 'objdump', 'uniq', 'V1', 'V0', 0.13632292732855678, 1.455474853515625]
['CV', 238, 'UV', 75, 'md5sum', 'readelf', 'V0', 'V0', 0.10206524992517207, 0.08414411544799805]
['CV', 179, 'UV', 53, 'mkdir', 'readelf', 'V0', 'V1', 0.09855972889014408, 0.09278702735900879]
['UV', 43, 'BV', 29, 'sdiff', 'perl', 'V3', 'V3', 0.09892646081756828, 2.687856435775757]
['BV', 17, 'UV', 56, 'codeblocks', 'c++filt', 'V2', 'V1', 0.11668694667058277, 17.459176778793335]
['UV', 6, 'CV', 164, 'sdiff', 'nl', 'V2', 'V3', 0.06720275703618606, 0.04282426834106445]
['CV', 194, 'BV', 79, 'tee', 'bash', 'V0', 'V3', 0.12836787564766838, 2.5302813053131104]
['CV', 327, 'UV', 76, 'link', 'as', 'V1', 'V0', 0.13526599656778626, 1.473778486251831]
['UV', 73, 'BV', 52, 'nm', 'libSDL2-2.0.so', 'V0', 'V2', 0.077417801623332, 9.062461853027344]
['CV', 15, 'BV', 68, 'uptime', 'dot', 'V2', 'V0', 0.1722158438576349, 0.016185522079467773]
['CV', 332, 'UV', 67, '[', 'cmp', 'V1', 'V0', 0.07496012759170656, 0.026094675064086914]
['BV', 76, 'CV', 41, 'diff', 'nice', 'V2', 'V2', 0.1378053226394459, 0.08069491386413574]
['CV', 194, 'UV', 40, 'tee', 'diff3', 'V0', 'V3', 0.0971272229822161, 0.03127932548522949]
['UV', 41, 'BV', 74, 'cmp', 'git', 'V3', 'V1', 0.09227542817196788, 4.95610499382019]
['CV', 225, 'BV', 25, 'printf', 'git', 'V0', 'V3', 0.08741106657967501, 9.1392080783844]
['UV', 65, 'CV', 67, 'objdump', 'uname', 'V1', 'V2', 0.13833408258942903, 1.505077838897705]
['UV', 49, 'CV', 88, 'xargs', 'stat', 'V1', 'V3', 0.07497565725413824, 0.05815625190734863]
['BV', 69, 'CV', 75, 'gvmap', 'tr', 'V0', 'V2', 0.12276923076923074, 0.11097192764282227]
['BV', 33, 'CV', 320, 'openssl', 'head', 'V0', 'V1', 0.10296815466390707, 5.745462894439697]
['UV', 76, 'CV', 273, 'as', 'stty', 'V0', 'V1', 0.13106913669935827, 1.5271646976470947]
['UV', 71, 'CV', 161, 'xargs', 'pathchk', 'V0', 'V3', 0.036575875486381304, 0.025838613510131836]
['CV', 295, 'BV', 50, 'echo', 'sort', 'V1', 'V0', 0.10633307271305703, 0.02591252326965332]
['CV', 202, 'UV', 45, 'chown', 'cmp', 'V0', 'V1', 0.03464052287581698, 0.03722643852233887]
['UV', 10, 'CV', 261, 'as', 'touch', 'V2', 'V1', 0.1294868844914865, 1.702857255935669]
['CV', 245, 'UV', 78, '[', 'c++filt', 'V0', 'V0', 0.14718738122386932, 0.7983834743499756]
['CV', 40, 'BV', 46, 'ls', 'cluster', 'V2', 'V3', 0.06429391504018367, 0.22571468353271484]
['BV', 37, 'CV', 163, 'geany', 'comm', 'V1', 'V3', 0.18338175932606615, 20.181466817855835]
['CV', 4, 'UV', 81, 'basename', 'ld', 'V2', 'V0', 0.1368970013037809, 1.3871738910675049]
['CV', 128, 'UV', 8, 'nice', 'strip', 'V3', 'V2', 0.13843419005999558, 1.2158918380737305]
['UV', 22, 'CV', 88, 'nm', 'stat', 'V3', 'V3', 0.12904038283939212, 1.1543023586273193]
['BV', 83, 'CV', 231, 'git', 'who', 'V2', 'V0', 0.09347432262129807, 6.697336196899414]
['CV', 85, 'BV', 4, 'mknod', 'geany', 'V2', 'V3', 0.18224868553919005, 25.038509845733643]
['UV', 7, 'CV', 89, 'nm', 'unlink', 'V2', 'V3', 0.1470923603192702, 0.9654827117919922]
['UV', 1, 'CV', 181, 'xargs', 'dir', 'V2', 'V0', 0.044856921887084344, 0.09567809104919434]
['BV', 41, 'UV', 57, 'libvlccore.so', 'strings', 'V1', 'V1', 0.052400682427492074, 6.843505144119263]
['BV', 11, 'CV', 278, 'bash', 'mkfifo', 'V1', 'V1', 0.13179026924893722, 2.189741373062134]
['UV', 67, 'CV', 62, 'cmp', 'unexpand', 'V0', 'V2', 0.07541241162608014, 0.026201963424682617]
['UV', 38, 'CV', 83, 'xargs', 'tac', 'V3', 'V2', 0.05647590361445787, 0.0961606502532959]
['CV', 292, 'UV', 3, 'sha1sum', 'diff3', 'V1', 'V2', 0.085868830290737, 0.0343630313873291]
['CV', 111, 'BV', 13, 'factor', 'cp', 'V3', 'V2', 0.06732528357116718, 0.08536076545715332]
['BV', 70, 'CV', 136, 'ssh', 'tsort', 'V0', 'V3', 0.11555753852489958, 3.4410245418548584]
['CV', 122, 'BV', 49, 'sum', 'make', 'V3', 'V3', 0.12179255511384168, 0.25046563148498535]
['CV', 91, 'BV', 51, 'basename', 'cp', 'V3', 'V0', 0.08538011695906433, 0.04214334487915039]
['BV', 50, 'CV', 331, 'sort', 'vdir', 'V0', 'V1', 0.0679012345679012, 0.07812118530273438]
['UV', 40, 'CV', 202, 'diff3', 'chown', 'V3', 'V0', 0.05118326912493121, 0.06384015083312988]
['UV', 54, 'CV', 226, 'as', 'logname', 'V1', 'V0', 0.13375646450399625, 1.6523079872131348]
['CV', 118, 'UV', 52, 'sha1sum', 'strip', 'V3', 'V1', 0.13088285812435596, 1.3940069675445557]
['CV', 274, 'UV', 45, 'join', 'cmp', 'V1', 'V1', 0.053818181818181765, 0.03359246253967285]
['BV', 24, 'CV', 161, 'git', 'pathchk', 'V0', 'V3', 0.09445663064966014, 3.694615602493286]
['BV', 33, 'CV', 61, 'openssl', 'ginstall', 'V0', 'V2', 0.09592683429986015, 6.7011730670928955]
['CV', 34, 'BV', 78, 'echo', 'make', 'V2', 'V2', 0.14149797570850198, 0.195847749710083]
['UV', 0, 'CV', 312, 'locate', 'printf', 'V2', 'V1', 0.11831442463533226, 0.05385899543762207]
['BV', 12, 'UV', 57, 'sort', 'strings', 'V2', 'V1', 0.11875458472573153, 1.1982555389404297]
['BV', 60, 'UV', 19, 'codeblocks', 'elfedit', 'V1', 'V2', 0.18441920274324897, 10.185559272766113]
