['BV', 49, 'CV', 341, 'make', 'uniq', 'V3', 'V1', 0.13612368024132726, 0.4396069049835205]
['UV', 64, 'CV', 22, 'size', 'kill', 'V1', 'V2', 0.14463066418373682, 1.633305549621582]
['CV', 56, 'BV', 69, 'yes', 'gvmap', 'V2', 'V0', 0.14318706697459582, 0.20108556747436523]
['BV', 72, 'CV', 300, 'perl', 'whoami', 'V1', 'V1', 0.09362543127993839, 3.310877561569214]
['CV', 236, 'BV', 74, 'unexpand', 'git', 'V0', 'V1', 0.09487679406168514, 4.056834697723389]
['BV', 70, 'CV', 147, 'ssh', 'hostid', 'V0', 'V3', 0.11713763240520303, 3.1118457317352295]
['CV', 261, 'UV', 33, 'touch', 'ar', 'V1', 'V3', 0.14411262798634816, 0.9755852222442627]
['CV', 123, 'BV', 24, 'chroot', 'git', 'V3', 'V0', 0.09338122113904568, 3.438840389251709]
['CV', 254, 'BV', 39, 'uniq', 'svn', 'V0', 'V1', 0.21670635647554493, 0.3590860366821289]
['UV', 2, 'CV', 105, 'find', 'pwd', 'V2', 'V3', 0.13038248737070002, 0.1589796543121338]
['UV', 81, 'CV', 205, 'ld', 'sha1sum', 'V0', 'V0', 0.13546958447310153, 1.2944271564483643]
['CV', 270, 'BV', 76, 'users', 'diff', 'V1', 'V2', 0.14269704893537538, 0.07602906227111816]
['BV', 68, 'UV', 76, 'dot', 'as', 'V0', 'V0', 0.138662215628091, 1.3227636814117432]
['CV', 178, 'BV', 1, 'basename', 'libSDL2-2.0.so', 'V0', 'V3', 0.19642365887207702, 4.770010709762573]
['BV', 28, 'CV', 215, 'openssl', 'nice', 'V1', 'V0', 0.10434899089123062, 5.872866153717041]
['UV', 1, 'BV', 35, 'xargs', 'libvlccore.so', 'V2', 'V2', 0.15399981417820308, 3.6481473445892334]
['BV', 26, 'CV', 5, 'geany', 'mkdir', 'V2', 'V2', 0.18168055918962356, 19.74193572998047]
['CV', 275, 'BV', 3, 'dirname', 'diff', 'V1', 'V1', 0.13806620209059228, 0.056552886962890625]
['BV', 58, 'CV', 65, 'ruby', 'env', 'V3', 'V2', 0.218018018018018, 0.0064849853515625]
['CV', 131, 'UV', 74, 'true', 'strip', 'V3', 'V0', 0.13529752425076014, 1.0828337669372559]
['UV', 45, 'CV', 157, 'cmp', 'vdir', 'V1', 'V3', 0.10818307905686542, 0.09597206115722656]
['BV', 38, 'CV', 99, 'ruby', 'stty', 'V2', 'V3', 0.21894093686354377, 0.012858867645263672]
['CV', 203, 'UV', 86, 'tail', 'size', 'V0', 'V0', 0.12071972098922001, 0.821739673614502]
['BV', 29, 'CV', 289, 'perl', 'chown', 'V3', 'V1', 0.10069334459578361, 2.380890130996704]
['CV', 333, 'UV', 12, 'id', 'c++filt', 'V1', 'V2', 0.1500685871056242, 0.8428041934967041]
['CV', 71, 'UV', 84, '[', 'ar', 'V2', 'V0', 0.14354359601607547, 0.8505218029022217]
['BV', 79, 'CV', 346, 'bash', 'mknod', 'V3', 'V1', 0.12858931732803658, 2.337223529815674]
['BV', 37, 'CV', 343, 'geany', 'sort', 'V1', 'V1', 0.18082159942670106, 20.200897455215454]
['BV', 56, 'CV', 202, 'ssh', 'chown', 'V3', 'V0', 0.1418696298210479, 1.289515495300293]
['UV', 82, 'CV', 10, 'gprof', 'ptx', 'V0', 'V2', 0.11834876785434001, 1.047931432723999]
